ID; Time; Network interface; TBPS; RBPS
1;07:26:42.089;enp0s25;64;128
2;07:26:43.123;enp0s25;0;0
3;07:26:44.131;enp0s25;23072;397612
4;07:26:45.141;enp0s25;135728;3390903
5;07:26:46.157;enp0s25;146937;5534138
6;07:26:47.173;enp0s25;191010;6742810
7;07:26:48.183;enp0s25;196804;7160358
8;07:26:49.191;enp0s25;208906;7178762
9;07:26:50.206;enp0s25;200158;7171376
10;07:26:51.220;enp0s25;205907;7171096
11;07:26:52.229;enp0s25;202824;7166478
12;07:26:53.236;enp0s25;185625;6728441
13;07:26:54.268;enp0s25;142730;6437838
14;07:26:55.281;enp0s25;97116;4252519
15;07:26:56.298;enp0s25;37761;1633262
16;07:26:57.311;enp0s25;23934;1035404
17;07:26:58.319;enp0s25;61174;2645938
18;07:26:59.327;enp0s25;85496;3739435
19;07:27:00.334;enp0s25;414;344
20;07:27:01.341;enp0s25;64;128
21;07:27:02.347;enp0s25;0;0
22;07:27:03.354;enp0s25;0;64
23;07:27:04.361;enp0s25;64;64
24;07:27:05.372;enp0s25;0;64
25;07:27:06.383;enp0s25;0;0
26;07:27:07.397;enp0s25;64;128
27;07:27:08.414;enp0s25;70;1518
28;07:27:09.429;enp0s25;0;64
29;07:27:10.443;enp0s25;0;0
30;07:27:11.452;enp0s25;0;64
31;07:27:12.461;enp0s25;0;0
32;07:27:13.476;enp0s25;0;64
33;07:27:14.492;enp0s25;0;0
34;07:27:15.504;enp0s25;64;128
35;07:27:16.517;enp0s25;0;0
36;07:27:17.534;enp0s25;0;64
37;07:27:18.550;enp0s25;64;0
38;07:27:19.564;enp0s25;1010;20930
39;07:27:20.574;enp0s25;376;70
40;07:27:21.590;enp0s25;64;134
41;07:27:22.607;enp0s25;0;0
42;07:27:23.621;enp0s25;376;134
43;07:27:24.636;enp0s25;64;1582
44;07:27:25.647;enp0s25;0;64
45;07:27:26.661;enp0s25;64;64
46;07:27:27.677;enp0s25;0;64
47;07:27:28.692;enp0s25;1496;30772
48;07:27:29.700;enp0s25;0;64
49;07:27:30.706;enp0s25;0;0
50;07:27:31.713;enp0s25;0;64
51;07:27:32.720;enp0s25;0;0
52;07:27:33.728;enp0s25;7220;32334
53;07:27:34.753;enp0s25;0;0
54;07:27:35.763;enp0s25;2319;2543
55;07:27:36.770;enp0s25;18744;55047
56;07:27:37.778;enp0s25;64;128
57;07:27:38.785;enp0s25;8032;139002
58;07:27:39.800;enp0s25;245944;6967262
59;07:27:40.810;enp0s25;168840;7160440
60;07:27:41.820;enp0s25;168550;7166496
61;07:27:42.829;enp0s25;164640;7166432
62;07:27:43.838;enp0s25;164710;7160824
63;07:27:44.862;enp0s25;164430;7169748
64;07:27:45.872;enp0s25;165424;7160504
65;07:27:46.881;enp0s25;163730;7166432
66;07:27:47.891;enp0s25;162184;7079996
67;07:27:48.901;enp0s25;176896;7091532
68;07:27:49.910;enp0s25;126350;5542664
69;07:27:50.917;enp0s25;163660;7155946
70;07:27:51.927;enp0s25;163660;7163500
71;07:27:52.941;enp0s25;163380;7139468
72;07:27:53.950;enp0s25;163240;7130544
73;07:27:54.960;enp0s25;163730;7146958
74;07:27:55.969;enp0s25;164150;7162002
75;07:27:56.979;enp0s25;162386;6992984
76;07:27:57.987;enp0s25;164010;7169732
77;07:27:58.997;enp0s25;164354;7156250
78;07:28:00.008;enp0s25;124250;5443796
79;07:28:01.017;enp0s25;163380;7143962
80;07:28:02.027;enp0s25;156590;6841670
81;07:28:03.036;enp0s25;152740;6650987
82;07:28:04.067;enp0s25;69790;3056743
83;07:28:05.088;enp0s25;0;0
84;07:28:06.099;enp0s25;0;64
85;07:28:07.134;enp0s25;0;0
86;07:28:08.174;enp0s25;0;64
87;07:28:09.271;enp0s25;0;64
88;07:28:10.280;enp0s25;64;64
89;07:28:11.288;enp0s25;0;304
90;07:28:12.296;enp0s25;0;0
91;07:28:13.304;enp0s25;5160;23548
92;07:28:14.318;enp0s25;0;0
93;07:28:15.328;enp0s25;17644;35473
94;07:28:16.361;enp0s25;2556;1842
95;07:28:17.375;enp0s25;5430;22466
96;07:28:18.388;enp0s25;0;0
97;07:28:19.414;enp0s25;40759;542968
98;07:28:20.441;enp0s25;60577;1524876
99;07:28:21.449;enp0s25;64;128
100;07:28:22.456;enp0s25;0;0
101;07:28:23.478;enp0s25;0;304
102;07:28:24.487;enp0s25;0;240
103;07:28:25.495;enp0s25;34539;382424
104;07:28:26.507;enp0s25;27855;708477
105;07:28:27.523;enp0s25;165282;4293417
106;07:28:28.531;enp0s25;202778;7110265
107;07:28:29.540;enp0s25;221006;7130778
108;07:28:30.550;enp0s25;213668;7132942
109;07:28:31.564;enp0s25;215740;7129664
110;07:28:32.573;enp0s25;216854;7138576
111;07:28:33.583;enp0s25;217210;7134120
112;07:28:34.592;enp0s25;217350;7132942
113;07:28:35.601;enp0s25;217560;7137462
114;07:28:36.610;enp0s25;216650;7136524
115;07:28:37.620;enp0s25;216300;7133006
116;07:28:38.628;enp0s25;217070;7128486
117;07:28:39.693;enp0s25;211490;7182022
118;07:28:40.710;enp0s25;216720;7130714
119;07:28:41.719;enp0s25;218120;7131892
120;07:28:42.729;enp0s25;212456;7126258
121;07:28:43.739;enp0s25;216644;7129410
122;07:28:44.749;enp0s25;219030;7126258
123;07:28:45.759;enp0s25;217700;7116296
124;07:28:46.768;enp0s25;217140;7099522
125;07:28:47.777;enp0s25;214550;7127436
126;07:28:48.786;enp0s25;217840;7097294
127;07:28:49.796;enp0s25;218680;7128550
128;07:28:50.805;enp0s25;213416;7077242
129;07:28:51.815;enp0s25;218566;7114068
130;07:28:52.823;enp0s25;216164;7136284
131;07:28:53.832;enp0s25;217770;7136348
132;07:28:54.842;enp0s25;213006;6963678
133;07:28:55.853;enp0s25;214088;7121866
134;07:28:56.863;enp0s25;216440;7056076
135;07:28:57.873;enp0s25;218330;7118524
136;07:28:58.882;enp0s25;217630;7111776
137;07:28:59.890;enp0s25;214690;7075078
138;07:29:00.901;enp0s25;204120;7121743
139;07:29:01.908;enp0s25;151270;5804956
140;07:29:02.918;enp0s25;130480;5205722
141;07:29:03.930;enp0s25;112490;4548707
142;07:29:04.964;enp0s25;64;64
143;07:29:06.008;enp0s25;0;64
144;07:29:07.035;enp0s25;0;0
145;07:29:08.080;enp0s25;0;64
146;07:29:09.113;enp0s25;0;0
147;07:29:10.129;enp0s25;0;64
148;07:29:11.136;enp0s25;0;0
149;07:29:12.143;enp0s25;0;64
150;07:29:13.163;enp0s25;0;0
151;07:29:14.175;enp0s25;0;64
152;07:29:15.236;enp0s25;0;64
153;07:29:16.312;enp0s25;64;64
154;07:29:17.379;enp0s25;0;64
155;07:29:18.392;enp0s25;0;0
156;07:29:19.423;enp0s25;0;64
157;07:29:20.464;enp0s25;0;0
Build Completed
