ID; Time; CPU %; MEM %; MEM KiB
1;07:30:32.334;23.1;21.279127;4286836
2;07:30:32.503;23.4;21.352259;4301348
3;07:30:32.671;23.4;21.382242;4307152
4;07:30:32.838;20.3;21.532099;4337544
5;07:30:33.015;11.3;21.619924;4355740
6;07:30:33.186;26.6;21.652350;4362012
7;07:30:33.367;14.3;21.734476;4378312
8;07:30:33.544;1.6;21.733702;4378156
9;07:30:33.732;3.2;21.733702;4378156
10;07:30:33.923;1.6;21.743868;4380204
11;07:30:34.099;4.6;21.742955;4380020
12;07:30:34.270;3.1;21.738845;4378996
13;07:30:34.447;29.7;21.595123;4350020
14;07:30:34.616;17.7;21.619646;4355180
15;07:30:34.790;1.6;21.619805;4355212
16;07:30:34.964;6.0;21.622148;4355716
17;07:30:35.145;4.6;21.634280;4358128
18;07:30:35.329;3.1;21.632811;4357836
19;07:30:35.539;7.8;21.638589;4358996
20;07:30:35.716;1.9;21.635293;4358332
21;07:30:35.885;3.6;21.644169;4360372
22;07:30:36.065;3.3;21.637934;4358644
23;07:30:36.240;3.1;21.637676;4358592
24;07:30:36.429;3.1;21.638371;4359196
25;07:30:36.623;5.0;21.639979;4359528
26;07:30:36.794;3.6;21.642878;4359860
27;07:30:36.966;4.8;21.646532;4361024
28;07:30:37.143;4.5;21.658803;4362628
29;07:30:37.318;6.1;21.661762;4363916
30;07:30:37.493;4.7;21.673140;4365736
31;07:30:37.670;4.6;21.678342;4367156
32;07:30:37.847;6.2;21.635015;4358276
33;07:30:38.019;1.6;21.645479;4360384
34;07:30:38.195;5.2;21.645956;4360480
35;07:30:38.374;1.8;21.652707;4361616
36;07:30:38.547;3.2;21.655666;4362680
37;07:30:38.725;3.2;21.659895;4363532
38;07:30:38.895;4.9;21.664720;4364308
39;07:30:39.068;2.9;21.670141;4365352
40;07:30:39.245;4.6;21.673934;4365896
41;07:30:39.421;7.4;21.677151;4366764
42;07:30:39.595;4.7;21.686225;4368372
43;07:30:39.770;8.1;21.692202;4370044
44;07:30:39.941;6.2;21.671531;4365412
45;07:30:40.112;6.1;21.657115;4362508
46;07:30:40.285;1.7;21.651158;4361948
47;07:30:40.457;4.7;21.654832;4362284
48;07:30:40.629;4.8;21.653819;4362064
49;07:30:40.802;3.2;21.658267;4362960
50;07:30:40.979;4.6;21.666170;4364552
51;07:30:41.154;3.2;21.670201;4365364
52;07:30:41.326;6.0;21.670201;4365364
53;07:30:41.499;4.5;21.666408;4364600
54;07:30:41.675;4.8;21.671412;4365608
55;07:30:41.850;3.1;21.679652;4367268
56;07:30:42.026;6.2;21.675999;4366532
57;07:30:42.201;3.1;21.671273;4365580
