ID; Time; CPU %; MEM %; MEM KiB
1;08:50:24.668;1.5;12.532582;2525144
2;08:50:24.847;1.5;12.551168;2528376
3;08:50:25.023;4.5;12.558654;2530136
4;08:50:25.200;3.0;12.560937;2530344
5;08:50:25.374;2.9;12.565445;2531032
6;08:50:25.552;6.0;12.572096;2532844
7;08:50:25.726;4.7;12.580694;2534324
8;08:50:25.899;4.5;12.589848;2536680
9;08:50:26.075;6.0;12.595746;2537288
10;08:50:26.249;6.0;12.609427;2540388
11;08:50:26.426;3.1;12.609744;2539956
12;08:50:26.599;3.0;12.612941;2541088
13;08:50:26.774;3.0;12.612226;2541204
14;08:50:26.951;16.4;12.709920;2560648
15;08:50:27.124;3.0;12.707577;2560428
16;08:50:27.299;5.9;12.717883;2562260
17;08:50:27.476;3.0;12.726838;2563544
18;08:50:27.653;4.5;12.729221;2564244
19;08:50:27.832;1.5;12.729777;2564680
20;08:50:28.007;1.5;12.732835;2565012
21;08:50:28.182;3.0;12.737243;2566128
22;08:50:28.359;6.0;12.745642;2567552
23;08:50:28.532;0.0;12.749097;2568500
24;08:50:28.707;6.0;12.751798;2568792
25;08:50:28.884;3.0;12.755829;2569604
26;08:50:29.059;9.5;12.765578;2571860
27;08:50:29.231;7.5;12.773382;2573140
28;08:50:29.405;6.2;12.775208;2573768
29;08:50:29.574;4.8;12.784184;2575316
30;08:50:29.744;6.2;12.791332;2577008
31;08:50:29.919;2.9;12.796197;2577776
32;08:50:30.096;4.5;12.797507;2578284
33;08:50:30.270;4.7;12.805112;2579312
34;08:50:30.444;3.1;12.805509;2579392
35;08:50:30.620;3.0;12.806999;2580164
36;08:50:30.796;1.6;12.807019;2580136
37;08:50:30.965;13.2;12.725250;2563720
38;08:50:31.140;12.3;12.734622;2565112
39;08:50:31.314;3.1;12.739864;2566908
40;08:50:31.488;3.0;12.741333;2566684
41;08:50:31.666;9.2;12.784243;2575848
42;08:50:31.842;1.5;12.786110;2575704
43;08:50:32.017;12.5;12.801578;2579080
44;08:50:32.187;25.8;12.875504;2593712
45;08:50:32.356;7.7;12.879971;2595108
46;08:50:32.526;4.5;12.883208;2595264
47;08:50:32.697;1.6;12.885134;2595652
48;08:50:32.866;3.1;12.883804;2595384
49;08:50:33.035;1.6;12.882553;2594912
50;08:50:33.204;3.0;12.880627;2594744
51;08:50:33.373;6.2;12.791352;2577328
52;08:50:33.544;20.6;12.827391;2584020
53;08:50:33.718;4.6;12.826299;2583800
54;08:50:33.888;3.0;12.825346;2583608
55;08:50:34.056;1.4;12.823142;2583164
56;08:50:34.225;3.1;12.825207;2583580
57;08:50:34.399;3.1;12.825485;2583636
58;08:50:34.568;3.1;12.826597;2583860
59;08:50:34.737;3.2;12.827054;2583732
60;08:50:34.906;1.6;12.826498;2583620
61;08:50:35.075;1.5;12.824314;2583400
62;08:50:35.244;1.6;12.826855;2584172
63;08:50:35.412;3.2;12.781602;2576112
64;08:50:35.586;18.5;12.885730;2595332
65;08:50:35.755;3.0;12.880805;2595028
66;08:50:35.924;1.6;12.881262;2594652
67;08:50:36.098;3.1;12.878919;2594196
68;08:50:36.274;1.5;12.753446;2570896
69;08:50:36.445;7.6;12.800049;2578976
70;08:50:36.616;4.8;12.792603;2577012
71;08:50:36.787;4.7;12.804298;2579604
72;08:50:36.956;0.0;12.805668;2579644
73;08:50:37.125;1.6;12.803981;2579304
74;08:50:37.293;3.0;12.804656;2579440
75;08:50:37.461;1.6;12.804695;2579528
76;08:50:37.630;3.0;12.906619;2602028
77;08:50:37.799;3.1;13.175555;2654156
78;08:50:37.968;1.6;13.175595;2654164
79;08:50:38.137;3.0;13.173530;2654024
80;08:50:38.311;3.1;13.176071;2654260
81;08:50:38.481;3.1;13.179526;2654956
82;08:50:38.650;0.0;13.178236;2654252
83;08:50:38.818;1.6;13.175098;2653844
84;08:50:38.987;3.2;13.178196;2654688
85;08:50:39.156;1.6;13.176468;2654340
86;08:50:39.324;1.6;13.176468;2654120
87;08:50:39.493;0.0;13.173847;2653812
88;08:50:39.661;1.5;13.176389;2654104
89;08:50:39.830;4.6;13.439646;2706924
90;08:50:39.999;3.1;13.438991;2707736
91;08:50:40.168;1.5;13.441731;2707720
92;08:50:40.337;2.9;13.442903;2707792
93;08:50:40.505;1.6;13.441632;2707756
94;08:50:40.674;3.0;13.441235;2707456
95;08:50:40.848;1.6;13.441275;2707684
96;08:50:41.022;3.1;13.442704;2707972
97;08:50:41.196;1.6;13.445603;2708336
98;08:50:41.367;3.2;13.445305;2708496
99;08:50:41.542;3.0;13.457557;2710744
100;08:50:41.721;3.3;13.452275;2709460
101;08:50:41.897;3.0;13.440560;2707508
102;08:50:42.067;3.1;13.440798;2707588
103;08:50:42.237;1.5;13.444471;2708108
104;08:50:42.513;2.9;13.442982;2708028
105;08:50:42.685;5.8;13.442784;2707988
106;08:50:42.856;3.0;13.443439;2708120
107;08:50:43.030;7.2;13.441374;2707704
108;08:50:43.201;5.6;13.441036;2707636
109;08:50:43.373;2.8;13.439527;2707364
110;08:50:43.544;2.8;13.443181;2708292
111;08:50:43.715;3.0;13.446139;2708664
112;08:50:43.888;3.0;13.443518;2708136
113;08:50:44.060;4.8;13.444730;2708752
114;08:50:44.231;3.0;13.445365;2708068
115;08:50:44.403;7.5;13.439944;2706976
116;08:50:44.576;8.5;13.441056;2707640
117;08:50:44.748;10.7;13.444114;2708256
118;08:50:44.919;14.9;13.442248;2707660
119;08:50:45.091;9.6;13.444432;2708568
120;08:50:45.264;5.6;13.450706;2709872
121;08:50:45.443;1.5;13.440401;2707512
122;08:50:45.614;3.6;13.440341;2707496
123;08:50:45.784;5.2;13.441334;2707696
124;08:50:45.956;1.9;13.440679;2707872
125;08:50:46.128;0.0;13.440381;2707504
126;08:50:46.299;1.9;13.442744;2708012
127;08:50:46.471;1.9;13.439765;2707380
128;08:50:46.643;1.9;13.442645;2707960
129;08:50:46.813;0.0;13.441294;2707268
130;08:50:46.985;1.9;13.442803;2707992
131;08:50:47.156;3.8;13.444054;2708244
132;08:50:47.328;3.3;13.439190;2707484
133;08:50:47.632;1.7;13.443856;2708036
134;08:50:47.809;3.0;13.449614;2709364
135;08:50:47.985;3.2;13.442148;2707628
136;08:50:48.156;3.4;13.442843;2707772
137;08:50:48.327;6.2;13.440083;2707444
138;08:50:48.496;1.6;13.440004;2707696
139;08:50:48.665;1.6;13.440222;2707472
140;08:50:48.834;1.6;13.441612;2707752
141;08:50:49.002;1.6;13.500348;2721600
142;08:50:49.171;1.5;13.623140;2744148
143;08:50:49.339;3.1;13.714778;2762180
144;08:50:49.508;0.0;13.798493;2779644
145;08:50:49.677;0.0;13.923331;2804792
146;08:50:49.845;1.6;14.008515;2824000
147;08:50:50.013;1.5;14.065185;2833368
148;08:50:50.181;1.5;14.140977;2848636
149;08:50:50.348;0.0;14.138634;2848164
150;08:50:50.517;1.5;14.137443;2847924
151;08:50:50.686;3.1;14.139190;2848276
152;08:50:50.855;3.0;14.140839;2848388
153;08:50:51.024;3.0;14.139429;2848104
154;08:50:51.193;1.5;14.139190;2848276
155;08:50:51.362;2.9;14.139190;2848276
156;08:50:51.531;1.5;14.140719;2848868
157;08:50:51.701;2.9;14.142209;2848884
158;08:50:51.870;1.6;14.161708;2852812
159;08:50:52.039;1.5;14.168657;2853992
160;08:50:52.209;3.0;14.182080;2857160
161;08:50:52.379;3.1;14.203664;2861564
162;08:50:52.548;3.0;14.376992;2896180
163;08:50:52.718;3.1;14.583757;2937832
164;08:50:52.887;0.0;14.580441;2937164
165;08:50:53.055;3.1;14.581057;2937288
166;08:50:53.224;3.2;14.580898;2937036
167;08:50:53.392;1.6;14.582189;2937296
168;08:50:53.562;4.4;14.581255;2937108
169;08:50:53.731;0.0;14.579687;2937012
170;08:50:53.900;1.6;14.602045;2941516
171;08:50:54.068;3.0;14.603495;2941808
172;08:50:54.237;1.6;14.603733;2941856
173;08:50:54.406;0.0;14.602283;2941564
174;08:50:54.575;0.0;14.602681;2941644
175;08:50:54.744;1.5;14.602561;2941620
176;08:50:54.913;3.1;14.602561;2941620
177;08:50:55.082;1.6;14.602681;2941644
178;08:50:55.251;1.6;14.601747;2941456
179;08:50:55.419;0.0;14.604090;2941928
180;08:50:55.588;1.6;14.602959;2941700
