ID; Time; Network interface; TBPS; RBPS
1;10:13:00.253;enp0s25;0;64
2;10:13:01.261;enp0s25;0;0
3;10:13:02.268;enp0s25;0;171
4;10:13:03.275;enp0s25;0;107
5;10:13:04.282;enp0s25;14770;275845
6;10:13:05.289;enp0s25;58275;1351774
7;10:13:06.296;enp0s25;108636;5138555
8;10:13:07.303;enp0s25;113616;5422132
9;10:13:08.315;enp0s25;127338;6641992
10;10:13:09.330;enp0s25;135998;6169854
11;10:13:10.339;enp0s25;27463;1153266
12;10:13:11.345;enp0s25;408;338
13;10:13:12.352;enp0s25;0;0
14;10:13:13.358;enp0s25;0;1778
15;10:13:14.365;enp0s25;0;0
16;10:13:15.371;enp0s25;0;64
17;10:13:16.378;enp0s25;316;556
18;10:13:17.385;enp0s25;2242;10655
19;10:13:18.392;enp0s25;0;0
20;10:13:19.398;enp0s25;7255;19811
21;10:13:20.405;enp0s25;0;0
22;10:13:21.412;enp0s25;57754;1526273
23;10:13:22.420;enp0s25;156576;6706546
24;10:13:23.426;enp0s25;122958;6961270
25;10:13:24.435;enp0s25;151408;7021126
26;10:13:25.444;enp0s25;159950;7078114
27;10:13:26.453;enp0s25;160720;7111006
28;10:13:27.462;enp0s25;157570;6989732
29;10:13:28.470;enp0s25;145138;6607678
30;10:13:29.478;enp0s25;154630;6861523
31;10:13:30.486;enp0s25;204;134
32;10:13:31.498;enp0s25;0;64
33;10:13:32.505;enp0s25;0;0
34;10:13:33.513;enp0s25;203;311
35;10:13:34.521;enp0s25;70;177
36;10:13:35.528;enp0s25;0;64
37;10:13:36.536;enp0s25;0;0
38;10:13:37.543;enp0s25;0;64
39;10:13:38.549;enp0s25;1919;8216
40;10:13:39.562;enp0s25;4863;10390
41;10:13:40.571;enp0s25;2313;2906
42;10:13:41.578;enp0s25;1930;7665
43;10:13:42.585;enp0s25;0;0
44;10:13:43.592;enp0s25;8202;31831
45;10:13:44.599;enp0s25;3262;37737
46;10:13:45.608;enp0s25;0;614
47;10:13:46.615;enp0s25;0;0
48;10:13:47.623;enp0s25;0;64
49;10:13:48.630;enp0s25;7692;18338
50;10:13:49.638;enp0s25;1355;1090
51;10:13:50.649;enp0s25;141818;4007212
52;10:13:51.660;enp0s25;133226;5765014
53;10:13:52.668;enp0s25;168834;7071736
54;10:13:53.675;enp0s25;170100;7101776
55;10:13:54.682;enp0s25;171422;7117118
56;10:13:55.691;enp0s25;171740;7138462
57;10:13:56.699;enp0s25;169750;7106206
58;10:13:57.712;enp0s25;165410;6874558
59;10:13:58.720;enp0s25;171850;7136284
60;10:13:59.728;enp0s25;172130;7134120
61;10:14:00.736;enp0s25;171080;7130740
62;10:14:01.743;enp0s25;158270;6811802
63;10:14:02.751;enp0s25;113190;4716409
64;10:14:03.759;enp0s25;64;235
65;10:14:04.765;enp0s25;0;107
66;10:14:05.773;enp0s25;0;64
67;10:14:06.780;enp0s25;0;0
68;10:14:07.786;enp0s25;0;64
69;10:14:08.795;enp0s25;0;0
70;10:14:09.801;enp0s25;0;64
71;10:14:10.809;enp0s25;0;568
72;10:14:11.817;enp0s25;0;4334
73;10:14:12.824;enp0s25;0;1398
74;10:14:13.832;enp0s25;0;632
75;10:14:14.839;enp0s25;64;1928
76;10:14:15.847;enp0s25;0;64
77;10:14:16.854;enp0s25;0;0
Build Completed
