ID; Time; CPU %; MEM %; MEM KiB
1;20:50:20.631;24.2;22.047851;4442012
2;20:50:20.802;21.5;22.119811;4455936
3;20:50:20.972;19.0;22.157499;4463528
4;20:50:21.141;20.3;22.212978;4474704
5;20:50:21.313;3.0;22.214308;4474972
6;20:50:21.490;24.2;22.306899;4493624
7;20:50:21.663;17.2;22.313789;4494792
8;20:50:21.833;3.2;22.317304;4495720
9;20:50:22.003;3.0;22.316847;4495628
10;20:50:22.173;3.1;22.317324;4495724
11;20:50:22.343;3.0;22.318535;4495968
12;20:50:22.515;4.7;22.316768;4495612
13;20:50:22.686;20.0;22.256781;4483528
14;20:50:22.856;3.2;22.256980;4483568
15;20:50:23.029;1.5;22.261507;4484480
16;20:50:23.198;1.5;22.261328;4484444
17;20:50:23.368;3.0;22.263751;4484932
18;20:50:23.541;4.3;22.262818;4484744
19;20:50:23.715;1.6;22.262897;4484760
20;20:50:23.884;1.6;22.265439;4485272
21;20:50:24.053;3.1;22.265161;4485216
22;20:50:24.223;0.0;22.269648;4486120
23;20:50:24.393;3.1;22.272289;4486212
24;20:50:24.563;4.6;22.205830;4476996
25;20:50:24.741;19.0;22.328503;4497976
26;20:50:24.915;3.2;22.322586;4496784
27;20:50:25.086;1.6;22.323857;4496892
28;20:50:25.258;1.6;22.321752;4496616
29;20:50:25.429;7.9;22.242107;4480572
30;20:50:25.606;3.1;22.249832;4482128
31;20:50:25.777;7.8;22.254299;4483028
32;20:50:25.949;1.6;22.254816;4483132
33;20:50:26.121;3.1;22.255391;4483516
34;20:50:26.292;1.4;22.259065;4483840
35;20:50:26.461;3.0;22.266173;4485420
36;20:50:26.631;3.2;22.262540;4484688
37;20:50:26.801;4.4;22.516584;4539928
38;20:50:26.972;5.9;22.656314;4564264
39;20:50:27.143;1.5;22.658776;4564508
40;20:50:27.312;4.5;22.660067;4564768
41;20:50:27.483;1.5;22.659848;4564724
42;20:50:27.653;6.1;22.663919;4565544
43;20:50:27.823;1.6;22.667831;4566332
44;20:50:27.993;0.0;22.667870;4566340
45;20:50:28.163;4.5;22.667751;4566316
46;20:50:28.334;3.1;22.667592;4566284
47;20:50:28.504;1.6;22.667910;4566348
48;20:50:28.673;3.1;22.669042;4566576
49;20:50:28.843;4.8;22.808712;4599816
50;20:50:29.015;3.0;22.918380;4616804
51;20:50:29.185;3.1;22.919631;4617056
52;20:50:29.355;3.1;22.919829;4617096
53;20:50:29.524;3.0;22.922490;4617632
54;20:50:29.695;3.1;22.922152;4617416
55;20:50:29.869;5.6;22.922093;4617552
56;20:50:30.043;4.5;22.924396;4617796
57;20:50:30.216;1.5;22.919373;4617004
58;20:50:30.387;6.0;22.923721;4618132
59;20:50:30.559;7.4;22.931187;4619636
60;20:50:30.734;6.2;22.927593;4618440
61;20:50:30.907;7.4;22.925250;4618188
62;20:50:31.080;3.1;22.926422;4618204
63;20:50:31.251;1.6;22.924853;4618108
64;20:50:31.423;3.1;22.927355;4618888
65;20:50:31.596;6.1;22.929420;4619028
66;20:50:31.767;3.1;22.931465;4619440
67;20:50:31.938;1.6;22.930174;4619180
