ID; Time; Network interface; TBPS; RBPS
1;10:58:18.682;enp0s25;0;0
2;10:58:19.691;enp0s25;0;64
3;10:58:20.701;enp0s25;8605;144036
4;10:58:21.714;enp0s25;65340;1512592
5;10:58:22.725;enp0s25;108626;5271644
6;10:58:23.735;enp0s25;130544;5585118
7;10:58:24.743;enp0s25;144241;7025304
8;10:58:25.750;enp0s25;123665;6561667
9;10:58:26.757;enp0s25;11409;144050
10;10:58:27.764;enp0s25;542;408
11;10:58:28.770;enp0s25;64;64
12;10:58:29.777;enp0s25;0;64
13;10:58:30.784;enp0s25;0;0
14;10:58:31.793;enp0s25;0;64
15;10:58:32.803;enp0s25;2558;11145
16;10:58:33.810;enp0s25;273;204
17;10:58:34.817;enp0s25;5997;16834
18;10:58:35.824;enp0s25;1264;2815
19;10:58:36.831;enp0s25;192;174
20;10:58:37.840;enp0s25;145370;5423110
21;10:58:38.850;enp0s25;137614;6062470
22;10:58:39.858;enp0s25;138810;6113402
23;10:58:40.866;enp0s25;158130;6952218
24;10:58:41.874;enp0s25;162960;7159006
25;10:58:42.887;enp0s25;163100;7148948
26;10:58:43.901;enp0s25;139160;6129880
27;10:58:44.912;enp0s25;144970;6382978
28;10:58:45.921;enp0s25;124040;5446338
29;10:58:46.928;enp0s25;0;0
30;10:58:47.935;enp0s25;0;64
31;10:58:48.942;enp0s25;0;0
32;10:58:49.949;enp0s25;64;128
33;10:58:50.955;enp0s25;0;2190
34;10:58:51.962;enp0s25;0;3098
35;10:58:52.969;enp0s25;0;1948
36;10:58:53.976;enp0s25;1779;7695
37;10:58:54.984;enp0s25;70;585
38;10:58:55.995;enp0s25;100;230
39;10:58:57.004;enp0s25;25895;460413
40;10:58:58.011;enp0s25;58828;1605589
41;10:58:59.020;enp0s25;136188;5844300
42;10:59:00.035;enp0s25;136462;5665122
43;10:59:01.047;enp0s25;131843;6548716
44;10:59:02.060;enp0s25;118848;6075731
45;10:59:03.067;enp0s25;70;3722
46;10:59:04.075;enp0s25;408;2222
47;10:59:05.083;enp0s25;128;0
48;10:59:06.090;enp0s25;0;64
49;10:59:07.096;enp0s25;64;0
50;10:59:08.103;enp0s25;0;64
51;10:59:09.110;enp0s25;1930;7538
52;10:59:10.119;enp0s25;128;192
53;10:59:11.131;enp0s25;8242;60608
54;10:59:12.138;enp0s25;1168;423
55;10:59:13.146;enp0s25;542;1667
56;10:59:14.162;enp0s25;0;4334
57;10:59:15.170;enp0s25;0;1398
58;10:59:16.181;enp0s25;5933;11564
59;10:59:17.188;enp0s25;1504;1588
60;10:59:18.195;enp0s25;98264;3311348
61;10:59:19.207;enp0s25;172030;7092838
62;10:59:20.216;enp0s25;176050;7076192
63;10:59:21.224;enp0s25;150088;6160420
64;10:59:22.232;enp0s25;160510;6625022
65;10:59:23.239;enp0s25;169884;7083990
66;10:59:24.251;enp0s25;151900;6203300
67;10:59:25.263;enp0s25;168980;7053018
68;10:59:26.273;enp0s25;164010;6809684
69;10:59:27.281;enp0s25;170520;7138978
70;10:59:28.288;enp0s25;170730;7136632
71;10:59:29.296;enp0s25;170870;7136284
72;10:59:30.304;enp0s25;151970;6306616
73;10:59:31.311;enp0s25;140;241
74;10:59:32.317;enp0s25;0;64
75;10:59:33.324;enp0s25;0;0
76;10:59:34.331;enp0s25;64;128
77;10:59:35.339;enp0s25;0;0
78;10:59:36.347;enp0s25;0;530
79;10:59:37.354;enp0s25;0;64
80;10:59:38.362;enp0s25;0;0
81;10:59:39.368;enp0s25;0;64
82;10:59:40.375;enp0s25;0;0
83;10:59:41.498;enp0s25;0;64
84;10:59:42.512;enp0s25;0;0
85;10:59:43.519;enp0s25;0;64
86;10:59:44.527;enp0s25;64;64
87;10:59:45.534;enp0s25;0;64
Build Completed
