ID; Time; Network interface; TBPS; RBPS
1;13:01:07.483;enp0s25;0;0
2;13:01:08.500;enp0s25;0;64
3;13:01:09.518;enp0s25;0;0
4;13:01:10.529;enp0s25;64;128
5;13:01:11.537;enp0s25;0;0
6;13:01:12.544;enp0s25;0;64
7;13:01:13.555;enp0s25;0;0
8;13:01:14.569;enp0s25;0;64
9;13:01:15.578;enp0s25;0;0
10;13:01:16.595;enp0s25;0;64
11;13:01:17.621;enp0s25;3010;5244
12;13:01:18.631;enp0s25;89006;2157851
13;13:01:19.638;enp0s25;22074;730389
14;13:01:20.645;enp0s25;0;1462
15;13:01:21.656;enp0s25;72214;1559662
16;13:01:22.664;enp0s25;140;670
17;13:01:23.675;enp0s25;0;1398
18;13:01:24.685;enp0s25;0;64
19;13:01:25.694;enp0s25;0;1714
20;13:01:26.703;enp0s25;77906;2617464
21;13:01:27.713;enp0s25;164680;7100502
22;13:01:28.722;enp0s25;179367;7055441
23;13:01:29.737;enp0s25;187616;7167100
24;13:01:30.748;enp0s25;162124;7183776
25;13:01:31.764;enp0s25;212292;7173764
26;13:01:32.775;enp0s25;181942;7168130
27;13:01:33.785;enp0s25;196696;7166478
28;13:01:34.796;enp0s25;210046;7182116
29;13:01:35.811;enp0s25;201252;7167996
30;13:01:36.823;enp0s25;169144;6692996
31;13:01:37.839;enp0s25;152916;7032894
32;13:01:38.853;enp0s25;204504;7178826
33;13:01:39.866;enp0s25;147534;6537616
34;13:01:40.876;enp0s25;199429;7169578
35;13:01:41.885;enp0s25;164603;6690152
36;13:01:42.900;enp0s25;195606;7169642
37;13:01:43.911;enp0s25;192408;7180140
38;13:01:44.925;enp0s25;201870;7168130
39;13:01:45.935;enp0s25;198520;7169514
40;13:01:46.946;enp0s25;155794;6830750
41;13:01:47.956;enp0s25;196772;7155852
42;13:01:48.969;enp0s25;160653;6869352
43;13:01:49.979;enp0s25;209024;7042004
44;13:01:51.015;enp0s25;208073;7052917
45;13:01:52.023;enp0s25;157049;7023846
46;13:01:53.032;enp0s25;157373;7167254
47;13:01:54.042;enp0s25;156372;6960176
48;13:01:55.050;enp0s25;147217;6195483
49;13:01:56.058;enp0s25;124999;5142648
50;13:01:57.072;enp0s25;156468;5700273
51;13:01:58.082;enp0s25;192287;7175684
52;13:01:59.094;enp0s25;215637;7174598
53;13:02:00.106;enp0s25;182201;7172479
54;13:02:01.116;enp0s25;125649;5452118
55;13:02:02.124;enp0s25;106045;4680738
56;13:02:03.134;enp0s25;66278;2861648
57;13:02:04.143;enp0s25;36779;1349767
58;13:02:05.157;enp0s25;103655;4542027
59;13:02:06.164;enp0s25;12556;286270
60;13:02:07.171;enp0s25;15283;394647
61;13:02:08.184;enp0s25;30379;1155740
62;13:02:09.197;enp0s25;12169;268031
63;13:02:10.211;enp0s25;16461;454718
64;13:02:11.224;enp0s25;14205;352988
65;13:02:12.235;enp0s25;24850;847911
66;13:02:13.244;enp0s25;82459;3565082
67;13:02:14.257;enp0s25;28286;1061086
68;13:02:15.265;enp0s25;8967;347510
69;13:02:16.272;enp0s25;3647;82027
70;13:02:17.280;enp0s25;4056;97566
71;13:02:18.287;enp0s25;11146;414281
72;13:02:19.312;enp0s25;11155;414114
73;13:02:20.324;enp0s25;9702;355057
74;13:02:21.332;enp0s25;3298;58075
75;13:02:22.339;enp0s25;2952;58393
76;13:02:23.347;enp0s25;5479;170188
77;13:02:24.363;enp0s25;3283;71610
78;13:02:25.381;enp0s25;4056;110602
79;13:02:26.395;enp0s25;5696;171396
80;13:02:27.405;enp0s25;3257;66022
81;13:02:28.413;enp0s25;4154;85838
82;13:02:29.427;enp0s25;56234;2526277
83;13:02:30.438;enp0s25;32823;1462307
84;13:02:31.453;enp0s25;7783;266587
85;13:02:32.463;enp0s25;5324;151298
86;13:02:33.471;enp0s25;21496;983392
87;13:02:34.477;enp0s25;0;64
88;13:02:35.485;enp0s25;0;0
89;13:02:36.492;enp0s25;0;64
90;13:02:37.500;enp0s25;0;0
91;13:02:38.506;enp0s25;64;128
92;13:02:39.524;enp0s25;0;0
93;13:02:40.533;enp0s25;0;64
94;13:02:41.567;enp0s25;0;0
95;13:02:42.575;enp0s25;0;64
96;13:02:43.588;enp0s25;0;0
97;13:02:44.596;enp0s25;0;64
98;13:02:45.616;enp0s25;0;0
99;13:02:46.626;enp0s25;0;64
100;13:02:47.639;enp0s25;0;0
101;13:02:48.650;enp0s25;0;64
102;13:02:49.664;enp0s25;64;64
103;13:02:50.677;enp0s25;0;64
104;13:02:51.689;enp0s25;0;0
105;13:02:52.700;enp0s25;0;64
106;13:02:53.711;enp0s25;0;0
107;13:02:54.724;enp0s25;0;64
108;13:02:55.734;enp0s25;0;0
109;13:02:56.742;enp0s25;0;64
110;13:02:57.751;enp0s25;0;0
