ID; Time; CPU %; MEM %; MEM KiB
1;11:22:20.073;4.5;25.239559;5084640
2;11:22:20.252;4.5;25.248415;5086180
3;11:22:20.427;5.7;25.255662;5087892
4;11:22:20.604;6.2;25.266365;5090040
5;11:22:20.778;6.1;25.279152;5092372
6;11:22:20.954;6.1;25.287989;5094152
7;11:22:21.130;7.7;25.304112;5097660
8;11:22:21.308;5.8;25.306197;5097820
9;11:22:21.484;6.0;25.305383;5097908
10;11:22:21.657;10.3;25.318885;5100376
11;11:22:21.831;0.0;25.319580;5100784
12;11:22:22.009;6.1;25.330184;5102724
13;11:22:22.185;4.5;25.333579;5103116
14;11:22:22.358;6.2;25.349027;5106448
15;11:22:22.532;4.5;25.349464;5106804
16;11:22:22.707;4.5;25.355620;5108020
17;11:22:22.884;9.1;25.366541;5110008
18;11:22:23.054;4.8;25.372001;5111076
19;11:22:23.227;4.3;25.378653;5112660
20;11:22:23.401;6.1;25.390905;5115136
21;11:22:23.578;2.9;25.395869;5115884
22;11:22:23.753;4.6;25.401270;5116752
23;11:22:23.928;11.9;25.418148;5120372
24;11:22:24.101;10.9;25.425971;5121948
25;11:22:24.275;4.5;25.427441;5122544
26;11:22:24.452;12.7;25.560936;5148916
27;11:22:24.629;3.2;25.577715;5152344
28;11:22:24.800;27.0;25.651084;5168808
29;11:22:24.970;14.1;25.695920;5176884
30;11:22:25.154;6.0;25.687839;5174700
31;11:22:25.351;6.0;25.753941;5188276
32;11:22:25.532;0.0;25.753762;5188012
33;11:22:25.703;3.0;25.753822;5188252
34;11:22:25.879;4.5;25.757733;5188560
35;11:22:26.056;4.4;25.757634;5189036
36;11:22:26.232;3.0;25.755887;5188448
37;11:22:26.407;0.0;25.755271;5188064
38;11:22:26.581;4.2;25.772586;5191772
39;11:22:26.755;4.5;25.776041;5192248
40;11:22:26.926;3.0;25.770322;5191316
41;11:22:27.107;7.6;25.730768;5183128
42;11:22:27.282;3.0;25.726320;5182720
43;11:22:27.457;1.4;25.728366;5182668
44;11:22:27.628;3.0;25.725328;5182032
45;11:22:27.798;3.1;25.723282;5181464
46;11:22:27.974;3.1;25.609068;5158832
47;11:22:28.147;7.6;25.477519;5132332
48;11:22:28.320;6.0;25.480279;5132888
49;11:22:28.497;24.3;25.720661;5181312
50;11:22:28.667;17.2;25.729339;5183060
51;11:22:28.843;1.6;25.728822;5182956
52;11:22:29.019;1.5;25.732158;5183888
53;11:22:29.193;1.5;25.728544;5183396
54;11:22:29.368;3.2;25.729160;5183048
55;11:22:29.537;5.8;25.727770;5182996
56;11:22:29.716;2.9;25.728842;5183472
