ID; Time; CPU %; MEM %; MEM KiB
1;08:47:05.962;23.8;11.699163;2357256
2;08:47:06.150;19.1;11.781389;2373560
3;08:47:06.319;20.0;11.839906;2386356
4;08:47:06.490;3.1;11.853825;2387908
5;08:47:06.662;21.5;11.932457;2403740
6;08:47:06.833;16.4;11.943080;2405220
7;08:47:07.005;1.6;11.940419;2405344
8;08:47:07.175;4.5;11.943716;2405788
9;08:47:07.347;1.5;11.941551;2405572
10;08:47:07.517;3.1;11.943974;2406060
11;08:47:07.690;1.5;11.942465;2405756
12;08:47:07.859;20.0;11.903804;2397968
13;08:47:08.032;9.2;11.899336;2397068
14;08:47:08.201;1.6;11.900786;2397620
15;08:47:08.370;3.1;11.901640;2397532
16;08:47:08.539;3.1;11.903447;2397896
17;08:47:08.714;7.4;11.903248;2397636
18;08:47:08.892;4.4;11.902434;2397692
19;08:47:09.066;0.0;11.904499;2398108
20;08:47:09.241;3.1;11.904817;2397952
21;08:47:09.419;7.5;11.902315;2397668
22;08:47:09.592;5.7;11.903367;2397660
23;08:47:09.762;10.4;11.907021;2401648
24;08:47:09.932;14.5;11.960633;2409564
25;08:47:10.102;1.5;11.962659;2409864
26;08:47:10.271;1.5;11.964068;2410108
27;08:47:10.440;1.6;11.964684;2410012
28;08:47:10.610;3.1;11.964227;2410140
29;08:47:10.781;0.0;11.975486;2412408
30;08:47:10.952;3.1;11.975883;2412488
31;08:47:11.121;1.5;11.977015;2412748
32;08:47:11.291;1.5;11.976558;2412624
33;08:47:11.460;1.6;11.976737;2412440
34;08:47:11.629;1.6;11.975506;2412412
35;08:47:11.799;1.5;11.973937;2412096
36;08:47:11.969;1.5;11.975625;2412436
37;08:47:12.143;3.1;11.975129;2412336
38;08:47:12.319;1.6;11.974295;2412132
39;08:47:12.495;5.7;11.973977;2412104
40;08:47:12.669;4.2;11.975665;2412444
41;08:47:12.840;3.1;11.981502;2413620
42;08:47:13.017;7.0;11.975784;2412508
43;08:47:13.194;9.0;11.975506;2412664
44;08:47:13.366;2.9;11.976797;2413208
45;08:47:13.537;2.9;11.988472;2415024
46;08:47:13.709;2.9;11.985990;2415032
47;08:47:13.880;1.5;12.001419;2417632
48;08:47:14.052;0.0;12.000346;2417416
49;08:47:14.224;3.0;12.012677;2419900
50;08:47:14.403;3.0;12.018654;2421104
51;08:47:14.575;6.2;12.019051;2421412
52;08:47:14.748;4.7;12.023003;2421760
53;08:47:14.922;6.1;12.030945;2423612
54;08:47:15.093;6.1;12.051854;2427792
55;08:47:15.267;1.5;12.048995;2427476
56;08:47:15.438;1.4;12.058804;2429192
57;08:47:15.609;0.0;12.070896;2431628
58;08:47:15.780;3.0;12.068931;2431232
59;08:47:15.952;3.0;12.078978;2433516
60;08:47:16.124;2.9;12.083188;2434104
61;08:47:16.296;4.3;12.089006;2435536
62;08:47:16.467;5.7;12.091885;2435856
63;08:47:16.639;7.0;12.098973;2436844
64;08:47:16.812;2.7;12.097901;2437312
65;08:47:16.985;5.3;12.109597;2439424
66;08:47:17.157;4.1;12.118314;2441180
67;08:47:17.328;4.1;12.121928;2441688
68;08:47:17.501;2.8;12.132273;2443992
69;08:47:17.676;5.5;12.130883;2443492
70;08:47:17.849;4.1;12.144882;2446532
71;08:47:18.020;4.2;12.142936;2446140
72;08:47:18.191;6.6;12.152646;2448096
73;08:47:18.362;2.9;12.153480;2448044
74;08:47:18.532;5.3;12.163368;2450280
75;08:47:18.703;2.9;12.160648;2449708
76;08:47:18.876;4.2;12.173912;2452380
77;08:47:19.047;4.3;12.180981;2453804
78;08:47:19.217;4.2;12.181437;2454136
79;08:47:19.390;4.3;12.192994;2456004
80;08:47:19.561;4.2;12.195496;2456728
81;08:47:19.732;2.9;12.203478;2458336
82;08:47:19.904;4.2;12.204729;2458368
83;08:47:20.077;4.2;12.209117;2459600
84;08:47:20.248;5.6;12.211738;2460228
85;08:47:20.420;4.3;12.225062;2462128
86;08:47:20.595;0.0;12.226770;2463028
87;08:47:20.766;0.0;12.229252;2463528
88;08:47:20.940;1.5;12.243251;2466348
89;08:47:21.111;3.0;12.242754;2466268
90;08:47:21.283;1.5;12.250478;2467804
91;08:47:21.455;0.0;12.250637;2467836
92;08:47:21.626;1.4;12.263882;2470504
93;08:47:21.796;3.0;12.267714;2471056
94;08:47:21.968;3.0;12.276073;2472740
95;08:47:22.142;1.5;12.286439;2474800
96;08:47:22.313;2.9;12.286677;2475096
97;08:47:22.487;5.9;12.285227;2474804
98;08:47:22.664;4.5;12.286558;2475072
99;08:47:22.835;3.0;12.296585;2476880
100;08:47:23.008;1.5;12.304667;2478500
101;08:47:23.179;3.0;12.304726;2478732
102;08:47:23.351;3.0;12.315250;2481152
103;08:47:23.522;1.5;12.318169;2481440
104;08:47:23.693;2.9;12.328395;2483500
105;08:47:23.865;4.5;12.325715;2483104
106;08:47:24.038;3.1;12.337926;2485672
107;08:47:24.209;1.5;12.337609;2485136
108;08:47:24.386;4.5;12.339733;2485784
109;08:47:24.562;6.2;12.337509;2485596
110;08:47:24.732;3.1;12.338085;2485452
111;08:47:24.904;1.6;12.347736;2487396
112;08:47:25.075;3.1;12.352302;2488316
113;08:47:25.252;4.5;12.350654;2487764
114;08:47:25.429;4.5;12.347636;2487376
