ID; Time; Network interface; TBPS; RBPS
1;13:05:27.034;enp0s25;64;64
2;13:05:28.047;enp0s25;3355;10076
3;13:05:29.057;enp0s25;3500;6014
4;13:05:30.072;enp0s25;37474;955989
5;13:05:31.082;enp0s25;57424;1216070
6;13:05:32.089;enp0s25;86290;3488602
7;13:05:33.096;enp0s25;142818;6433424
8;13:05:34.103;enp0s25;145432;6344066
9;13:05:35.112;enp0s25;147459;7143708
10;13:05:36.119;enp0s25;37151;1571771
11;13:05:37.126;enp0s25;0;0
12;13:05:38.132;enp0s25;472;402
13;13:05:39.139;enp0s25;0;0
14;13:05:40.146;enp0s25;0;64
15;13:05:41.152;enp0s25;0;0
16;13:05:42.159;enp0s25;455;516
17;13:05:43.172;enp0s25;27434;704970
18;13:05:44.186;enp0s25;138116;5963575
19;13:05:45.201;enp0s25;149730;7048708
20;13:05:46.212;enp0s25;151550;7145290
21;13:05:47.219;enp0s25;151480;7155852
22;13:05:48.227;enp0s25;147954;7169578
23;13:05:49.236;enp0s25;135123;6268924
24;13:05:50.244;enp0s25;151970;7146808
25;13:05:51.252;enp0s25;152530;7161924
26;13:05:52.260;enp0s25;138938;6368663
27;13:05:53.267;enp0s25;148679;6952440
28;13:05:54.275;enp0s25;138964;6425078
29;13:05:55.282;enp0s25;105661;4945784
30;13:05:56.291;enp0s25;26594;701247
31;13:05:57.303;enp0s25;63504;1976629
32;13:05:58.313;enp0s25;16980;250902
33;13:05:59.321;enp0s25;86917;3143780
34;13:06:00.330;enp0s25;77563;2766203
35;13:06:01.339;enp0s25;0;0
36;13:06:02.346;enp0s25;0;64
37;13:06:03.353;enp0s25;0;0
38;13:06:04.359;enp0s25;0;64
39;13:06:05.366;enp0s25;241;140
40;13:06:06.373;enp0s25;0;64
41;13:06:07.380;enp0s25;0;0
42;13:06:08.388;enp0s25;0;64
43;13:06:09.394;enp0s25;350;350
44;13:06:10.402;enp0s25;0;64
45;13:06:11.408;enp0s25;64;64
46;13:06:12.415;enp0s25;70;134
47;13:06:13.422;enp0s25;0;0
48;13:06:14.430;enp0s25;0;64
49;13:06:15.440;enp0s25;0;64
50;13:06:16.448;enp0s25;0;0
51;13:06:17.458;enp0s25;0;64
52;13:06:18.465;enp0s25;0;0
53;13:06:19.472;enp0s25;350;414
54;13:06:20.479;enp0s25;0;0
55;13:06:21.486;enp0s25;51251;1052732
56;13:06:22.493;enp0s25;70974;1253143
57;13:06:23.503;enp0s25;24053;264656
58;13:06:24.512;enp0s25;61878;586264
59;13:06:25.519;enp0s25;28959;722881
60;13:06:26.526;enp0s25;1920;960
61;13:06:27.533;enp0s25;15241;415009
62;13:06:28.540;enp0s25;84668;1860870
63;13:06:29.549;enp0s25;71396;2129423
64;13:06:30.563;enp0s25;24486;555351
65;13:06:31.577;enp0s25;1436;11916
66;13:06:32.592;enp0s25;14508;281418
67;13:06:33.605;enp0s25;63330;1285659
68;13:06:34.613;enp0s25;21702;245095
69;13:06:35.625;enp0s25;33129;845078
70;13:06:36.632;enp0s25;78948;1044822
71;13:06:37.639;enp0s25;128315;2643540
72;13:06:38.645;enp0s25;15031;386643
73;13:06:39.652;enp0s25;140;1354
74;13:06:40.659;enp0s25;210;210
75;13:06:41.666;enp0s25;1920;1024
76;13:06:42.672;enp0s25;0;0
77;13:06:43.679;enp0s25;64;128
78;13:06:44.686;enp0s25;10880;170715
79;13:06:45.699;enp0s25;133615;4166974
80;13:06:46.708;enp0s25;129569;5849528
81;13:06:47.718;enp0s25;152002;7136182
82;13:06:48.732;enp0s25;148361;7031516
83;13:06:49.746;enp0s25;138656;7099750
84;13:06:50.756;enp0s25;148964;7034762
85;13:06:51.764;enp0s25;127108;6853834
86;13:06:52.778;enp0s25;140094;7072362
87;13:06:53.786;enp0s25;152130;7155916
88;13:06:54.794;enp0s25;146990;7158952
89;13:06:55.809;enp0s25;117028;7007152
90;13:06:56.823;enp0s25;102330;4743750
91;13:06:57.836;enp0s25;142106;7174318
92;13:06:58.850;enp0s25;149248;7168162
93;13:06:59.858;enp0s25;150258;7166612
94;13:07:00.871;enp0s25;124954;6913322
95;13:07:01.880;enp0s25;150778;7114930
96;13:07:02.888;enp0s25;151742;7160406
97;13:07:03.895;enp0s25;145678;7161988
98;13:07:04.902;enp0s25;136702;7164960
99;13:07:05.915;enp0s25;139238;7157498
100;13:07:06.923;enp0s25;143538;7163442
101;13:07:07.931;enp0s25;147974;7165024
102;13:07:08.939;enp0s25;135610;7164960
103;13:07:09.947;enp0s25;149556;7163506
104;13:07:10.955;enp0s25;94444;4815446
105;13:07:11.963;enp0s25;153036;7163524
106;13:07:12.971;enp0s25;151924;7152557
107;13:07:13.978;enp0s25;134368;6977845
108;13:07:14.991;enp0s25;133508;6413301
109;13:07:15.999;enp0s25;143452;6743020
110;13:07:17.006;enp0s25;163452;6988936
111;13:07:18.014;enp0s25;151786;7160152
112;13:07:19.022;enp0s25;150658;7164960
113;13:07:20.033;enp0s25;126922;6976862
114;13:07:21.042;enp0s25;151390;7147094
115;13:07:22.049;enp0s25;151724;7161988
116;13:07:23.057;enp0s25;147094;7122456
117;13:07:24.064;enp0s25;143772;7058764
118;13:07:25.074;enp0s25;153064;7123974
119;13:07:26.082;enp0s25;144044;7130110
120;13:07:27.097;enp0s25;123201;7151298
121;13:07:28.112;enp0s25;146120;7172678
122;13:07:29.126;enp0s25;147826;7169514
123;13:07:30.137;enp0s25;102964;4831928
124;13:07:31.146;enp0s25;149009;7163362
125;13:07:32.153;enp0s25;152110;7168060
126;13:07:33.168;enp0s25;150055;7164960
127;13:07:34.175;enp0s25;152600;7163506
128;13:07:35.183;enp0s25;151760;7123974
129;13:07:36.191;enp0s25;151830;7134664
130;13:07:37.199;enp0s25;151970;7161924
131;13:07:38.206;enp0s25;152180;7160470
132;13:07:39.213;enp0s25;153084;7165024
133;13:07:40.227;enp0s25;151340;7111894
134;13:07:41.235;enp0s25;113910;6623664
135;13:07:42.243;enp0s25;142870;7160680
136;13:07:43.251;enp0s25;152390;7163442
137;13:07:44.259;enp0s25;63338;3049383
138;13:07:45.266;enp0s25;70;70
139;13:07:46.273;enp0s25;0;64
140;13:07:47.280;enp0s25;0;0
141;13:07:48.287;enp0s25;0;64
142;13:07:49.293;enp0s25;0;0
143;13:07:50.301;enp0s25;64;128
144;13:07:51.308;enp0s25;140;140
145;13:07:52.318;enp0s25;210;274
146;13:07:53.324;enp0s25;0;0
147;13:07:54.331;enp0s25;0;64
148;13:07:55.342;enp0s25;1205;980
149;13:07:56.352;enp0s25;186;180
150;13:07:57.359;enp0s25;0;0
151;13:07:58.366;enp0s25;100;230
152;13:07:59.372;enp0s25;0;0
153;13:08:00.379;enp0s25;0;64
154;13:08:01.386;enp0s25;64;64
155;13:08:02.393;enp0s25;0;64
156;13:08:03.400;enp0s25;0;0
157;13:08:04.407;enp0s25;0;64
158;13:08:05.504;enp0s25;0;64
159;13:08:06.513;enp0s25;0;0
160;13:08:07.520;enp0s25;0;64
161;13:08:08.527;enp0s25;0;0
162;13:08:09.534;enp0s25;0;64
163;13:08:10.542;enp0s25;0;0
164;13:08:11.549;enp0s25;0;64
165;13:08:12.556;enp0s25;64;64
166;13:08:13.563;enp0s25;0;64
167;13:08:14.570;enp0s25;0;0
168;13:08:15.577;enp0s25;0;64
169;13:08:16.584;enp0s25;0;0
170;13:08:17.596;enp0s25;0;64
171;13:08:18.604;enp0s25;0;0
172;13:08:19.614;enp0s25;0;64
173;13:08:20.621;enp0s25;0;0
174;13:08:21.628;enp0s25;0;64
175;13:08:22.635;enp0s25;64;64
176;13:08:23.641;enp0s25;0;64
177;13:08:24.648;enp0s25;0;0
178;13:08:25.655;enp0s25;0;64
179;13:08:26.663;enp0s25;0;0
180;13:08:27.670;enp0s25;0;64
181;13:08:28.676;enp0s25;262;361
182;13:08:29.683;enp0s25;0;64
183;13:08:30.690;enp0s25;0;0
184;13:08:31.697;enp0s25;0;64
185;13:08:32.704;enp0s25;0;0
186;13:08:33.711;enp0s25;64;128
187;13:08:34.718;enp0s25;0;0
188;13:08:35.732;enp0s25;0;64
189;13:08:36.742;enp0s25;0;0
190;13:08:37.751;enp0s25;0;64
191;13:08:38.764;enp0s25;0;0
192;13:08:39.775;enp0s25;0;64
193;13:08:40.785;enp0s25;0;0
194;13:08:41.792;enp0s25;0;64
195;13:08:42.801;enp0s25;0;0
196;13:08:43.809;enp0s25;0;64
197;13:08:44.816;enp0s25;64;64
198;13:08:45.823;enp0s25;0;64
199;13:08:46.830;enp0s25;0;0
200;13:08:47.837;enp0s25;0;64
201;13:08:48.844;enp0s25;287;140
202;13:08:49.851;enp0s25;0;64
203;13:08:50.859;enp0s25;0;0
204;13:08:51.866;enp0s25;0;64
205;13:08:52.873;enp0s25;0;0
206;13:08:53.880;enp0s25;64;128
207;13:08:54.887;enp0s25;0;0
208;13:08:55.894;enp0s25;64;128
209;13:08:56.906;enp0s25;0;0
210;13:08:57.913;enp0s25;100;160
211;13:08:58.919;enp0s25;0;70
212;13:08:59.927;enp0s25;0;64
213;13:09:00.934;enp0s25;0;0
214;13:09:01.941;enp0s25;0;64
215;13:09:02.948;enp0s25;0;0
216;13:09:03.955;enp0s25;0;64
217;13:09:04.962;enp0s25;0;0
218;13:09:05.969;enp0s25;0;64
219;13:09:06.976;enp0s25;64;64
220;13:09:07.984;enp0s25;0;64
221;13:09:08.991;enp0s25;0;0
222;13:09:09.998;enp0s25;0;64
223;13:09:11.004;enp0s25;0;0
224;13:09:12.011;enp0s25;0;64
225;13:09:13.018;enp0s25;0;0
226;13:09:14.025;enp0s25;0;64
227;13:09:15.034;enp0s25;0;0
228;13:09:16.042;enp0s25;0;64
229;13:09:17.053;enp0s25;0;0
230;13:09:18.060;enp0s25;64;128
231;13:09:19.067;enp0s25;0;0
232;13:09:20.074;enp0s25;0;64
233;13:09:21.081;enp0s25;0;0
234;13:09:22.088;enp0s25;0;64
235;13:09:23.095;enp0s25;0;0
236;13:09:24.102;enp0s25;0;64
237;13:09:25.109;enp0s25;0;0
238;13:09:26.117;enp0s25;0;64
239;13:09:27.124;enp0s25;0;0
240;13:09:28.131;enp0s25;0;64
241;13:09:29.138;enp0s25;64;64
242;13:09:30.145;enp0s25;0;64
243;13:09:31.152;enp0s25;0;0
244;13:09:32.159;enp0s25;0;64
245;13:09:33.166;enp0s25;0;0
246;13:09:34.174;enp0s25;0;64
247;13:09:35.186;enp0s25;0;0
248;13:09:36.194;enp0s25;0;64
249;13:09:37.204;enp0s25;0;0
250;13:09:38.212;enp0s25;0;64
251;13:09:39.218;enp0s25;0;0
252;13:09:40.225;enp0s25;64;128
253;13:09:41.232;enp0s25;0;0
254;13:09:42.238;enp0s25;0;64
255;13:09:43.245;enp0s25;0;0
256;13:09:44.252;enp0s25;0;64
257;13:09:45.259;enp0s25;0;0
258;13:09:46.266;enp0s25;0;64
259;13:09:47.272;enp0s25;0;0
260;13:09:48.279;enp0s25;0;64
261;13:09:49.285;enp0s25;0;0
262;13:09:50.292;enp0s25;0;64
263;13:09:51.299;enp0s25;64;64
264;13:09:52.305;enp0s25;0;64
265;13:09:53.312;enp0s25;0;0
266;13:09:54.319;enp0s25;0;64
267;13:09:55.325;enp0s25;0;0
268;13:09:56.333;enp0s25;0;64
269;13:09:57.344;enp0s25;0;0
270;13:09:58.352;enp0s25;100;230
271;13:09:59.361;enp0s25;0;0
272;13:10:00.368;enp0s25;0;64
273;13:10:01.374;enp0s25;0;0
274;13:10:02.381;enp0s25;64;128
275;13:10:03.390;enp0s25;64;64
276;13:10:04.397;enp0s25;0;64
277;13:10:05.405;enp0s25;0;0
278;13:10:06.412;enp0s25;0;64
279;13:10:07.419;enp0s25;0;0
280;13:10:08.426;enp0s25;0;64
281;13:10:09.432;enp0s25;0;64
282;13:10:10.439;enp0s25;0;0
283;13:10:11.446;enp0s25;0;64
284;13:10:12.453;enp0s25;0;0
285;13:10:13.459;enp0s25;64;128
286;13:10:14.466;enp0s25;0;0
287;13:10:15.473;enp0s25;0;64
288;13:10:16.480;enp0s25;0;0
289;13:10:17.487;enp0s25;0;64
290;13:10:18.495;enp0s25;0;0
291;13:10:19.506;enp0s25;0;64
