ID; Time; Network interface; TBPS; RBPS
1;11:28:50.612;enp0s25;0;0
2;11:28:51.627;enp0s25;0;64
3;11:28:52.634;enp0s25;5219;10479
4;11:28:53.653;enp0s25;106876;2337600
5;11:28:54.662;enp0s25;83804;3044062
6;11:28:55.670;enp0s25;9859;8084
7;11:28:56.686;enp0s25;4669;5768
8;11:28:57.694;enp0s25;41735;1378674
9;11:28:58.704;enp0s25;171758;6937111
10;11:28:59.714;enp0s25;164592;6055366
11;11:29:00.722;enp0s25;161122;5955114
12;11:29:01.732;enp0s25;189704;6494068
13;11:29:02.744;enp0s25;183046;6688308
14;11:29:03.757;enp0s25;156574;6480513
15;11:29:04.767;enp0s25;167100;6642939
16;11:29:05.779;enp0s25;155126;6500140
17;11:29:06.790;enp0s25;162224;6618480
18;11:29:07.800;enp0s25;139578;5603002
19;11:29:08.808;enp0s25;127202;4848492
20;11:29:09.820;enp0s25;193394;6812848
21;11:29:10.833;enp0s25;174036;6522916
22;11:29:11.848;enp0s25;157376;6737018
23;11:29:12.868;enp0s25;173210;6600264
24;11:29:13.876;enp0s25;175000;6803740
25;11:29:14.885;enp0s25;167420;6882612
26;11:29:15.894;enp0s25;116830;5019796
27;11:29:16.906;enp0s25;123156;4569180
28;11:29:17.918;enp0s25;140160;6275476
29;11:29:18.934;enp0s25;77910;3598820
30;11:29:19.945;enp0s25;48020;2282778
31;11:29:20.980;enp0s25;0;0
32;11:29:22.008;enp0s25;0;64
33;11:29:23.045;enp0s25;0;0
34;11:29:24.064;enp0s25;0;64
35;11:29:25.083;enp0s25;0;0
36;11:29:26.090;enp0s25;64;128
37;11:29:27.098;enp0s25;0;0
38;11:29:28.108;enp0s25;0;0
39;11:29:29.115;enp0s25;0;64
40;11:29:30.125;enp0s25;0;0
41;11:29:31.132;enp0s25;0;64
42;11:29:32.144;enp0s25;0;0
43;11:29:33.151;enp0s25;0;64
44;11:29:34.173;enp0s25;0;0
45;11:29:35.203;enp0s25;0;171
46;11:29:36.244;enp0s25;0;107
47;11:29:37.259;enp0s25;64;128
48;11:29:38.267;enp0s25;0;0
49;11:29:39.274;enp0s25;0;64
50;11:29:40.282;enp0s25;0;0
51;11:29:41.289;enp0s25;1938;8330
52;11:29:42.297;enp0s25;350;3921
53;11:29:43.306;enp0s25;0;64
54;11:29:44.439;enp0s25;0;0
55;11:29:45.453;enp0s25;0;64
56;11:29:46.461;enp0s25;0;0
57;11:29:47.489;enp0s25;0;64
58;11:29:48.504;enp0s25;64;64
59;11:29:49.520;enp0s25;0;64
60;11:29:50.549;enp0s25;0;0
61;11:29:51.557;enp0s25;11904;11512
62;11:29:52.565;enp0s25;1854;1032
63;11:29:53.591;enp0s25;77879;2383188
64;11:29:54.607;enp0s25;220898;5758837
65;11:29:55.623;enp0s25;137466;4308816
66;11:29:56.679;enp0s25;70;70
67;11:29:57.700;enp0s25;0;64
68;11:29:58.708;enp0s25;0;0
69;11:29:59.717;enp0s25;64;128
70;11:30:00.726;enp0s25;0;0
71;11:30:01.733;enp0s25;0;64
72;11:30:02.741;enp0s25;12312;11812
73;11:30:03.749;enp0s25;1924;1447
74;11:30:04.757;enp0s25;36384;862837
75;11:30:05.765;enp0s25;161485;5725395
76;11:30:06.786;enp0s25;168983;6449013
77;11:30:07.802;enp0s25;206976;7175650
78;11:30:08.815;enp0s25;180134;6782424
79;11:30:09.824;enp0s25;205212;7155916
80;11:30:10.833;enp0s25;188388;6735430
81;11:30:11.846;enp0s25;192080;6286102
82;11:30:12.858;enp0s25;192916;6416586
83;11:30:13.866;enp0s25;205498;6683818
84;11:30:14.881;enp0s25;190512;6838026
85;11:30:15.888;enp0s25;96774;4026598
86;11:30:16.900;enp0s25;205008;6594192
87;11:30:17.913;enp0s25;199964;6696760
88;11:30:18.924;enp0s25;204202;6752064
89;11:30:19.940;enp0s25;208224;6893302
90;11:30:20.950;enp0s25;183367;6522041
91;11:30:21.959;enp0s25;147793;6454657
92;11:30:22.968;enp0s25;194710;6638214
93;11:30:23.977;enp0s25;166063;6567645
94;11:30:24.987;enp0s25;200936;6771798
95;11:30:25.999;enp0s25;117694;4299040
96;11:30:27.010;enp0s25;185834;6536508
97;11:30:28.023;enp0s25;203870;6774898
98;11:30:29.038;enp0s25;204184;6979764
99;11:30:30.054;enp0s25;207828;7084570
100;11:30:31.068;enp0s25;171351;6662811
101;11:30:32.078;enp0s25;202523;6887294
102;11:30:33.090;enp0s25;204216;6954547
103;11:30:34.101;enp0s25;175347;6636410
104;11:30:35.115;enp0s25;199510;6968259
105;11:30:36.126;enp0s25;153774;6156613
106;11:30:37.136;enp0s25;143886;6215165
107;11:30:38.150;enp0s25;176430;6707877
108;11:30:39.165;enp0s25;189400;6553207
109;11:30:40.174;enp0s25;165848;6311613
