ID; Time; CPU %; MEM %; MEM KiB
1;12:27:45.492;22.7;25.322201;5101296
2;12:27:45.668;23.1;25.392315;5115420
3;12:27:45.838;19.1;25.419518;5120900
4;12:27:46.007;23.4;25.567627;5150484
5;12:27:46.186;7.8;25.663812;5170112
6;12:27:46.362;27.7;25.749850;5188208
7;12:27:46.557;14.9;25.767821;5190812
8;12:27:46.735;1.6;25.768595;5190968
9;12:27:46.930;1.6;25.778900;5193044
10;12:27:47.111;4.6;25.780171;5193244
11;12:27:47.291;5.9;25.782395;5193748
12;12:27:47.466;4.4;25.778444;5192568
13;12:27:47.653;24.2;25.659225;5168936
14;12:27:47.830;11.3;25.669769;5171060
15;12:27:48.007;1.6;25.671934;5171496
16;12:27:48.185;4.5;25.672251;5172064
17;12:27:48.365;1.5;25.677732;5173168
18;12:27:48.541;4.5;25.677692;5172908
19;12:27:48.720;4.5;25.680194;5172940
20;12:27:48.895;4.3;25.681346;5173172
21;12:27:49.073;4.8;25.681981;5173520
22;12:27:49.243;1.5;25.677732;5172696
23;12:27:49.415;4.8;25.675230;5172188
24;12:27:49.589;1.6;25.685019;5174132
25;12:27:49.760;3.1;25.682279;5173616
26;12:27:49.968;4.5;25.682219;5173568
27;12:27:50.148;19.4;25.692723;5178204
28;12:27:50.319;25.8;25.729954;5183184
29;12:27:50.496;3.1;25.730887;5183372
30;12:27:50.674;1.5;25.730887;5183372
31;12:27:50.850;3.1;25.730887;5183372
32;12:27:51.027;4.3;25.735852;5184372
33;12:27:51.208;3.0;25.736169;5184660
34;12:27:51.390;4.5;25.737778;5184760
35;12:27:51.571;3.1;25.736189;5184216
36;12:27:51.756;4.4;25.736725;5184548
37;12:27:51.935;4.6;25.739585;5185124
38;12:27:52.112;1.6;25.738155;5184836
39;12:27:52.290;3.0;25.737559;5184716
40;12:27:52.467;1.6;25.737559;5184716
41;12:27:52.645;1.5;25.737559;5184716
42;12:27:52.825;0.0;25.737559;5184716
43;12:27:53.006;3.0;25.739604;5185372
44;12:27:53.185;4.5;25.743516;5186176
45;12:27:53.361;5.7;25.743715;5185956
46;12:27:53.540;4.8;25.742960;5185804
47;12:27:53.717;2.9;25.747626;5186744
48;12:27:53.891;3.0;25.746951;5187004
49;12:27:54.064;4.5;25.754596;5188148
50;12:27:54.239;3.0;25.762082;5189436
51;12:27:54.415;6.2;25.746296;5186252
52;12:27:54.591;8.3;25.746554;5186308
53;12:27:54.765;5.9;25.747229;5186664
54;12:27:54.944;4.3;25.751240;5187472
55;12:27:55.121;6.3;25.757019;5188888
56;12:27:55.292;4.3;25.766828;5190888
57;12:27:55.471;6.1;25.776458;5192332
58;12:27:55.647;3.0;25.772169;5191468
59;12:27:55.818;7.5;25.746455;5186508
60;12:27:55.994;4.5;25.750228;5187268
61;12:27:56.171;2.9;25.757297;5188936
62;12:27:56.350;4.2;25.768873;5191024
63;12:27:56.527;4.1;25.776299;5192744
64;12:27:56.706;4.3;25.782951;5193860
65;12:27:56.882;4.5;25.788710;5195020
66;12:27:57.053;11.9;25.755708;5188500
67;12:27:57.226;11.9;25.776220;5192504
68;12:27:57.400;3.9;25.785056;5194284
69;12:27:57.578;2.7;25.792800;5195844
70;12:27:57.757;2.8;25.798538;5197228
71;12:27:57.931;2.8;25.804992;5198300
72;12:27:58.107;4.1;25.813451;5200004
73;12:27:58.286;2.7;25.816806;5200680
74;12:27:58.463;7.2;25.828681;5203332
75;12:27:58.640;10.6;25.812001;5198596
76;12:27:58.821;1.5;25.810591;5199428
77;12:27:58.997;4.7;25.820381;5201400
78;12:27:59.174;3.0;25.828760;5203452
79;12:27:59.353;4.8;25.825424;5202416
80;12:27:59.528;3.0;25.824670;5202264
81;12:27:59.705;1.6;25.832989;5203940
82;12:27:59.881;7.6;25.836603;5204496
83;12:28:00.059;5.9;25.832572;5203856
84;12:28:00.236;4.7;25.846194;5206380
85;12:28:00.410;7.5;25.844844;5206328
86;12:28:00.584;1.6;25.845122;5206384
87;12:28:00.762;4.5;25.846750;5206712
88;12:28:00.938;4.5;25.847187;5207068
89;12:28:01.118;1.6;25.874748;5212132
90;12:28:01.300;3.1;25.873934;5212188
91;12:28:01.474;4.8;25.887714;5214964
92;12:28:01.646;7.8;25.893135;5216308
93;12:28:01.822;3.1;25.899588;5217136
94;12:28:01.999;3.0;25.904612;5218368
95;12:28:02.177;6.2;25.916724;5221328
96;12:28:02.352;3.1;25.926692;5223068
97;12:28:02.527;4.8;25.922602;5222268
98;12:28:02.700;9.2;25.926375;5222752
99;12:28:02.871;3.2;25.930445;5222916
100;12:28:03.042;4.5;25.941287;5226016
101;12:28:03.220;4.6;25.946152;5226736
102;12:28:03.397;6.2;25.941882;5225876
103;12:28:03.569;4.5;25.948038;5226896
104;12:28:03.747;4.6;25.944444;5226392
105;12:28:03.922;3.2;25.942438;5226264
106;12:28:04.097;6.0;25.942975;5226096
107;12:28:04.276;6.1;25.961799;5229888
108;12:28:04.451;8.8;25.963963;5230104
109;12:28:04.627;3.1;25.970039;5233628
110;12:28:04.803;1.6;25.975341;5233068
111;12:28:04.980;4.4;25.979669;5233488
112;12:28:05.158;7.8;25.981417;5233840
113;12:28:05.333;2.9;25.999327;5237448
114;12:28:05.510;4.7;26.002504;5238356
115;12:28:05.685;4.6;26.009970;5239592
116;12:28:05.862;8.8;25.989141;5236004
117;12:28:06.038;4.2;26.008561;5239308
118;12:28:06.218;4.5;26.009117;5239420
119;12:28:06.396;1.5;26.022023;5242020
120;12:28:06.571;3.0;26.016424;5241176
121;12:28:06.749;6.1;26.016384;5241516
122;12:28:06.926;10.0;26.027126;5243332
123;12:28:07.100;4.7;26.031693;5243748
124;12:28:07.274;1.5;26.038445;5245328
