ID; Time; CPU %; MEM %; MEM KiB
1;10:48:03.343;4.7;12.755054;2569228
2;10:48:03.519;10.9;12.780133;2575004
3;10:48:03.691;9.2;12.803524;2579220
4;10:48:03.864;4.3;12.804278;2579364
5;10:48:04.040;6.1;12.806681;2579628
6;10:48:04.215;6.0;12.822824;2582880
7;10:48:04.388;4.7;12.824909;2583520
8;10:48:04.560;3.0;12.830211;2584368
9;10:48:04.733;6.2;12.834421;2586476
10;10:48:04.903;3.1;12.844468;2587972
11;10:48:05.078;5.9;12.849591;2588752
12;10:48:05.255;9.5;12.865317;2592140
13;10:48:05.423;7.2;12.874809;2593352
14;10:48:05.598;9.2;12.889244;2596732
15;10:48:05.770;5.8;12.892898;2597216
16;10:48:05.944;9.1;12.897624;2598460
17;10:48:06.122;4.5;12.903680;2599168
18;10:48:06.293;9.2;12.915276;2601724
19;10:48:06.465;9.5;12.916746;2602020
20;10:48:06.636;13.0;12.926296;2604228
21;10:48:06.808;3.0;12.933187;2605332
22;10:48:06.985;6.2;12.975421;2613864
23;10:48:07.161;3.1;12.979095;2614580
24;10:48:07.330;10.1;13.062770;2631436
25;10:48:07.500;24.2;13.072480;2633392
26;10:48:07.670;6.1;13.081455;2635420
27;10:48:07.841;1.6;13.081336;2635176
28;10:48:08.010;3.0;13.081217;2634932
29;10:48:08.179;0.0;13.079886;2634664
30;10:48:08.348;0.0;13.081098;2635144
31;10:48:08.518;6.0;13.073751;2633956
32;10:48:08.688;4.7;12.943016;2607564
33;10:48:08.862;5.9;12.944525;2607616
34;10:48:09.038;17.9;13.020039;2623088
35;10:48:09.210;3.1;13.022759;2623376
36;10:48:09.380;1.6;13.023772;2623580
37;10:48:09.549;1.6;13.023415;2623288
38;10:48:09.718;3.0;13.022481;2623320
39;10:48:09.892;4.4;13.023712;2623836
40;10:48:10.071;3.0;13.026373;2624104
41;10:48:10.247;2.9;13.023375;2623728
42;10:48:10.422;6.2;13.024546;2623516
43;10:48:10.594;1.5;13.021111;2623044
44;10:48:10.765;1.5;13.023613;2623548
45;10:48:10.935;0.0;13.022521;2623108
46;10:48:11.104;9.4;13.002327;2619728
47;10:48:11.273;23.5;13.087233;2636144
48;10:48:11.444;1.6;13.086320;2635960
49;10:48:11.614;4.6;13.086638;2636244
50;10:48:11.784;0.0;13.089140;2636528
51;10:48:11.952;3.1;13.087015;2636344
52;10:48:12.123;3.1;13.090927;2637336
53;10:48:12.294;3.0;13.091085;2636700
54;10:48:12.465;0.0;13.089914;2636684
55;10:48:12.634;1.6;13.088464;2636612
56;10:48:12.805;3.1;13.088921;2636704
57;10:48:12.974;3.0;13.089060;2636512
58;10:48:13.143;1.6;13.086161;2636108
59;10:48:13.312;1.6;13.087293;2636156
60;10:48:13.482;3.1;13.090907;2637244
61;10:48:13.657;6.1;13.092197;2637420
62;10:48:13.833;1.7;13.090510;2637024
63;10:48:14.003;4.5;13.091641;2637160
64;10:48:14.174;1.5;13.091483;2637220
65;10:48:14.348;6.2;13.093965;2637720
66;10:48:14.522;3.0;13.085665;2636308
67;10:48:14.693;1.5;13.088445;2636608
68;10:48:14.864;2.9;13.090530;2636588
69;10:48:15.036;7.6;13.085506;2636016
70;10:48:15.207;5.6;13.087690;2636456
71;10:48:15.379;9.9;13.098333;2638600
72;10:48:15.551;8.3;13.108380;2640624
73;10:48:15.724;8.5;13.105680;2640364
74;10:48:15.897;13.7;13.118825;2642728
75;10:48:16.068;15.3;13.118865;2642736
76;10:48:16.238;15.5;13.126668;2644308
77;10:48:16.409;13.0;13.137153;2646688
78;10:48:16.580;12.1;13.140568;2647148
79;10:48:16.751;20.0;13.150099;2649220
80;10:48:16.921;11.4;13.159352;2650892
81;10:48:17.092;7.5;13.161695;2651372
82;10:48:17.264;9.0;13.169658;2652748
83;10:48:17.435;4.4;13.178851;2654820
84;10:48:17.607;4.8;13.180956;2655024
85;10:48:17.777;1.9;13.189435;2656956
86;10:48:17.948;0.0;13.188343;2657120
87;10:48:18.119;0.0;13.203215;2659728
88;10:48:18.290;3.8;13.212349;2661964
89;10:48:18.463;2.0;13.212567;2661612
90;10:48:18.633;2.0;13.222079;2663528
91;10:48:18.804;2.0;13.231848;2665276
92;10:48:18.976;0.0;13.231689;2665244
93;10:48:19.146;3.7;13.237289;2666304
94;10:48:19.318;0.0;13.312366;2681716
95;10:48:19.488;1.6;13.353469;2689996
96;10:48:19.656;3.0;13.392785;2698192
97;10:48:19.826;3.0;13.464288;2712100
98;10:48:19.996;1.5;13.618136;2743312
99;10:48:20.165;3.1;13.764300;2772756
100;10:48:20.334;1.6;13.944795;2809116
101;10:48:20.504;3.1;14.041576;2827552
102;10:48:20.674;3.2;14.037287;2827992
103;10:48:20.844;1.6;14.038816;2828080
104;10:48:21.013;1.5;14.092309;2840880
105;10:48:21.182;1.6;14.173661;2855000
106;10:48:21.352;2.9;14.233965;2867248
107;10:48:21.525;3.1;14.296077;2879880
108;10:48:21.694;3.0;14.296692;2880232
109;10:48:21.863;3.0;14.296474;2879960
110;10:48:22.032;3.1;14.296791;2880024
111;10:48:22.200;1.5;14.294687;2879844
112;10:48:22.369;1.5;14.297824;2880232
113;10:48:22.537;0.0;14.298479;2880616
114;10:48:22.706;0.0;14.298201;2880552
115;10:48:22.876;3.1;14.298142;2880556
116;10:48:23.045;1.6;14.300147;2880700
117;10:48:23.214;0.0;14.298856;2880952
118;10:48:23.382;3.0;14.310592;2883308
119;10:48:23.552;1.5;14.312736;2883236
120;10:48:23.721;1.6;14.311565;2883000
121;10:48:23.890;1.5;14.311128;2882692
122;10:48:24.059;0.0;14.311167;2882920
123;10:48:24.227;1.5;14.311167;2882920
124;10:48:24.396;3.0;14.311485;2883472
125;10:48:24.566;3.0;14.311843;2883056
126;10:48:24.735;1.3;14.310314;2883000
127;10:48:24.904;0.0;14.312081;2883104
128;10:48:25.073;1.6;14.311803;2883048
129;10:48:25.242;1.5;14.310393;2883048
130;10:48:25.411;1.5;14.310353;2882756
131;10:48:25.580;1.5;14.310274;2882740
132;10:48:25.749;0.0;14.311604;2883008
133;10:48:25.918;1.4;14.310393;2882764
134;10:48:26.086;1.5;14.312021;2883092
135;10:48:26.256;2.9;14.309658;2882616
136;10:48:26.425;1.5;14.313808;2883452
137;10:48:26.594;0.0;14.312140;2883116
138;10:48:26.764;1.5;14.310572;2882800
139;10:48:26.932;1.5;14.309321;2882548
140;10:48:27.101;1.6;14.311862;2883060
141;10:48:27.272;4.6;14.311783;2883044
142;10:48:27.440;3.0;14.314384;2883128
143;10:48:27.609;3.1;14.313054;2882972
144;10:48:27.778;0.0;14.310870;2882924
145;10:48:27.947;1.6;14.443372;2909552
146;10:48:28.116;3.0;14.495217;2919996
147;10:48:28.285;0.0;14.567078;2934512
148;10:48:28.453;1.5;14.650833;2951344
149;10:48:28.622;4.7;14.688838;2959000
150;10:48:28.791;1.5;14.689573;2958928
151;10:48:28.961;1.5;14.689692;2959172
152;10:48:29.130;1.5;14.691062;2959448
153;10:48:29.299;0.0;14.689275;2959088
154;10:48:29.469;1.6;14.691082;2959452
155;10:48:29.638;1.5;14.689950;2959224
156;10:48:29.807;1.5;14.689235;2959128
157;10:48:29.981;3.0;14.689314;2959380
158;10:48:30.160;5.9;14.690486;2959332
