ID; Time; Network interface; TBPS; RBPS
1;07:16:05.968;enp0s25;0;0
2;07:16:06.981;enp0s25;0;64
3;07:16:07.993;enp0s25;0;0
4;07:16:09.006;enp0s25;0;64
5;07:16:10.019;enp0s25;0;0
6;07:16:11.029;enp0s25;0;64
7;07:16:12.037;enp0s25;64;64
8;07:16:13.046;enp0s25;4217;9048
9;07:16:14.063;enp0s25;55534;1801934
10;07:16:15.074;enp0s25;4919;5350
11;07:16:16.084;enp0s25;618;344
12;07:16:17.090;enp0s25;13771;385730
13;07:16:18.102;enp0s25;132784;5751702
14;07:16:19.110;enp0s25;145174;6347242
15;07:16:20.117;enp0s25;151830;7149780
16;07:16:21.126;enp0s25;148420;7143842
17;07:16:22.133;enp0s25;151690;7144258
18;07:16:23.141;enp0s25;150474;7043648
19;07:16:24.149;enp0s25;66990;3248162
20;07:16:25.157;enp0s25;0;2380
21;07:16:26.164;enp0s25;0;2728
22;07:16:27.172;enp0s25;0;824
23;07:16:28.179;enp0s25;0;1150
24;07:16:29.188;enp0s25;0;488
25;07:16:30.195;enp0s25;0;0
26;07:16:31.202;enp0s25;0;2786
27;07:16:32.209;enp0s25;0;3732
28;07:16:33.216;enp0s25;0;1462
29;07:16:34.223;enp0s25;64;614
30;07:16:35.230;enp0s25;0;64
31;07:16:36.239;enp0s25;0;0
32;07:16:37.255;enp0s25;0;64
33;07:16:38.264;enp0s25;0;252
34;07:16:39.271;enp0s25;0;64
35;07:16:40.277;enp0s25;0;0
36;07:16:41.284;enp0s25;0;632
37;07:16:42.291;enp0s25;0;2872
38;07:16:43.298;enp0s25;0;1848
39;07:16:44.304;enp0s25;960;6474
40;07:16:45.311;enp0s25;64;128
41;07:16:46.318;enp0s25;0;394
42;07:16:47.325;enp0s25;0;64
43;07:16:48.332;enp0s25;0;0
44;07:16:49.340;enp0s25;0;64
45;07:16:50.354;enp0s25;0;0
46;07:16:51.369;enp0s25;0;64
47;07:16:52.377;enp0s25;4345;4467
48;07:16:53.384;enp0s25;1568;1827
49;07:16:54.391;enp0s25;99965;3290882
50;07:16:55.399;enp0s25;24210;866076
51;07:16:56.408;enp0s25;64;64
52;07:16:57.415;enp0s25;0;64
53;07:16:58.422;enp0s25;0;0
54;07:16:59.432;enp0s25;0;64
55;07:17:00.439;enp0s25;4849;4935
56;07:17:01.445;enp0s25;688;759
57;07:17:02.453;enp0s25;4889;114462
58;07:17:03.465;enp0s25;1178;15392
59;07:17:04.474;enp0s25;38911;1253111
60;07:17:05.486;enp0s25;137022;5984456
61;07:17:06.493;enp0s25;134506;5847336
62;07:17:07.502;enp0s25;144754;6793178
63;07:17:08.510;enp0s25;136270;6950922
64;07:17:09.519;enp0s25;137584;7028482
65;07:17:10.527;enp0s25;133309;6176007
66;07:17:11.536;enp0s25;130456;6727840
67;07:17:12.543;enp0s25;137242;7026822
68;07:17:13.552;enp0s25;143125;7130236
69;07:17:14.560;enp0s25;133710;6088133
70;07:17:15.568;enp0s25;111790;5251586
71;07:17:16.585;enp0s25;128285;5905153
72;07:17:17.593;enp0s25;63360;2632017
73;07:17:18.605;enp0s25;29517;715205
74;07:17:19.615;enp0s25;50873;1629429
75;07:17:20.625;enp0s25;41485;1359757
76;07:17:21.633;enp0s25;119344;4532073
77;07:17:22.640;enp0s25;0;0
78;07:17:23.647;enp0s25;0;64
79;07:17:24.654;enp0s25;0;0
80;07:17:25.661;enp0s25;0;64
81;07:17:26.669;enp0s25;0;252
82;07:17:27.676;enp0s25;0;64
83;07:17:28.688;enp0s25;0;0
84;07:17:29.695;enp0s25;64;128
85;07:17:30.702;enp0s25;0;1412
86;07:17:31.709;enp0s25;0;4270
87;07:17:32.716;enp0s25;0;1398
88;07:17:33.723;enp0s25;0;632
89;07:17:34.730;enp0s25;0;1864
90;07:17:35.737;enp0s25;0;64
91;07:17:36.744;enp0s25;0;0
92;07:17:37.751;enp0s25;0;1778
93;07:17:38.759;enp0s25;0;0
94;07:17:39.766;enp0s25;0;64
95;07:17:40.775;enp0s25;64;64
96;07:17:41.782;enp0s25;0;64
97;07:17:42.789;enp0s25;10230;378452
98;07:17:43.796;enp0s25;18909;727586
99;07:17:44.807;enp0s25;17828;659259
100;07:17:45.820;enp0s25;16356;576177
101;07:17:46.835;enp0s25;19887;792355
102;07:17:47.842;enp0s25;16711;620708
103;07:17:48.854;enp0s25;14715;452636
104;07:17:49.866;enp0s25;18447;696121
105;07:17:50.881;enp0s25;20638;807842
106;07:17:51.896;enp0s25;19148;698025
107;07:17:52.909;enp0s25;28272;1146629
108;07:17:53.918;enp0s25;6272;259819
109;07:17:54.924;enp0s25;2176;121241
110;07:17:55.936;enp0s25;18744;657521
111;07:17:56.943;enp0s25;24565;881991
112;07:17:57.950;enp0s25;36804;1641665
113;07:17:58.956;enp0s25;43507;1922931
114;07:17:59.967;enp0s25;0;64
115;07:18:00.982;enp0s25;5460;84063
116;07:18:01.995;enp0s25;55750;2628477
117;07:18:03.010;enp0s25;22389;906957
118;07:18:04.024;enp0s25;18746;754723
119;07:18:05.032;enp0s25;30711;1258099
120;07:18:06.040;enp0s25;16633;401245
121;07:18:07.047;enp0s25;15084;337921
122;07:18:08.057;enp0s25;24830;948691
123;07:18:09.073;enp0s25;4128;99704
124;07:18:10.082;enp0s25;16761;637011
125;07:18:11.090;enp0s25;16283;423139
