ID; Time; CPU %; MEM %; MEM KiB
1;16:27:10.959;27.3;26.434269;5325320
2;16:27:11.133;23.4;26.510339;5340640
3;16:27:11.302;20.3;26.540064;5346376
4;16:27:11.471;16.9;26.592843;5357008
5;16:27:11.641;3.0;26.595385;5357520
6;16:27:11.813;23.8;26.695938;5377776
7;16:27:11.985;14.3;26.707951;5380196
8;16:27:12.155;1.5;26.709877;5380584
9;16:27:12.326;1.5;26.710512;5380712
10;16:27:12.495;3.1;26.711327;5380876
11;16:27:12.664;3.1;26.712022;5380796
12;16:27:12.836;3.1;26.709103;5380220
13;16:27:13.006;20.0;26.643139;5367140
14;16:27:13.175;9.2;26.644013;5367316
15;16:27:13.344;1.6;26.644172;5367348
16;16:27:13.513;1.6;26.643695;5367252
17;16:27:13.681;4.4;26.643259;5367432
18;16:27:13.856;7.4;26.643973;5367160
19;16:27:14.030;0.0;26.643576;5367228
20;16:27:14.200;1.4;26.644907;5367496
21;16:27:14.374;5.9;26.646594;5367836
22;16:27:14.551;0.0;26.645145;5367876
23;16:27:14.721;3.1;26.645244;5367564
24;16:27:14.890;3.0;26.655550;5369640
25;16:27:15.059;1.6;26.667682;5372084
26;16:27:15.228;0.0;26.667841;5371676
27;16:27:15.396;1.5;26.687439;5376064
28;16:27:15.564;3.1;26.725762;5384000
29;16:27:15.732;3.1;27.075534;5456112
30;16:27:15.902;3.1;27.144833;5468204
31;16:27:16.071;3.2;27.146283;5468520
32;16:27:16.239;0.0;27.147236;5468688
33;16:27:16.409;1.6;27.143999;5468036
34;16:27:16.579;0.0;27.146025;5468444
35;16:27:16.747;1.6;27.146184;5468476
36;16:27:16.916;1.6;27.147435;5468728
37;16:27:17.084;1.6;27.148725;5468988
38;16:27:17.253;4.5;27.150056;5469108
39;16:27:17.422;4.5;27.148686;5468980
40;16:27:17.590;1.6;27.148090;5468860
41;16:27:17.759;0.0;27.148090;5468860
42;16:27:17.927;0.0;27.149301;5469104
43;16:27:18.096;1.6;27.150790;5469404
44;16:27:18.264;0.0;27.149698;5469184
45;16:27:18.434;1.5;27.148189;5468880
46;16:27:18.603;1.5;27.149242;5469092
47;16:27:18.772;3.1;27.148110;5468864
48;16:27:18.940;0.0;27.147018;5468348
49;16:27:19.109;3.2;27.145548;5468348
50;16:27:19.278;3.0;27.147077;5468656
51;16:27:19.454;3.0;27.145727;5468384
52;16:27:19.627;3.1;27.146621;5468816
53;16:27:19.802;4.8;27.147871;5468816
54;16:27:19.977;4.5;27.150751;5469396
55;16:27:20.154;3.1;27.147911;5468824
56;16:27:20.326;3.3;27.148864;5469016
57;16:27:20.498;3.2;27.147474;5468736
58;16:27:20.670;3.2;27.149182;5469080
59;16:27:20.841;3.0;27.155655;5470164
60;16:27:21.018;6.0;27.166636;5472596
61;16:27:21.195;6.2;27.152895;5469668
62;16:27:21.366;4.7;27.150473;5469340
63;16:27:21.536;1.5;27.150711;5469420
64;16:27:21.706;4.5;27.156449;5470484
65;16:27:21.884;1.6;27.150691;5469384
66;16:27:22.054;1.6;27.150373;5469320
67;16:27:22.224;1.6;27.147752;5468792
68;16:27:22.396;2.9;27.145707;5468832
69;16:27:22.566;1.6;27.144913;5468708
70;16:27:22.735;3.1;27.147991;5468840
71;16:27:22.904;3.0;27.148904;5468804
72;16:27:23.076;3.1;27.147852;5469168
73;16:27:23.246;0.0;27.150989;5469444
74;16:27:23.417;3.0;27.151585;5469564
75;16:27:23.589;3.1;27.149142;5469072
76;16:27:23.760;1.6;27.144377;5468144
77;16:27:23.932;2.9;27.146899;5468620
78;16:27:24.104;1.5;27.148090;5468860
79;16:27:24.274;3.0;27.152875;5469604
80;16:27:24.447;2.9;27.150751;5469396
81;16:27:24.618;4.3;27.150512;5469348
82;16:27:24.790;1.5;27.149559;5468936
83;16:27:24.961;5.9;27.150572;5469360
84;16:27:25.132;1.4;27.152855;5469820
85;16:27:25.305;1.4;27.153828;5469796
86;16:27:25.477;4.3;27.154960;5470244
87;16:27:25.648;6.9;27.152041;5469604
88;16:27:25.818;2.9;27.149877;5469000
89;16:27:25.991;3.1;27.148328;5468908
90;16:27:26.160;1.5;27.148467;5468716
91;16:27:26.329;3.0;27.148447;5468932
92;16:27:26.498;1.5;27.145667;5468372
93;16:27:26.667;0.0;27.203589;5479820
94;16:27:26.835;1.6;27.348581;5511264
95;16:27:27.004;1.6;27.554076;5550424
96;16:27:27.172;6.2;27.554751;5551032
97;16:27:27.343;1.5;27.552725;5550624
98;16:27:27.512;3.0;27.563051;5552704
99;16:27:27.682;1.5;27.654986;5571224
100;16:27:27.852;3.0;27.713841;5582828
101;16:27:28.022;6.2;27.788680;5597528
102;16:27:28.191;4.7;27.807842;5601764
103;16:27:28.360;4.6;27.809271;5601976
104;16:27:28.530;0.0;27.806650;5601524
105;16:27:28.699;1.5;27.809549;5602108
106;16:27:28.867;1.5;27.807961;5601788
107;16:27:29.036;2.7;27.807663;5601728
108;16:27:29.204;3.1;27.808775;5601952
109;16:27:29.372;3.0;27.811833;5602568
110;16:27:29.540;4.5;27.810900;5602380
111;16:27:29.709;1.5;27.809927;5602184
112;16:27:29.878;1.6;27.827599;5605744
113;16:27:30.047;3.1;27.870469;5614380
114;16:27:30.217;3.2;28.270319;5694976
115;16:27:30.387;3.1;28.281538;5697440
116;16:27:30.557;0.0;28.282868;5697456
117;16:27:30.725;3.1;28.281101;5697100
118;16:27:30.895;1.6;28.280128;5696904
119;16:27:31.064;3.1;28.281240;5696908
120;16:27:31.233;3.1;28.282213;5697324
121;16:27:31.402;1.5;28.282809;5697444
122;16:27:31.571;0.0;28.281558;5697192
123;16:27:31.740;3.0;28.284020;5697468
124;16:27:31.909;1.5;28.282253;5697332
125;16:27:32.078;0.0;28.281161;5697112
126;16:27:32.247;0.0;28.281061;5697092
127;16:27:32.416;1.5;28.280466;5696972
128;16:27:32.585;1.5;28.281181;5697116
129;16:27:32.754;0.0;28.282094;5697300
130;16:27:32.923;1.6;28.280664;5697012
131;16:27:33.092;1.6;28.279394;5696756
132;16:27:33.262;0.0;28.279096;5696696
133;16:27:33.431;3.0;28.280347;5696948
134;16:27:33.601;1.5;28.280446;5696968
135;16:27:33.770;1.5;28.281876;5697256
136;16:27:33.939;0.0;28.283980;5697680
137;16:27:34.107;3.1;28.282888;5697164
138;16:27:34.276;1.6;28.281022;5697084
139;16:27:34.445;1.5;28.279096;5696932
140;16:27:34.614;1.6;28.279433;5696764
141;16:27:34.783;1.6;28.278341;5696904
142;16:27:34.952;0.0;28.280287;5696936
143;16:27:35.121;1.5;28.292836;5699464
144;16:27:35.290;1.6;28.313249;5704836
145;16:27:35.459;3.1;28.402087;5721580
146;16:27:35.627;1.5;28.400300;5721356
147;16:27:35.796;0.0;28.402762;5721608
148;16:27:35.966;1.6;28.404013;5721860
149;16:27:36.135;3.1;28.403914;5721840
150;16:27:36.306;1.5;28.404072;5721872
151;16:27:36.474;1.6;28.405323;5722124
152;16:27:36.643;4.5;28.406157;5722292
153;16:27:36.819;3.1;28.407567;5722576
154;16:27:36.996;3.0;28.407488;5722560
155;16:27:37.175;4.7;28.408580;5722780
156;16:27:37.350;1.6;28.407110;5722484
157;16:27:37.524;5.9;28.407349;5722532
158;16:27:37.699;1.6;28.409017;5722868
159;16:27:37.873;4.3;28.408183;5722700
160;16:27:38.051;3.1;28.409513;5722968
161;16:27:38.224;3.1;28.410526;5723172
162;16:27:38.402;3.0;28.410148;5723096
163;16:27:38.580;3.0;28.411062;5723296
164;16:27:38.754;1.5;28.409751;5723016
165;16:27:38.923;3.0;28.417456;5724568
166;16:27:39.092;3.0;28.417376;5724552
167;16:27:39.262;3.0;28.418707;5724820
168;16:27:39.431;1.5;28.418786;5724836
169;16:27:39.601;2.8;28.420295;5724920
170;16:27:39.770;1.5;28.419699;5725020
