ID; Time; Network interface; TBPS; RBPS
1;10:09:34.732;enp0s25;0;0
2;10:09:35.742;enp0s25;0;64
3;10:09:36.749;enp0s25;3801;4428
4;10:09:37.756;enp0s25;2392;2382
5;10:09:38.763;enp0s25;60141;2532118
6;10:09:39.773;enp0s25;153162;7168060
7;10:09:40.783;enp0s25;152320;7167996
8;10:09:41.791;enp0s25;152390;7163506
9;10:09:42.800;enp0s25;148490;7163442
10;10:09:43.809;enp0s25;152320;7165024
11;10:09:44.817;enp0s25;122290;5824208
12;10:09:45.824;enp0s25;0;64
13;10:09:46.831;enp0s25;0;0
14;10:09:47.839;enp0s25;64;128
15;10:09:48.845;enp0s25;0;0
16;10:09:49.852;enp0s25;0;64
17;10:09:50.858;enp0s25;0;0
18;10:09:51.865;enp0s25;0;64
19;10:09:52.873;enp0s25;0;0
20;10:09:53.879;enp0s25;0;64
21;10:09:54.886;enp0s25;0;0
22;10:09:55.897;enp0s25;0;64
23;10:09:56.910;enp0s25;0;0
24;10:09:57.925;enp0s25;0;1500
25;10:09:58.932;enp0s25;64;2944
26;10:09:59.939;enp0s25;0;962
27;10:10:00.946;enp0s25;0;568
28;10:10:01.953;enp0s25;0;1348
29;10:10:02.960;enp0s25;0;0
30;10:10:03.968;enp0s25;0;64
31;10:10:04.975;enp0s25;844;5378
32;10:10:05.982;enp0s25;0;64
33;10:10:06.989;enp0s25;0;0
34;10:10:07.996;enp0s25;0;64
35;10:10:09.002;enp0s25;0;0
36;10:10:10.009;enp0s25;64;128
37;10:10:11.019;enp0s25;0;386
38;10:10:12.035;enp0s25;0;64
39;10:10:13.044;enp0s25;0;0
40;10:10:14.053;enp0s25;0;502
41;10:10:15.060;enp0s25;2732;4894
42;10:10:16.075;enp0s25;59469;1808068
43;10:10:17.083;enp0s25;3528;3503
44;10:10:18.090;enp0s25;2009;2193
45;10:10:19.097;enp0s25;7015;152177
46;10:10:20.111;enp0s25;124074;3936401
47;10:10:21.122;enp0s25;5142;85772
48;10:10:22.129;enp0s25;0;2728
49;10:10:23.136;enp0s25;0;824
50;10:10:24.143;enp0s25;0;1150
51;10:10:25.151;enp0s25;0;488
52;10:10:26.158;enp0s25;0;0
53;10:10:27.165;enp0s25;0;1214
54;10:10:28.174;enp0s25;4919;5336
55;10:10:29.181;enp0s25;1131;882
56;10:10:30.193;enp0s25;27627;659334
57;10:10:31.203;enp0s25;144127;6178709
58;10:10:32.210;enp0s25;135708;6412306
59;10:10:33.218;enp0s25;151690;7137700
60;10:10:34.226;enp0s25;151970;7147168
61;10:10:35.234;enp0s25;147674;7148720
62;10:10:36.242;enp0s25;135409;6285558
63;10:10:37.250;enp0s25;147350;6911518
64;10:10:38.260;enp0s25;149520;7042002
65;10:10:39.267;enp0s25;143986;6711975
66;10:10:40.277;enp0s25;143211;6584770
67;10:10:41.286;enp0s25;150367;7043928
68;10:10:42.296;enp0s25;95868;4425197
69;10:10:43.305;enp0s25;37315;1338811
70;10:10:44.316;enp0s25;43049;1195065
71;10:10:45.328;enp0s25;33280;1000022
72;10:10:46.335;enp0s25;61719;2233514
73;10:10:47.342;enp0s25;100040;3737729
74;10:10:48.349;enp0s25;0;0
75;10:10:49.357;enp0s25;0;64
76;10:10:50.364;enp0s25;0;0
77;10:10:51.371;enp0s25;0;64
78;10:10:52.378;enp0s25;0;0
79;10:10:53.385;enp0s25;0;64
80;10:10:54.393;enp0s25;64;64
81;10:10:55.400;enp0s25;0;64
82;10:10:56.407;enp0s25;0;0
83;10:10:57.414;enp0s25;0;64
84;10:10:58.421;enp0s25;0;0
85;10:10:59.428;enp0s25;0;64
86;10:11:00.434;enp0s25;0;0
87;10:11:01.441;enp0s25;0;64
88;10:11:02.449;enp0s25;0;0
89;10:11:03.458;enp0s25;0;64
90;10:11:04.466;enp0s25;0;0
91;10:11:05.475;enp0s25;64;128
92;10:11:06.482;enp0s25;0;0
93;10:11:07.489;enp0s25;3036;60592
94;10:11:08.496;enp0s25;15186;618234
95;10:11:09.509;enp0s25;1733;60588
96;10:11:10.519;enp0s25;17869;674327
97;10:11:11.530;enp0s25;10244;411198
98;10:11:12.544;enp0s25;29097;1097226
99;10:11:13.557;enp0s25;27337;992788
100;10:11:14.571;enp0s25;21812;736607
101;10:11:15.581;enp0s25;3011;123383
102;10:11:16.595;enp0s25;64;64
103;10:11:17.612;enp0s25;23675;922442
104;10:11:18.623;enp0s25;26693;945510
105;10:11:19.632;enp0s25;35127;1465845
106;10:11:20.645;enp0s25;18602;569584
107;10:11:21.654;enp0s25;27850;1095364
108;10:11:22.661;enp0s25;40690;1836539
109;10:11:23.669;enp0s25;34692;1439297
110;10:11:24.678;enp0s25;45801;2070142
111;10:11:25.689;enp0s25;34848;1438674
112;10:11:26.695;enp0s25;31707;1325965
113;10:11:27.707;enp0s25;26884;989821
114;10:11:28.713;enp0s25;2249;43893
115;10:11:29.720;enp0s25;8310;151021
116;10:11:30.735;enp0s25;8017;189936
117;10:11:31.745;enp0s25;23402;825926
118;10:11:32.756;enp0s25;19550;733593
119;10:11:33.768;enp0s25;18135;568743
120;10:11:34.780;enp0s25;18900;594177
121;10:11:35.787;enp0s25;19391;577183
122;10:11:36.799;enp0s25;33587;1351675
123;10:11:37.809;enp0s25;13737;383643
124;10:11:38.825;enp0s25;8679;291435
125;10:11:39.839;enp0s25;22308;748252
126;10:11:40.847;enp0s25;25603;955094
127;10:11:41.857;enp0s25;11084;412136
128;10:11:42.866;enp0s25;17611;695929
129;10:11:43.881;enp0s25;15526;364631
130;10:11:44.894;enp0s25;28326;1035957
131;10:11:45.902;enp0s25;38194;1646552
