ID; Time; Network interface; TBPS; RBPS
1;21:11:00.865;enp0s25;0;64
2;21:11:01.877;enp0s25;0;0
3;21:11:02.895;enp0s25;0;450
4;21:11:03.911;enp0s25;903;534
5;21:11:04.919;enp0s25;7911;28110
6;21:11:05.926;enp0s25;1100;2382
7;21:11:06.933;enp0s25;1614;6982
8;21:11:07.942;enp0s25;166922;6704726
9;21:11:08.950;enp0s25;174720;8225582
10;21:11:09.958;enp0s25;152886;7776176
11;21:11:10.965;enp0s25;167096;8156674
12;21:11:11.973;enp0s25;174790;8218028
13;21:11:12.981;enp0s25;175770;8228578
14;21:11:13.994;enp0s25;174790;8227016
15;21:11:15.001;enp0s25;27650;1325246
16;21:11:16.010;enp0s25;0;0
17;21:11:17.020;enp0s25;0;64
18;21:11:18.027;enp0s25;0;0
19;21:11:19.036;enp0s25;64;128
20;21:11:20.044;enp0s25;0;0
21;21:11:21.052;enp0s25;0;64
22;21:11:22.069;enp0s25;0;1466
23;21:11:23.078;enp0s25;0;64
24;21:11:24.087;enp0s25;0;0
25;21:11:25.094;enp0s25;0;64
26;21:11:26.101;enp0s25;0;0
27;21:11:27.108;enp0s25;0;64
28;21:11:28.120;enp0s25;1698;7253
29;21:11:29.127;enp0s25;6421;13074
30;21:11:30.134;enp0s25;64;450
31;21:11:31.156;enp0s25;1516;4483
32;21:11:32.172;enp0s25;420;3096
33;21:11:33.186;enp0s25;725;1005
34;21:11:34.194;enp0s25;2492;2125
35;21:11:35.207;enp0s25;8777;69444
36;21:11:36.214;enp0s25;0;0
37;21:11:37.221;enp0s25;0;171
38;21:11:38.228;enp0s25;0;107
39;21:11:39.237;enp0s25;0;64
40;21:11:40.244;enp0s25;7874;120878
41;21:11:41.255;enp0s25;205630;7994192
42;21:11:42.263;enp0s25;233940;8199040
43;21:11:43.271;enp0s25;235410;8200218
44;21:11:44.278;enp0s25;218144;8195698
45;21:11:45.285;enp0s25;233170;8145632
46;21:11:46.293;enp0s25;235410;8200154
47;21:11:47.302;enp0s25;235410;8197990
48;21:11:48.311;enp0s25;234710;8202734
49;21:11:49.320;enp0s25;197746;8146746
50;21:11:50.327;enp0s25;235200;8187900
51;21:11:51.335;enp0s25;125370;4451706
52;21:11:52.347;enp0s25;64;64
53;21:11:53.357;enp0s25;0;64
54;21:11:54.367;enp0s25;0;0
55;21:11:55.373;enp0s25;0;64
56;21:11:56.380;enp0s25;0;0
57;21:11:57.387;enp0s25;0;64
58;21:11:58.394;enp0s25;0;0
59;21:11:59.402;enp0s25;0;64
60;21:12:00.408;enp0s25;0;1466
61;21:12:01.415;enp0s25;0;64
62;21:12:02.423;enp0s25;0;0
63;21:12:03.430;enp0s25;5482;21021
64;21:12:04.437;enp0s25;7201;18846
65;21:12:05.445;enp0s25;758;478
66;21:12:06.454;enp0s25;21382;440615
67;21:12:07.462;enp0s25;166542;7882610
68;21:12:08.471;enp0s25;174510;8228621
69;21:12:09.480;enp0s25;172270;8111931
70;21:12:10.487;enp0s25;156600;8141630
71;21:12:11.500;enp0s25;126082;7792660
72;21:12:12.509;enp0s25;174930;8231510
73;21:12:13.518;enp0s25;170100;8008262
74;21:12:14.526;enp0s25;204;134
75;21:12:15.536;enp0s25;0;64
76;21:12:16.543;enp0s25;0;0
77;21:12:17.550;enp0s25;0;64
78;21:12:18.557;enp0s25;0;0
79;21:12:19.564;enp0s25;0;64
80;21:12:20.571;enp0s25;0;0
81;21:12:21.583;enp0s25;0;64
82;21:12:22.592;enp0s25;0;0
83;21:12:23.600;enp0s25;0;64
84;21:12:24.614;enp0s25;0;0
85;21:12:25.621;enp0s25;64;128
86;21:12:26.628;enp0s25;0;1466
87;21:12:27.635;enp0s25;0;64
88;21:12:28.645;enp0s25;1849;8194
89;21:12:29.654;enp0s25;7163;13237
90;21:12:30.660;enp0s25;1936;7605
91;21:12:31.669;enp0s25;0;64
92;21:12:32.677;enp0s25;8272;31722
93;21:12:33.688;enp0s25;70;417
94;21:12:34.706;enp0s25;3122;38174
95;21:12:35.713;enp0s25;64;64
96;21:12:36.720;enp0s25;0;64
97;21:12:37.786;enp0s25;0;0
98;21:12:38.793;enp0s25;0;1530
99;21:12:39.800;enp0s25;58694;1622657
100;21:12:40.808;enp0s25;200300;7660035
101;21:12:41.816;enp0s25;234290;8200154
102;21:12:42.824;enp0s25;235410;8194648
103;21:12:43.832;enp0s25;234290;8171190
104;21:12:44.840;enp0s25;213150;7464978
105;21:12:45.849;enp0s25;234990;8181216
106;21:12:46.856;enp0s25;232534;8125644
107;21:12:47.863;enp0s25;233310;8199040
108;21:12:48.872;enp0s25;214970;7526248
109;21:12:49.881;enp0s25;195160;7181958
110;21:12:50.891;enp0s25;155416;5705955
111;21:12:51.899;enp0s25;70;1707
112;21:12:52.911;enp0s25;0;64
113;21:12:53.918;enp0s25;0;0
114;21:12:54.928;enp0s25;0;64
115;21:12:55.935;enp0s25;0;0
116;21:12:56.943;enp0s25;0;64
117;21:12:57.950;enp0s25;64;64
118;21:12:58.957;enp0s25;0;64
119;21:12:59.964;enp0s25;175;101
120;21:13:00.971;enp0s25;0;134
121;21:13:01.980;enp0s25;9136;24794
122;21:13:02.987;enp0s25;3313;16556
123;21:13:03.994;enp0s25;0;1466
124;21:13:05.001;enp0s25;100638;3366397
125;21:13:06.011;enp0s25;163400;8144626
126;21:13:07.021;enp0s25;174580;8213598
127;21:13:08.029;enp0s25;173810;8231510
128;21:13:09.037;enp0s25;171354;8057870
129;21:13:10.046;enp0s25;152616;7563599
130;21:13:11.055;enp0s25;154980;7178587
131;21:13:12.066;enp0s25;106482;6083104
132;21:13:13.074;enp0s25;0;64
133;21:13:14.081;enp0s25;0;0
134;21:13:15.088;enp0s25;0;64
135;21:13:16.094;enp0s25;0;0
136;21:13:17.109;enp0s25;0;1530
137;21:13:18.125;enp0s25;0;0
138;21:13:19.138;enp0s25;0;64
139;21:13:20.146;enp0s25;64;64
140;21:13:21.157;enp0s25;3171;8382
141;21:13:22.170;enp0s25;0;0
142;21:13:23.188;enp0s25;0;64
143;21:13:24.207;enp0s25;0;0
144;21:13:25.219;enp0s25;0;64
145;21:13:26.228;enp0s25;0;0
146;21:13:27.235;enp0s25;0;64
147;21:13:28.242;enp0s25;0;0
148;21:13:29.249;enp0s25;0;64
149;21:13:30.255;enp0s25;1849;9660
150;21:13:31.263;enp0s25;7489;13827
151;21:13:32.269;enp0s25;1936;7515
152;21:13:33.280;enp0s25;538;508
153;21:13:34.288;enp0s25;8342;32073
154;21:13:35.295;enp0s25;2997;38028
155;21:13:36.302;enp0s25;0;0
156;21:13:37.308;enp0s25;0;64
157;21:13:38.315;enp0s25;0;0
158;21:13:39.322;enp0s25;0;64
159;21:13:40.329;enp0s25;166126;4891026
160;21:13:41.337;enp0s25;216510;7580834
161;21:13:42.346;enp0s25;212794;7483261
162;21:13:43.357;enp0s25;143090;5313844
163;21:13:44.374;enp0s25;151146;5686970
164;21:13:45.383;enp0s25;205310;7203188
165;21:13:46.392;enp0s25;213850;7533982
166;21:13:47.399;enp0s25;226660;7911692
167;21:13:48.406;enp0s25;220290;7687714
168;21:13:49.414;enp0s25;192360;6784324
169;21:13:50.423;enp0s25;231389;8101209
170;21:13:51.431;enp0s25;235270;8194648
171;21:13:52.439;enp0s25;50890;1769132
172;21:13:53.446;enp0s25;64;128
173;21:13:54.453;enp0s25;0;0
174;21:13:55.460;enp0s25;0;1530
175;21:13:56.467;enp0s25;0;0
176;21:13:57.475;enp0s25;0;64
177;21:13:58.482;enp0s25;0;0
178;21:13:59.489;enp0s25;0;64
179;21:14:00.495;enp0s25;0;0
