ID; Time; CPU %; MEM %; MEM KiB
1;08:17:00.121;1.5;23.271329;4688156
2;08:17:00.291;4.7;23.270237;4687936
3;08:17:00.462;4.5;23.268370;4687088
4;08:17:00.633;3.1;23.268906;4687456
5;08:17:00.805;1.6;23.278537;4689356
6;08:17:00.974;1.5;23.283223;4690300
7;08:17:01.143;0.0;23.284375;4690532
8;08:17:01.312;1.5;23.285903;4690840
9;08:17:01.480;1.5;23.287770;4691216
10;08:17:01.658;1.6;23.287929;4691248
11;08:17:01.826;1.6;23.288425;4691348
12;08:17:01.995;3.1;23.291007;4691868
13;08:17:02.164;1.5;23.290272;4691988
14;08:17:02.342;0.0;23.289636;4691592
15;08:17:02.514;1.5;23.289577;4691848
16;08:17:02.692;1.5;23.293370;4692164
17;08:17:02.869;3.0;23.292516;4692172
18;08:17:03.044;4.4;23.294978;4692448
19;08:17:03.219;1.6;23.292754;4692220
20;08:17:03.392;1.5;23.291960;4692060
21;08:17:03.567;1.6;23.290272;4691720
22;08:17:03.743;3.2;23.288763;4691416
23;08:17:03.912;4.5;23.292198;4692108
24;08:17:04.086;6.1;23.292913;4692028
25;08:17:04.258;1.6;23.289517;4691568
26;08:17:04.435;3.0;23.286678;4691232
27;08:17:04.610;1.5;23.286400;4690940
28;08:17:04.779;6.2;23.287611;4691184
29;08:17:04.948;0.0;23.292913;4692032
30;08:17:05.116;3.0;23.302603;4694204
31;08:17:05.290;6.0;23.290391;4691744
32;08:17:05.460;4.2;23.289934;4691652
33;08:17:05.632;2.9;23.291344;4691936
34;08:17:05.805;1.5;23.299128;4693504
35;08:17:05.982;1.5;23.308401;4695372
36;08:17:06.158;5.9;23.289061;4691476
37;08:17:06.330;1.6;23.290073;4691680
38;08:17:06.501;2.9;23.292297;4692128
39;08:17:06.677;0.0;23.297857;4693028
40;08:17:06.852;3.1;23.292377;4691484
41;08:17:07.028;1.4;23.287313;4691652
42;08:17:07.201;4.6;23.289736;4691612
43;08:17:07.371;1.6;23.295057;4692684
44;08:17:07.540;3.0;23.298036;4693284
45;08:17:07.709;3.2;23.288961;4691456
46;08:17:07.878;3.1;23.313683;4697224
47;08:17:08.048;4.6;23.340906;4701700
48;08:17:08.218;8.8;23.358161;4705396
49;08:17:08.388;3.2;23.388780;4711564
50;08:17:08.559;1.5;23.417393;4717328
51;08:17:08.727;0.0;23.458953;4725700
52;08:17:08.895;1.3;23.498010;4733568
53;08:17:09.063;1.5;23.530118;4740540
54;08:17:09.234;0.0;23.574835;4748824
55;08:17:09.401;0.0;23.625628;4759056
56;08:17:09.570;0.0;23.654321;4765056
57;08:17:09.737;0.0;23.694749;4772980
58;08:17:09.906;0.0;23.725864;4779468
59;08:17:10.074;1.5;23.734978;4781540
60;08:17:10.242;0.0;23.736229;4781336
61;08:17:10.410;1.5;23.734164;4781408
62;08:17:10.577;1.6;23.732535;4780592
63;08:17:10.745;0.0;23.733945;4780876
64;08:17:10.913;0.0;23.736368;4781364
65;08:17:11.082;1.6;23.737281;4782012
66;08:17:11.251;0.0;23.739783;4782272
67;08:17:11.418;0.0;23.801279;4794660
68;08:17:11.588;0.0;23.845459;4803560
69;08:17:11.755;4.7;24.086855;4852216
70;08:17:11.925;1.5;24.311729;4897488
71;08:17:12.094;0.0;24.314430;4898032
72;08:17:12.262;1.6;24.315601;4898268
73;08:17:12.431;1.6;24.348325;4904860
74;08:17:12.599;0.0;24.407477;4916776
75;08:17:12.767;1.5;24.407398;4916760
76;08:17:12.935;1.6;24.408728;4917028
77;08:17:13.103;0.0;24.408153;4916912
78;08:17:13.272;1.5;24.406981;4916676
79;08:17:13.440;1.5;24.406187;4916516
80;08:17:13.609;0.0;24.407100;4916700
81;08:17:13.778;0.0;24.405432;4916364
82;08:17:13.946;1.5;24.405075;4916292
83;08:17:14.114;0.0;24.408788;4917040
84;08:17:14.282;0.0;24.408669;4917276
85;08:17:14.450;1.6;24.408907;4917064
86;08:17:14.618;3.1;24.407140;4916708
87;08:17:14.786;1.6;24.408351;4916976
88;08:17:14.955;1.6;24.409959;4917276
89;08:17:15.123;1.5;24.408470;4916976
90;08:17:15.292;0.0;24.407100;4916700
91;08:17:15.466;1.5;24.406405;4916560
92;08:17:15.642;1.7;24.407100;4916936
93;08:17:15.813;5.9;24.406127;4916748
94;08:17:15.983;0.0;24.411627;4917392
95;08:17:16.157;1.5;24.423581;4920020
96;08:17:16.334;3.2;24.408927;4917068
97;08:17:16.505;1.9;24.410079;4916860
98;08:17:16.677;0.0;24.408311;4916948
99;08:17:16.848;0.0;24.409582;4916980
100;08:17:17.019;1.9;24.408550;4916992
101;08:17:17.190;1.9;24.407875;4917116
102;08:17:17.362;0.0;24.408748;4917032
103;08:17:17.534;3.6;24.406921;4916884
104;08:17:17.705;1.9;24.408768;4916804
105;08:17:17.877;0.0;24.408292;4917240
106;08:17:18.047;0.0;24.406107;4917004
107;08:17:18.217;0.0;24.404956;4916268
108;08:17:18.387;0.0;24.406822;4916644
109;08:17:18.558;0.0;24.406524;4916584
110;08:17:18.729;0.0;24.407180;4916716
111;08:17:18.899;0.0;24.409006;4917084
112;08:17:19.071;0.0;24.408689;4917020
113;08:17:19.242;1.9;24.409622;4917208
114;08:17:19.413;1.9;24.410158;4917316
115;08:17:19.585;0.0;24.407775;4916836
116;08:17:19.755;0.0;24.410476;4917380
117;08:17:19.926;0.0;24.408331;4916728
118;08:17:20.097;0.0;24.411310;4917548
119;08:17:20.268;0.0;24.406822;4916424
120;08:17:20.441;1.8;24.407060;4916692
121;08:17:20.611;0.0;24.408212;4916924
122;08:17:20.783;1.9;24.410158;4917316
123;08:17:20.954;0.0;24.405968;4916472
124;08:17:21.125;0.0;24.406703;4916380
125;08:17:21.298;0.0;24.401699;4915612
126;08:17:21.469;0.0;24.405809;4916920
127;08:17:21.642;1.8;24.404539;4916224
128;08:17:21.811;1.9;24.405333;4916344
129;08:17:21.984;0.0;24.402712;4915816
130;08:17:22.155;1.8;24.404142;4916104
131;08:17:22.327;0.0;24.407517;4916784
132;08:17:22.499;0.0;24.408629;4917008
133;08:17:22.670;0.0;24.404856;4916268
134;08:17:22.842;0.0;24.403764;4916028
135;08:17:23.013;1.8;24.404558;4916188
136;08:17:23.183;0.0;24.403605;4915776
137;08:17:23.353;1.7;24.406544;4916368
138;08:17:23.525;1.8;24.403725;4915800
139;08:17:23.695;1.7;24.405948;4916468
140;08:17:23.865;1.6;24.438950;4923116
141;08:17:24.035;4.6;24.498559;4935124
142;08:17:24.203;3.0;24.599192;4955396
143;08:17:24.372;1.6;24.682410;4972420
144;08:17:24.540;0.0;24.807328;4997104
145;08:17:24.707;3.2;24.878156;5011500
146;08:17:24.879;0.0;24.972434;5030584
147;08:17:25.049;0.0;25.094770;5055008
148;08:17:25.217;1.5;25.207396;5078004
149;08:17:25.387;4.7;25.257454;5088244
150;08:17:25.555;1.4;25.302945;5096944
151;08:17:25.725;0.0;25.301695;5096692
152;08:17:25.893;1.5;25.301973;5096968
153;08:17:26.061;3.0;25.300384;5096428
154;08:17:26.229;1.5;25.296790;5095924
