ID; Time; Network interface; TBPS; RBPS
1;09:30:34.010;enp0s25;2552;11204
2;09:30:35.019;enp0s25;63479;1356426
3;09:30:36.026;enp0s25;87964;3611810
4;09:30:37.032;enp0s25;140484;6418244
5;09:30:38.045;enp0s25;146384;6342618
6;09:30:39.054;enp0s25;147993;7137636
7;09:30:40.062;enp0s25;31288;1310605
8;09:30:41.069;enp0s25;478;274
9;09:30:42.076;enp0s25;70;134
10;09:30:43.085;enp0s25;0;0
11;09:30:44.093;enp0s25;0;64
12;09:30:45.103;enp0s25;64;64
13;09:30:46.110;enp0s25;0;64
14;09:30:47.119;enp0s25;87060;2563406
15;09:30:48.134;enp0s25;151447;7165169
16;09:30:49.144;enp0s25;161070;7161938
17;09:30:50.154;enp0s25;161420;7160504
18;09:30:51.163;enp0s25;153370;6809908
19;09:30:52.171;enp0s25;94920;4243898
20;09:30:53.180;enp0s25;83020;3721139
21;09:30:54.190;enp0s25;121350;5770467
22;09:30:55.198;enp0s25;145939;7007809
23;09:30:56.206;enp0s25;118364;5224762
24;09:30:57.213;enp0s25;0;0
25;09:30:58.220;enp0s25;0;64
26;09:30:59.227;enp0s25;0;0
27;09:31:00.234;enp0s25;0;64
28;09:31:01.242;enp0s25;0;0
29;09:31:02.249;enp0s25;0;64
30;09:31:03.256;enp0s25;1849;8216
31;09:31:04.269;enp0s25;6254;12460
32;09:31:05.280;enp0s25;922;905
33;09:31:06.287;enp0s25;1936;7538
34;09:31:07.294;enp0s25;8336;31893
35;09:31:08.301;enp0s25;3262;37801
36;09:31:09.307;enp0s25;0;64
37;09:31:10.314;enp0s25;0;0
38;09:31:11.321;enp0s25;0;64
39;09:31:12.329;enp0s25;69476;1991194
40;09:31:13.337;enp0s25;190342;7136348
41;09:31:14.346;enp0s25;160298;7131828
42;09:31:15.354;enp0s25;175980;7134120
43;09:31:16.361;enp0s25;175140;7135170
44;09:31:17.369;enp0s25;176400;7138576
45;09:31:18.377;enp0s25;165474;7107384
46;09:31:19.384;enp0s25;160004;6589374
47;09:31:20.393;enp0s25;156100;6157078
48;09:31:21.400;enp0s25;157780;6287480
49;09:31:22.408;enp0s25;173600;7018200
50;09:31:23.417;enp0s25;169190;6744220
51;09:31:24.425;enp0s25;138816;5495362
52;09:31:25.441;enp0s25;47246;1308007
53;09:31:26.453;enp0s25;21840;705282
54;09:31:27.461;enp0s25;0;64
55;09:31:28.468;enp0s25;0;210
56;09:31:29.475;enp0s25;64;338
57;09:31:30.486;enp0s25;0;178
58;09:31:31.498;enp0s25;0;242
59;09:31:32.505;enp0s25;0;210
60;09:31:33.512;enp0s25;0;64
Build Completed
