ID; Time; CPU %; MEM %; MEM KiB
1;21:02:41.111;10.0;23.392215;4712784
2;21:02:41.286;1.5;23.396345;4712868
3;21:02:41.455;1.6;23.395531;4712924
4;21:02:41.625;3.2;23.390944;4712016
5;21:02:41.805;3.0;23.390269;4711644
6;21:02:41.982;3.1;23.389574;4711992
7;21:02:42.159;1.6;23.391282;4712068
8;21:02:42.331;1.5;23.389336;4712140
9;21:02:42.500;3.1;23.391639;4712140
10;21:02:42.670;4.4;23.390388;4711928
11;21:02:42.843;3.1;23.389256;4711936
12;21:02:43.017;1.6;23.392156;4712244
13;21:02:43.187;3.0;23.392533;4712320
14;21:02:43.366;4.7;23.392295;4712272
15;21:02:43.536;3.0;23.392493;4712092
16;21:02:43.706;1.5;23.391123;4712036
17;21:02:43.875;0.0;23.391520;4712116
18;21:02:44.052;3.1;23.391719;4712156
19;21:02:44.222;0.0;23.392116;4712236
20;21:02:44.392;1.5;23.393208;4712456
21;21:02:44.562;3.1;23.394260;4712668
22;21:02:44.731;2.8;23.406810;4715196
23;21:02:44.904;0.0;23.406849;4715204
24;21:02:45.075;3.2;23.406313;4715096
25;21:02:45.247;1.6;23.414673;4716780
26;21:02:45.417;1.6;23.411972;4716252
27;21:02:45.587;1.6;23.413184;4716772
28;21:02:45.761;6.0;23.414871;4717040
29;21:02:45.932;3.2;23.417135;4717276
30;21:02:46.102;1.6;23.420034;4717628
31;21:02:46.274;3.0;23.426785;4719220
32;21:02:46.452;3.0;23.433477;4720568
33;21:02:46.625;6.2;23.419418;4717296
34;21:02:46.795;4.5;23.415447;4716716
35;21:02:46.967;4.2;23.412945;4716432
36;21:02:47.140;3.1;23.413323;4716508
37;21:02:47.312;3.1;23.413660;4716576
38;21:02:47.483;1.5;23.412548;4716772
39;21:02:47.655;4.5;23.417433;4717336
40;21:02:47.826;2.9;23.415149;4716932
41;21:02:47.998;4.3;23.416162;4716860
42;21:02:48.171;5.9;23.417453;4717120
43;21:02:48.343;2.9;23.413640;4716572
44;21:02:48.514;2.9;23.415348;4716916
45;21:02:48.686;2.9;23.416738;4716976
46;21:02:48.858;5.6;23.416222;4717260
47;21:02:49.029;5.9;23.419895;4717612
48;21:02:49.203;4.4;23.418148;4717552
49;21:02:49.374;5.8;23.419875;4717828
50;21:02:49.545;1.5;23.412826;4716188
51;21:02:49.717;4.4;23.410801;4716000
52;21:02:49.891;4.5;23.410642;4715968
53;21:02:50.062;2.9;23.413640;4716572
54;21:02:50.234;4.4;23.410563;4715956
55;21:02:50.406;1.4;23.412171;4716496
56;21:02:50.578;3.0;23.416142;4717076
57;21:02:50.749;2.9;23.417195;4717288
58;21:02:50.921;1.5;23.416877;4717460
59;21:02:51.094;2.8;23.415924;4717032
60;21:02:51.266;1.5;23.420153;4717884
61;21:02:51.440;0.0;23.413104;4716596
62;21:02:51.613;1.4;23.413084;4716724
63;21:02:51.787;1.5;23.412191;4716052
64;21:02:51.958;4.3;23.413084;4716460
65;21:02:52.130;3.0;23.412310;4716304
66;21:02:52.302;1.5;23.416222;4717092
67;21:02:52.475;1.5;23.416102;4717276
68;21:02:52.649;5.6;23.417492;4717348
69;21:02:52.821;5.6;23.415328;4716508
70;21:02:52.994;4.3;23.466756;4728816
71;21:02:53.165;3.0;23.488599;4731344
72;21:02:53.337;1.5;23.489472;4731628
73;21:02:53.515;0.0;23.492947;4732548
74;21:02:53.690;3.1;23.577059;4749208
75;21:02:53.863;1.5;23.666830;4767576
76;21:02:54.033;1.6;23.751757;4784464
77;21:02:54.202;0.0;23.872841;4809076
78;21:02:54.372;0.0;23.945457;4823704
79;21:02:54.542;3.0;24.035724;4841888
80;21:02:54.712;1.5;24.156650;4866248
81;21:02:54.882;1.4;24.264352;4887632
82;21:02:55.058;4.4;24.323623;4899884
83;21:02:55.229;4.5;24.360298;4907272
84;21:02:55.399;1.6;24.365977;4908196
85;21:02:55.569;1.5;24.361827;4907856
86;21:02:55.745;2.9;24.358094;4906828
87;21:02:55.926;2.9;24.357995;4906808
88;21:02:56.104;3.0;24.359385;4907088
89;21:02:56.299;2.9;24.360318;4907276
90;21:02:56.479;3.0;24.359504;4907112
91;21:02:56.655;9.4;24.376164;4911020
92;21:02:56.827;3.1;24.383372;4911480
93;21:02:56.997;3.1;24.389765;4913208
94;21:02:57.166;1.5;24.390997;4913456
95;21:02:57.337;1.5;24.393876;4914036
96;21:02:57.507;3.0;24.392684;4913796
97;21:02:57.677;1.5;24.390262;4913308
98;21:02:57.847;3.0;24.398105;4914888
99;21:02:58.016;1.5;24.411687;4917624
100;21:02:58.186;1.6;24.431305;4921576
101;21:02:58.356;1.5;24.437719;4922868
102;21:02:58.526;0.0;24.448977;4925136
103;21:02:58.695;1.5;24.830421;5001472
104;21:02:58.868;1.5;24.828395;5001824
105;21:02:59.042;3.0;24.823153;5000764
106;21:02:59.216;1.6;24.827998;5001488
107;21:02:59.385;1.5;24.828614;5001612
108;21:02:59.554;0.0;24.827343;5001608
109;21:02:59.723;1.5;24.829190;5001508
110;21:02:59.892;0.0;24.827839;5001456
111;21:03:00.061;2.9;24.828058;5001500
112;21:03:00.230;1.5;24.844161;5004744
113;21:03:00.400;3.1;24.843129;5004536
114;21:03:00.569;3.1;24.845929;5005100
115;21:03:00.739;0.0;24.844558;5004824
116;21:03:00.908;1.5;24.847994;5005296
117;21:03:01.078;1.6;24.847001;5005316
118;21:03:01.248;1.6;24.847001;5005316
119;21:03:01.418;0.0;24.848391;5005596
120;21:03:01.587;0.0;24.848589;5005636
121;21:03:01.758;3.0;24.847835;5005492
122;21:03:01.928;1.4;24.847835;5005264
123;21:03:02.099;0.0;24.849781;5005876
124;21:03:02.268;1.6;24.850515;5005804
125;21:03:02.438;1.6;24.850376;5005776
126;21:03:02.608;3.0;24.849503;5005820
127;21:03:02.786;4.4;24.849046;5005784
128;21:03:02.961;2.9;24.848728;5005992
129;21:03:03.138;3.0;24.851369;5006196
130;21:03:03.316;1.5;24.851012;5006124
