ID; Time; Network interface; TBPS; RBPS
1;11:47:40.313;enp0s25;1733;6465
2;11:47:41.329;enp0s25;44036;862665
3;11:47:42.341;enp0s25;69762;2460269
4;11:47:43.348;enp0s25;141841;6190474
5;11:47:44.356;enp0s25;141256;6049854
6;11:47:45.365;enp0s25;149015;7145226
7;11:47:46.373;enp0s25;77516;3450985
8;11:47:47.379;enp0s25;70;134
9;11:47:48.386;enp0s25;548;344
10;11:47:49.392;enp0s25;64;128
11;11:47:50.399;enp0s25;0;1212
12;11:47:51.406;enp0s25;0;3352
13;11:47:52.412;enp0s25;0;1120
14;11:47:53.419;enp0s25;33884;839841
15;11:47:54.430;enp0s25;143806;7157776
16;11:47:55.439;enp0s25;162820;7157508
17;11:47:56.447;enp0s25;163450;7149606
18;11:47:57.455;enp0s25;162710;7142694
19;11:47:58.462;enp0s25;163450;7161938
20;11:47:59.470;enp0s25;162960;7157508
21;11:48:00.478;enp0s25;162884;7153014
22;11:48:01.486;enp0s25;135520;5938825
23;11:48:02.495;enp0s25;0;0
24;11:48:03.503;enp0s25;0;458
25;11:48:04.512;enp0s25;0;0
26;11:48:05.519;enp0s25;0;64
27;11:48:06.526;enp0s25;1709;7275
28;11:48:07.532;enp0s25;140;1005
29;11:48:08.544;enp0s25;5972;79824
30;11:48:09.553;enp0s25;68041;1480406
31;11:48:10.559;enp0s25;126810;5774472
32;11:48:11.569;enp0s25;145744;6148238
33;11:48:12.578;enp0s25;143765;7057182
34;11:48:13.585;enp0s25;124626;5690035
35;11:48:14.592;enp0s25;70;70
36;11:48:15.598;enp0s25;408;338
37;11:48:16.605;enp0s25;0;0
38;11:48:17.612;enp0s25;0;64
39;11:48:18.618;enp0s25;0;0
40;11:48:19.625;enp0s25;0;64
41;11:48:20.632;enp0s25;1866;7538
42;11:48:21.639;enp0s25;6083;23746
43;11:48:22.645;enp0s25;3393;37942
44;11:48:23.652;enp0s25;0;64
45;11:48:24.658;enp0s25;0;1884
46;11:48:25.665;enp0s25;0;3040
47;11:48:26.672;enp0s25;65414;1877212
48;11:48:27.681;enp0s25;187288;7030554
49;11:48:28.689;enp0s25;176680;7136616
50;11:48:29.699;enp0s25;174456;7139690
51;11:48:30.709;enp0s25;173894;7144118
52;11:48:31.718;enp0s25;175490;7130778
53;11:48:32.726;enp0s25;176540;7133336
54;11:48:33.733;enp0s25;174014;6955944
55;11:48:34.741;enp0s25;173390;6913484
56;11:48:35.749;enp0s25;176820;7126322
57;11:48:36.757;enp0s25;176120;7135170
58;11:48:37.765;enp0s25;177170;7130778
59;11:48:38.772;enp0s25;130760;5257918
60;11:48:39.779;enp0s25;0;64
61;11:48:40.789;enp0s25;0;0
62;11:48:41.796;enp0s25;0;64
63;11:48:42.802;enp0s25;0;0
64;11:48:43.809;enp0s25;0;64
65;11:48:44.816;enp0s25;64;64
66;11:48:45.822;enp0s25;0;64
67;11:48:46.829;enp0s25;0;0
Build Completed
