ID; Time; Network interface; TBPS; RBPS
1;21:41:01.369;enp0s25;22232;448833
2;21:41:02.394;enp0s25;68586;2189223
3;21:41:03.407;enp0s25;38116;1503585
4;21:41:04.419;enp0s25;33740;1490740
5;21:41:05.430;enp0s25;35414;1566640
6;21:41:06.442;enp0s25;34020;1484738
7;21:41:07.451;enp0s25;34230;1533250
8;21:41:08.458;enp0s25;33740;1475560
9;21:41:09.467;enp0s25;33040;1480050
10;21:41:10.476;enp0s25;35000;1556014
11;21:41:11.487;enp0s25;33950;1480050
12;21:41:12.506;enp0s25;33670;1480114
13;21:41:13.517;enp0s25;20495;951786
14;21:41:14.524;enp0s25;24570;1064182
15;21:41:15.531;enp0s25;30240;1310034
16;21:41:16.544;enp0s25;29674;1284356
17;21:41:17.556;enp0s25;29750;1300926
18;21:41:18.566;enp0s25;20905;875950
19;21:41:19.573;enp0s25;29517;1197702
20;21:41:20.591;enp0s25;10352;363390
21;21:41:21.599;enp0s25;0;0
22;21:41:22.606;enp0s25;0;64
23;21:41:23.612;enp0s25;0;0
24;21:41:24.619;enp0s25;0;64
25;21:41:25.627;enp0s25;23120;521376
26;21:41:26.635;enp0s25;40192;1577266
27;21:41:27.645;enp0s25;35554;1562086
28;21:41:28.656;enp0s25;35210;1566640
29;21:41:29.665;enp0s25;35239;1571130
30;21:41:30.676;enp0s25;35350;1566640
31;21:41:31.689;enp0s25;36540;1621224
32;21:41:32.699;enp0s25;55020;2102494
33;21:41:33.707;enp0s25;137230;5833674
34;21:41:34.715;enp0s25;110434;5487634
35;21:41:35.723;enp0s25;120798;6079590
36;21:41:36.732;enp0s25;123644;5952142
37;21:41:37.740;enp0s25;115317;5629780
38;21:41:38.748;enp0s25;139854;6568514
39;21:41:39.757;enp0s25;124040;5815458
40;21:41:40.764;enp0s25;136858;6547198
41;21:41:41.773;enp0s25;99379;4276719
42;21:41:42.781;enp0s25;142940;6685272
43;21:41:43.790;enp0s25;138715;6425758
44;21:41:44.798;enp0s25;92902;3790171
45;21:41:45.809;enp0s25;50533;1620260
46;21:41:46.821;enp0s25;51221;1383225
47;21:41:47.833;enp0s25;35840;1656202
48;21:41:48.840;enp0s25;35907;1593900
49;21:41:49.853;enp0s25;39165;1700007
50;21:41:50.862;enp0s25;0;0
51;21:41:51.869;enp0s25;0;64
52;21:41:52.876;enp0s25;0;0
53;21:41:53.883;enp0s25;0;64
54;21:41:54.896;enp0s25;0;0
55;21:41:55.904;enp0s25;0;64
56;21:41:56.912;enp0s25;0;0
57;21:41:57.919;enp0s25;0;64
58;21:41:58.931;enp0s25;0;0
59;21:41:59.942;enp0s25;64;128
60;21:42:00.953;enp0s25;0;0
61;21:42:01.963;enp0s25;0;64
62;21:42:02.971;enp0s25;0;0
63;21:42:03.978;enp0s25;0;64
64;21:42:04.986;enp0s25;0;0
