ID; Time; CPU %; MEM %; MEM KiB
1;21:04:52.722;1.6;21.478879;4326824
2;21:04:52.891;6.0;21.479554;4326740
3;21:04:53.061;6.2;21.481699;4327392
4;21:04:53.232;3.0;21.481699;4327172
5;21:04:53.405;6.2;21.482175;4327536
6;21:04:53.574;6.3;21.478840;4326596
7;21:04:53.747;3.2;21.481103;4327480
8;21:04:53.915;6.1;21.482195;4327824
9;21:04:54.090;4.7;21.483724;4327800
10;21:04:54.263;9.2;21.484677;4327992
11;21:04:54.437;5.9;21.482513;4327556
12;21:04:54.606;6.2;21.484518;4327960
13;21:04:54.774;4.7;21.485074;4328104
14;21:04:54.941;4.5;21.485889;4328236
15;21:04:55.117;4.5;21.486901;4328440
16;21:04:55.291;4.5;21.487060;4328472
17;21:04:55.466;4.4;21.488589;4328780
18;21:04:55.643;4.5;21.485154;4327868
19;21:04:55.818;1.6;21.483982;4327900
20;21:04:55.992;6.1;21.481778;4327660
21;21:04:56.166;1.5;21.482970;4327692
22;21:04:56.342;4.5;21.481461;4327612
23;21:04:56.517;2.9;21.482434;4327588
24;21:04:56.693;4.6;21.484141;4327884
25;21:04:56.861;4.6;21.486742;4328604
26;21:04:57.038;3.0;21.484916;4328040
27;21:04:57.212;6.1;21.483069;4327668
28;21:04:57.383;6.0;21.483407;4327736
29;21:04:57.558;3.0;21.484260;4328152
30;21:04:57.734;4.6;21.485392;4328136
31;21:04:57.907;4.8;21.485313;4328120
32;21:04:58.079;5.9;21.486127;4328552
33;21:04:58.255;3.0;21.486564;4328152
34;21:04:58.429;4.4;21.486564;4328152
35;21:04:58.606;3.2;21.483287;4327712
36;21:04:58.779;5.8;21.486306;4328100
37;21:04:58.955;3.0;21.486345;4328572
38;21:04:59.130;3.2;21.486365;4328112
39;21:04:59.303;3.2;21.485174;4328352
40;21:04:59.477;3.1;21.485313;4328120
41;21:04:59.657;3.0;21.486961;4328232
42;21:04:59.832;3.0;21.487120;4328484
43;21:05:00.006;3.1;21.485452;4328408
44;21:05:00.176;3.1;21.486782;4328416
45;21:05:00.351;3.2;21.485233;4328348
46;21:05:00.519;2.9;21.496154;4330304
47;21:05:00.691;4.8;21.496611;4330396
48;21:05:00.863;4.5;21.496452;4330608
49;21:05:01.040;3.3;21.494784;4330028
50;21:05:01.214;3.1;21.494467;4330100
51;21:05:01.388;3.1;21.494983;4329848
52;21:05:01.564;3.1;21.494050;4329660
53;21:05:01.736;6.3;21.492342;4329536
54;21:05:01.906;4.5;21.494347;4329956
55;21:05:02.084;3.1;21.493732;4329816
56;21:05:02.254;3.1;21.493374;4329744
57;21:05:02.429;3.2;21.494903;4330052
58;21:05:02.602;4.3;21.496035;4330060
59;21:05:02.778;1.5;21.495042;4330080
60;21:05:02.954;3.1;21.495440;4330160
61;21:05:03.128;4.6;21.493811;4329832
62;21:05:03.301;1.4;21.495499;4330504
63;21:05:03.475;4.5;21.495638;4330708
64;21:05:03.650;4.6;21.498636;4330804
65;21:05:03.823;4.7;21.495301;4330132
66;21:05:03.997;1.6;21.496413;4330656
67;21:05:04.170;3.1;21.495698;4329992
68;21:05:04.345;4.5;21.495837;4330240
69;21:05:04.517;3.0;21.493791;4329828
70;21:05:04.695;3.1;21.493474;4329764
71;21:05:04.867;4.5;21.494566;4329984
72;21:05:05.040;4.5;21.495916;4329812
73;21:05:05.215;1.5;21.493871;4329844
74;21:05:05.387;4.5;21.493672;4329804
75;21:05:05.561;3.2;21.494387;4329948
76;21:05:05.734;4.5;21.492600;4329588
77;21:05:05.910;3.1;21.491985;4329464
78;21:05:06.086;4.7;21.491210;4329560
79;21:05:06.261;4.6;21.494169;4329684
80;21:05:06.431;4.5;21.491667;4329628
81;21:05:06.607;1.6;21.492759;4329400
82;21:05:06.780;6.1;21.495777;4330008
83;21:05:06.953;4.5;21.493533;4329556
84;21:05:07.128;3.1;21.491429;4329352
85;21:05:07.301;6.2;21.490317;4329128
86;21:05:07.477;3.2;21.491429;4329352
87;21:05:07.649;1.6;21.491607;4329688
88;21:05:07.819;3.2;21.494864;4330044
89;21:05:07.993;4.6;21.489681;4329452
90;21:05:08.169;6.2;21.490475;4329208
91;21:05:08.342;2.9;21.492819;4329412
92;21:05:08.517;3.1;21.492660;4329600
93;21:05:08.689;3.1;21.494467;4329744
94;21:05:08.857;4.3;21.494705;4330020
95;21:05:09.037;6.0;21.493057;4329680
96;21:05:09.210;3.0;21.492977;4329664
97;21:05:09.381;6.1;21.492143;4329876
98;21:05:09.553;4.4;21.496810;4330436
99;21:05:09.730;4.5;21.496730;4330200
100;21:05:09.904;4.6;21.496710;4330472
101;21:05:10.077;4.5;21.493474;4329764
102;21:05:10.255;3.1;21.492878;4329912
103;21:05:10.430;6.0;21.492958;4329440
104;21:05:10.604;7.7;21.491548;4329156
105;21:05:10.772;4.4;21.494010;4329624
106;21:05:10.951;3.0;21.492084;4329484
107;21:05:11.127;6.1;21.494169;4330132
108;21:05:11.299;4.5;21.496651;4330404
109;21:05:11.471;3.1;21.495638;4330200
110;21:05:11.647;4.5;21.495638;4330200
111;21:05:11.823;4.6;21.496512;4329936
112;21:05:11.998;7.5;21.493970;4329864
113;21:05:12.174;4.6;21.493672;4329804
114;21:05:12.347;5.8;21.493672;4330032
115;21:05:12.523;6.2;21.493871;4329844
116;21:05:12.695;4.5;21.492680;4329604
117;21:05:12.872;3.2;21.495479;4330168
118;21:05:13.045;6.1;21.493831;4329616
119;21:05:13.218;3.0;21.493216;4329712
120;21:05:13.389;4.5;21.492580;4329584
121;21:05:13.566;3.0;21.491488;4329632
122;21:05:13.742;6.3;21.491329;4329592
123;21:05:13.912;6.0;21.492223;4329512
124;21:05:14.087;3.1;21.491329;4329332
125;21:05:14.259;4.4;21.492660;4329600
126;21:05:14.434;4.5;21.493990;4329868
127;21:05:14.605;4.5;21.491329;4329332
128;21:05:14.779;1.5;21.493613;4329792
129;21:05:14.953;4.6;21.494268;4329704
130;21:05:15.124;4.5;21.491012;4329268
131;21:05:15.298;1.6;21.491905;4329228
132;21:05:15.473;5.9;21.495440;4330160
133;21:05:15.644;4.6;21.495241;4330120
134;21:05:15.817;2.9;21.495479;4330176
135;21:05:15.994;1.5;21.494347;4329940
136;21:05:16.171;3.1;21.494109;4330152
137;21:05:16.344;3.1;21.493712;4329812
138;21:05:16.512;3.1;21.495440;4330160
139;21:05:16.687;6.0;21.495519;4330176
140;21:05:16.859;6.3;21.495817;4330236
141;21:05:17.029;3.1;21.489602;4328984
142;21:05:17.203;3.1;21.490039;4329072
143;21:05:17.381;0.0;21.490197;4329104
144;21:05:17.554;4.6;21.488907;4328860
145;21:05:17.729;4.5;21.491290;4329528
146;21:05:17.905;4.5;21.492977;4329664
147;21:05:18.080;4.5;21.493791;4329828
148;21:05:18.258;6.2;21.492382;4329544
149;21:05:18.428;3.1;21.491528;4329372
150;21:05:18.602;3.2;21.490197;4329104
151;21:05:18.778;6.2;21.491726;4329412
152;21:05:18.948;4.4;21.495122;4330096
153;21:05:19.122;1.6;21.492799;4329408
154;21:05:19.294;3.1;21.488331;4328728
155;21:05:19.468;4.8;21.491548;4329376
156;21:05:19.637;1.6;21.492481;4329564
157;21:05:19.811;4.3;21.492958;4329660
158;21:05:19.986;3.1;21.489026;4328868
159;21:05:20.158;4.5;21.488430;4329152
160;21:05:20.333;3.0;21.491707;4329408
161;21:05:20.507;4.7;21.490456;4329196
162;21:05:20.679;6.2;21.492302;4329528
163;21:05:20.851;3.0;21.493275;4329960
164;21:05:21.028;3.1;21.495559;4330184
165;21:05:21.202;5.8;21.494685;4330008
166;21:05:21.375;5.8;21.492918;4329652
167;21:05:21.549;5.8;21.493315;4329732
168;21:05:21.723;1.6;21.492600;4329368
169;21:05:21.894;3.2;21.494526;4329976
170;21:05:22.064;4.5;21.494943;4330060
171;21:05:22.237;3.0;21.496035;4330060
172;21:05:22.411;1.6;21.491508;4329368
173;21:05:22.585;3.1;21.491726;4329192
174;21:05:22.757;3.0;21.492600;4329856
175;21:05:22.933;4.6;21.485015;4328564
176;21:05:23.111;3.0;21.489661;4328776
177;21:05:23.281;1.6;21.488450;4328752
178;21:05:23.453;3.1;21.489661;4328996
179;21:05:23.622;1.6;21.491865;4329440
180;21:05:23.789;1.5;21.490317;4329396
181;21:05:23.960;3.1;21.508585;4332808
182;21:05:24.129;1.6;21.539581;4339052
183;21:05:24.296;1.5;21.582431;4347684
184;21:05:24.465;0.0;21.615115;4354268
185;21:05:24.634;1.6;21.644522;4360192
186;21:05:24.802;4.5;21.656932;4362472
187;21:05:24.977;4.5;21.660288;4363376
188;21:05:25.152;3.1;21.659037;4362896
189;21:05:25.329;3.2;21.658918;4362904
190;21:05:25.501;4.5;21.657468;4363076
191;21:05:25.675;3.2;21.661261;4363524
192;21:05:25.848;3.0;21.659831;4363504
193;21:05:26.025;4.7;21.658700;4363048
194;21:05:26.195;2.9;21.658620;4362812
195;21:05:26.371;0.0;21.658600;4363400
196;21:05:26.547;6.2;21.663147;4363724
197;21:05:26.722;6.0;21.660090;4363108
198;21:05:26.895;1.6;21.670613;4365228
199;21:05:27.071;4.7;21.670256;4365156
200;21:05:27.242;9.0;21.669164;4365156
201;21:05:27.415;4.5;21.670097;4365096
202;21:05:27.591;4.5;21.669005;4365360
203;21:05:27.762;6.2;21.667794;4364888
204;21:05:27.934;5.9;21.668390;4364556
205;21:05:28.105;4.5;21.664776;4364272
206;21:05:28.279;3.2;21.676908;4366496
207;21:05:28.451;7.9;21.677067;4367016
208;21:05:28.623;1.6;21.678238;4366984
209;21:05:28.799;4.3;21.687094;4368768
210;21:05:28.968;3.2;21.718190;4375032
211;21:05:29.136;6.2;21.758935;4383016
212;21:05:29.305;1.6;21.787767;4389048
213;21:05:29.473;6.2;21.820530;4395648
214;21:05:29.643;4.5;21.850295;4401644
215;21:05:29.811;0.0;21.870628;4405740
216;21:05:29.985;4.6;21.882403;4407892
