ID; Time; Network interface; TBPS; RBPS
1;14:42:48.304;enp0s25;8085;112809
2;14:42:49.313;enp0s25;54246;1299741
3;14:42:50.321;enp0s25;162300;6419185
4;14:42:51.327;enp0s25;141128;6145494
5;14:42:52.336;enp0s25;145515;7099750
6;14:42:53.343;enp0s25;113910;5164807
7;14:42:54.350;enp0s25;0;64
8;14:42:55.356;enp0s25;548;414
9;14:42:56.365;enp0s25;0;64
10;14:42:57.372;enp0s25;0;0
11;14:42:58.378;enp0s25;0;64
12;14:42:59.385;enp0s25;0;0
13;14:43:00.392;enp0s25;5388;129689
14;14:43:01.398;enp0s25;35204;1049629
15;14:43:02.406;enp0s25;139399;5866176
16;14:43:03.414;enp0s25;142284;6056976
17;14:43:04.422;enp0s25;143254;7087670
18;14:43:05.431;enp0s25;152040;7148262
19;14:43:06.439;enp0s25;149214;7122520
20;14:43:07.449;enp0s25;134359;6208140
21;14:43:08.457;enp0s25;152460;7140736
22;14:43:09.466;enp0s25;151060;7142190
23;14:43:10.473;enp0s25;143426;6608751
24;14:43:11.483;enp0s25;141741;6480028
25;14:43:12.491;enp0s25;153848;7133146
26;14:43:13.499;enp0s25;103848;4818353
27;14:43:14.506;enp0s25;29020;963807
28;14:43:15.516;enp0s25;47297;1338095
29;14:43:16.525;enp0s25;29906;889004
30;14:43:17.538;enp0s25;72569;2755770
31;14:43:18.549;enp0s25;88432;3185113
32;14:43:19.558;enp0s25;0;64
33;14:43:20.567;enp0s25;0;0
34;14:43:21.575;enp0s25;0;64
35;14:43:22.583;enp0s25;0;0
36;14:43:23.590;enp0s25;0;64
37;14:43:24.597;enp0s25;0;0
38;14:43:25.604;enp0s25;0;64
39;14:43:26.611;enp0s25;64;64
40;14:43:27.618;enp0s25;0;64
41;14:43:28.626;enp0s25;0;0
42;14:43:29.633;enp0s25;0;64
43;14:43:30.640;enp0s25;0;0
44;14:43:31.650;enp0s25;0;64
45;14:43:32.656;enp0s25;0;0
46;14:43:33.665;enp0s25;273;204
47;14:43:34.672;enp0s25;0;0
48;14:43:35.683;enp0s25;0;64
49;14:43:36.789;enp0s25;0;0
50;14:43:37.798;enp0s25;64;128
51;14:43:38.805;enp0s25;2724;4811
52;14:43:39.820;enp0s25;35114;956325
53;14:43:40.829;enp0s25;0;0
54;14:43:41.836;enp0s25;0;64
55;14:43:42.843;enp0s25;0;0
56;14:43:43.849;enp0s25;800;3535
