ID; Time; CPU %; MEM %; MEM KiB
1;14:35:42.801;3.0;14.746978;2970712
2;14:35:42.970;3.0;14.744317;2970420
3;14:35:43.143;3.0;14.745210;2970136
4;14:35:43.314;10.1;14.756509;2972632
5;14:35:43.487;3.0;14.757164;2972764
6;14:35:43.658;4.4;14.769356;2975600
7;14:35:43.828;3.0;14.771322;2976136
8;14:35:44.002;1.5;14.772414;2975616
9;14:35:44.174;1.6;14.769872;2975104
10;14:35:44.344;0.0;14.768899;2975128
11;14:35:44.513;3.0;14.769455;2975020
12;14:35:44.682;7.5;14.766457;2974404
13;14:35:44.857;4.5;14.776822;2976992
14;14:35:45.028;4.3;14.780992;2977812
15;14:35:45.198;4.3;14.781568;2978140
16;14:35:45.370;1.6;14.788676;2979412
17;14:35:45.545;0.0;14.798763;2980924
18;14:35:45.723;8.6;14.780773;2977520
19;14:35:45.894;2.9;14.780217;2977408
20;14:35:46.066;4.3;14.782779;2978200
21;14:35:46.241;3.1;14.791436;2979912
22;14:35:46.417;4.5;14.796420;2980452
23;14:35:46.597;1.5;14.779066;2977176
24;14:35:46.768;7.8;14.777160;2977084
25;14:35:46.940;2.8;14.777855;2976932
26;14:35:47.113;8.9;14.781071;2977580
27;14:35:47.286;5.2;14.783911;2978152
28;14:35:47.457;6.2;14.782283;2977604
29;14:35:47.629;3.2;14.784407;2978048
30;14:35:47.799;0.0;14.782521;2978104
31;14:35:47.969;3.1;14.782541;2977876
32;14:35:48.139;7.2;14.784983;2977928
33;14:35:48.308;1.5;14.783275;2978268
34;14:35:48.477;1.6;14.803847;2982168
35;14:35:48.648;3.1;14.846637;2991040
36;14:35:48.817;5.9;14.875767;2996900
37;14:35:48.986;2.9;14.909086;3003368
38;14:35:49.155;4.4;14.936706;3008932
39;14:35:49.324;4.5;14.968795;3017412
40;14:35:49.493;3.0;15.007435;3023180
41;14:35:49.662;1.4;15.048876;3031528
42;14:35:49.831;4.6;15.092639;3040344
43;14:35:50.000;1.5;15.134398;3048756
44;14:35:50.168;0.0;15.163249;3054568
45;14:35:50.336;1.6;15.184595;3058868
46;14:35:50.504;1.5;15.183245;3058840
47;14:35:50.672;0.0;15.184496;3058628
48;14:35:50.841;0.0;15.185052;3058740
49;14:35:51.010;1.5;15.186600;3059052
50;14:35:51.178;1.6;15.184376;3058824
51;14:35:51.346;0.0;15.184218;3058792
52;14:35:51.514;0.0;15.182927;3058580
53;14:35:51.684;1.5;15.222024;3066448
54;14:35:51.853;0.0;15.285208;3079136
55;14:35:52.023;0.0;15.327899;3087516
56;14:35:52.191;6.2;15.744389;3171036
57;14:35:52.361;1.5;15.761684;3175632
58;14:35:52.530;1.5;15.765258;3175620
59;14:35:52.699;0.0;15.805527;3183952
60;14:35:52.867;2.8;15.802946;3183936
61;14:35:53.036;0.0;15.856936;3194308
62;14:35:53.205;0.0;15.855645;3194048
63;14:35:53.373;0.0;15.855923;3193884
64;14:35:53.542;0.0;15.856737;3194048
65;14:35:53.711;1.6;15.856737;3194268
66;14:35:53.879;0.0;15.858147;3194552
67;14:35:54.048;1.6;15.857988;3194520
68;14:35:54.216;0.0;15.856538;3194268
69;14:35:54.385;0.0;15.855565;3194292
70;14:35:54.554;0.0;15.859854;3194684
71;14:35:54.722;0.0;15.857511;3194684
72;14:35:54.890;3.1;15.855923;3193948
73;14:35:55.061;3.2;15.852865;3193732
74;14:35:55.230;0.0;15.853103;3193536
75;14:35:55.398;0.0;15.852786;3193472
76;14:35:55.566;3.0;15.854037;3193984
77;14:35:55.742;6.2;15.854751;3193868
78;14:35:55.916;1.5;15.857094;3194340
79;14:35:56.087;3.4;15.857293;3194160
80;14:35:56.258;1.7;15.855129;3193944
81;14:35:56.431;1.5;15.861999;3195572
82;14:35:56.607;3.0;15.857928;3194508
83;14:35:56.780;3.2;15.858147;3194552
84;14:35:56.951;0.0;15.856658;3194032
85;14:35:57.123;1.6;15.856181;3194156
86;14:35:57.294;0.0;15.854732;3193864
87;14:35:57.465;0.0;15.854295;3193776
88;14:35:57.638;0.0;15.858484;3194936
89;14:35:57.809;1.6;15.857432;3194188
90;14:35:57.980;0.0;15.857869;3194756
91;14:35:58.153;0.0;15.856419;3194204
92;14:35:58.324;1.6;15.858981;3194720
93;14:35:58.495;1.5;15.858524;3194408
94;14:35:58.666;0.0;15.857055;3194144
95;14:35:58.838;3.0;15.853222;3193560
96;14:35:59.011;1.5;15.856916;3193864
97;14:35:59.183;1.5;15.852746;3193884
98;14:35:59.354;0.0;15.855764;3194072
99;14:35:59.526;0.0;15.857770;3194476
100;14:35:59.696;2.8;15.858246;3194572
101;14:35:59.869;1.5;15.855923;3194104
102;14:36:00.040;5.6;15.860113;3194728
103;14:36:00.218;3.1;15.857015;3194324
104;14:36:00.394;4.5;15.857174;3194356
105;14:36:00.565;2.9;15.854970;3193692
106;14:36:00.736;0.0;15.859100;3194744
107;14:36:00.911;3.0;15.859160;3194756
108;14:36:01.080;1.5;15.862178;3195144
109;14:36:01.249;1.4;15.859160;3194536
110;14:36:01.420;2.8;15.859279;3194784
111;14:36:01.592;5.7;15.856459;3194480
112;14:36:01.767;3.0;15.857611;3194696
113;14:36:01.944;6.2;15.857035;3194108
114;14:36:02.121;4.3;15.855248;3194188
115;14:36:02.292;7.7;15.857392;3194400
116;14:36:02.463;4.2;15.857948;3194068
117;14:36:02.635;2.8;15.855208;3193960
118;14:36:02.805;0.0;15.855704;3193620
119;14:36:02.978;2.9;15.854513;3193820
120;14:36:03.150;0.0;15.856141;3194148
121;14:36:03.320;0.0;15.857492;3194672
122;14:36:03.493;0.0;15.857233;3194368
123;14:36:03.665;1.5;15.860371;3194780
124;14:36:03.837;1.4;15.856876;3194296
125;14:36:04.011;0.0;15.856479;3194216
126;14:36:04.182;0.0;15.857551;3194432
127;14:36:04.353;2.9;15.858345;3194592
128;14:36:04.523;0.0;15.860152;3194956
129;14:36:04.694;1.5;15.858822;3194688
130;14:36:04.866;0.0;15.858584;3194420
131;14:36:05.037;3.0;15.854374;3193792
132;14:36:05.211;1.5;15.857571;3194216
133;14:36:05.382;3.0;15.853163;3193344
134;14:36:05.553;6.0;15.856936;3194568
135;14:36:05.725;3.1;15.858604;3194644
136;14:36:05.898;4.5;15.859040;3194732
137;14:36:06.072;7.1;15.856141;3194260
138;14:36:06.246;4.5;15.857531;3194672
139;14:36:06.420;4.5;15.858405;3194604
140;14:36:06.595;10.8;15.858028;3194528
141;14:36:06.769;6.0;15.857075;3194572
142;14:36:06.945;4.6;15.858683;3194660
143;14:36:07.121;6.1;15.856260;3194172
144;14:36:07.291;4.8;15.851415;3193912
145;14:36:07.462;7.4;15.857730;3194468
146;14:36:07.633;7.4;15.854811;3194048
147;14:36:07.804;10.1;15.855804;3194080
148;14:36:07.976;7.7;15.854195;3193756
149;14:36:08.147;4.5;15.852150;3193124
150;14:36:08.318;0.0;15.855863;3194124
151;14:36:08.489;1.8;15.867916;3196524
152;14:36:08.659;0.0;15.878261;3198604
153;14:36:08.831;0.0;15.876216;3198256
154;14:36:09.002;3.4;15.879512;3200116
155;14:36:09.174;4.7;15.886224;3200208
156;14:36:09.354;6.2;15.886125;3199968
157;14:36:09.527;1.7;15.885013;3199964
158;14:36:09.702;3.2;15.886204;3200204
159;14:36:09.879;4.7;15.889103;3200788
160;14:36:10.052;4.6;15.889758;3200700
161;14:36:10.226;3.6;15.895239;3202024
