ID; Time; CPU %; MEM %; MEM KiB
1;16:39:06.817;4.4;25.268331;5090460
2;16:39:06.988;3.0;25.271746;5091248
3;16:39:07.163;4.6;25.268906;5090332
4;16:39:07.343;4.5;25.266405;5089804
5;16:39:07.514;1.6;25.270773;5090936
6;16:39:07.684;1.5;25.270773;5090684
7;16:39:07.853;1.5;25.272481;5091296
8;16:39:08.023;1.5;25.272759;5091084
9;16:39:08.192;0.0;25.271686;5090868
10;16:39:08.361;0.0;25.270277;5090584
11;16:39:08.531;1.5;25.268986;5090324
12;16:39:08.700;0.0;25.270713;5090672
13;16:39:08.869;3.0;25.271627;5090636
14;16:39:09.041;1.5;25.271349;5090800
15;16:39:09.217;1.5;25.274943;5091524
16;16:39:09.393;0.0;25.274903;5091516
17;16:39:09.568;1.5;25.273652;5091044
18;16:39:09.745;1.5;25.274903;5091516
19;16:39:09.921;1.6;25.274903;5091296
20;16:39:10.093;1.6;25.271746;5090620
21;16:39:10.265;3.1;25.269721;5090740
22;16:39:10.438;0.0;25.269085;5090344
23;16:39:10.607;1.6;25.268609;5090248
24;16:39:10.776;3.1;25.273612;5091036
25;16:39:10.948;1.6;25.267675;5090060
26;16:39:11.117;0.0;25.268767;5090280
27;16:39:11.286;1.5;25.268013;5090128
28;16:39:11.456;0.0;25.275320;5091380
29;16:39:11.625;0.0;25.368229;5110028
30;16:39:11.796;2.9;25.577178;5152488
31;16:39:11.966;0.0;25.581368;5153032
32;16:39:12.136;1.5;25.579204;5152816
33;16:39:12.306;0.0;25.577774;5152528
34;16:39:12.482;0.0;25.577238;5151980
35;16:39:12.659;3.0;25.576424;5152036
36;16:39:12.834;4.6;25.575689;5152108
37;16:39:13.009;1.6;25.578509;5152676
38;16:39:13.182;1.5;25.577516;5152476
39;16:39:13.357;0.0;25.585617;5154440
40;16:39:13.533;0.0;25.590621;5155116
41;16:39:13.708;3.0;25.589430;5154652
42;16:39:13.882;4.7;25.582262;5153432
43;16:39:14.056;3.0;25.578310;5152636
44;16:39:14.228;1.6;25.583056;5153592
45;16:39:14.402;0.0;25.587524;5154492
46;16:39:14.576;5.8;25.580137;5153004
47;16:39:14.749;5.6;25.579958;5152968
48;16:39:14.922;1.5;25.583473;5153676
49;16:39:15.100;0.0;25.584287;5153620
50;16:39:15.270;1.5;25.582599;5153500
51;16:39:15.444;1.5;25.587663;5154300
