ID; Time; CPU %; MEM %; MEM KiB
1;13:05:35.492;3.0;11.561339;2328800
2;13:05:35.669;3.1;11.560426;2329040
3;13:05:35.840;3.2;11.559354;2328580
4;13:05:36.010;1.6;11.566601;2330272
5;13:05:36.182;0.0;11.566343;2330476
6;13:05:36.352;1.6;11.567296;2330456
7;13:05:36.522;1.5;11.569699;2330664
8;13:05:36.692;1.6;11.568170;2330136
9;13:05:36.861;0.0;11.569222;2330348
10;13:05:37.030;1.5;11.569858;2330932
11;13:05:37.200;0.0;11.570195;2330600
12;13:05:37.370;0.0;11.569699;2330664
13;13:05:37.541;0.0;11.570910;2331192
14;13:05:37.712;3.0;11.573491;2331428
15;13:05:37.890;1.5;11.572399;2331208
16;13:05:38.063;0.0;11.573491;2331428
17;13:05:38.241;0.0;11.574385;2331608
18;13:05:38.418;0.0;11.574306;2331592
19;13:05:38.590;8.3;11.570771;2331112
20;13:05:38.760;4.5;11.569103;2330544
21;13:05:38.930;1.6;11.568905;2330772
22;13:05:39.101;0.0;11.570513;2330828
23;13:05:39.271;1.4;11.569917;2330708
24;13:05:39.442;0.0;11.570275;2330560
25;13:05:39.611;0.0;11.578674;2332472
26;13:05:39.780;1.5;11.578634;2332464
27;13:05:39.949;1.5;11.883670;2394572
28;13:05:40.119;1.6;11.887363;2394656
29;13:05:40.289;1.5;11.888574;2395144
30;13:05:40.458;1.6;11.889666;2395120
31;13:05:40.630;1.5;11.888971;2395208
32;13:05:40.807;1.6;11.888237;2394612
33;13:05:40.981;1.7;11.887045;2395040
34;13:05:41.153;0.0;11.886986;2395040
35;13:05:41.326;1.6;11.896775;2396332
36;13:05:41.500;3.3;11.890520;2395292
37;13:05:41.675;1.7;11.887482;2394680
38;13:05:41.845;1.9;11.888296;2395064
39;13:05:42.017;0.0;11.887403;2394664
40;13:05:42.188;1.9;11.888574;2394900
41;13:05:42.358;0.0;11.887641;2395004
42;13:05:42.529;0.0;11.890897;2395368
43;13:05:42.701;0.0;11.892466;2395960
44;13:05:42.872;1.9;11.892307;2395652
45;13:05:43.042;0.0;11.891056;2395180
46;13:05:43.212;1.9;11.890004;2395188
47;13:05:43.383;1.9;11.890163;2395000
48;13:05:43.555;1.9;11.889051;2395248
49;13:05:43.726;0.0;11.887184;2394620
50;13:05:43.898;1.9;11.886112;2394404
51;13:05:44.070;0.0;11.885774;2394600
52;13:05:44.243;1.9;11.891572;2395780
53;13:05:44.414;3.5;11.890222;2395484
54;13:05:44.587;3.5;11.890580;2395304
55;13:05:44.758;1.7;11.888356;2394856
56;13:05:44.930;0.0;11.887085;2394828
57;13:05:45.100;0.0;11.891672;2395524
58;13:05:45.272;0.0;11.888812;2394948
59;13:05:45.444;0.0;11.891136;2395416
60;13:05:45.615;3.5;11.891453;2395260
61;13:05:45.786;0.0;11.888475;2395132
62;13:05:45.957;1.8;11.890183;2395224
63;13:05:46.128;1.7;11.890024;2395208
64;13:05:46.300;0.0;11.886906;2394564
65;13:05:46.473;0.0;11.889289;2395044
66;13:05:46.644;0.0;11.888058;2395048
67;13:05:46.815;0.0;11.890202;2395240
68;13:05:46.987;9.0;11.888157;2394180
69;13:05:47.162;8.7;11.897907;2396780
70;13:05:47.335;10.8;11.896656;2396528
71;13:05:47.505;4.5;11.920146;2401260
72;13:05:47.676;4.5;11.968099;2411144
73;13:05:47.846;9.9;12.144723;2446768
74;13:05:48.017;1.6;12.290211;2475588
75;13:05:48.186;1.5;12.470230;2511852
76;13:05:48.357;12.9;12.557182;2529760
77;13:05:48.529;10.4;12.556447;2529456
78;13:05:48.700;1.6;12.556248;2529400
79;13:05:48.870;4.5;12.586788;2535592
80;13:05:49.039;3.2;12.676996;2553968
81;13:05:49.210;0.0;12.746057;2567676
82;13:05:49.380;11.4;12.795221;2577824
83;13:05:49.550;9.4;12.801119;2578996
84;13:05:49.722;13.2;12.802270;2578960
85;13:05:49.897;6.1;12.805328;2579356
86;13:05:50.067;4.6;12.804097;2579328
87;13:05:50.237;9.9;12.799193;2578340
88;13:05:50.407;1.5;12.802747;2578836
89;13:05:50.577;1.5;12.803899;2579288
90;13:05:50.766;3.0;12.799967;2578496
91;13:05:50.938;26.6;12.804276;2579364
92;13:05:51.117;20.6;12.825602;2583540
93;13:05:51.295;4.5;12.825582;2583656
94;13:05:51.464;5.8;12.824053;2583812
95;13:05:51.636;4.4;12.826436;2583828
96;13:05:51.807;0.0;12.825026;2583324
97;13:05:51.976;0.0;12.836443;2585844
98;13:05:52.144;6.0;12.837516;2586060
99;13:05:52.319;12.7;12.836543;2585864
100;13:05:52.491;12.9;12.835768;2585708
101;13:05:52.662;1.5;12.835609;2585920
102;13:05:52.831;0.0;12.836940;2585944
103;13:05:53.000;4.5;12.838270;2586480
104;13:05:53.171;15.6;12.841209;2586584
105;13:05:53.343;5.7;12.839303;2586420
106;13:05:53.513;1.5;12.841765;2586964
107;13:05:53.681;1.6;12.841328;2586388
108;13:05:53.851;8.8;12.836701;2585676
109;13:05:54.020;1.6;12.836066;2585768
110;13:05:54.190;1.5;12.837933;2585924
111;13:05:54.359;2.9;12.836761;2585908
112;13:05:54.529;12.5;12.837436;2586044
113;13:05:54.703;9.9;12.830923;2585252
114;13:05:54.873;1.6;12.835411;2585636
115;13:05:55.043;0.0;12.835411;2585636
116;13:05:55.212;0.0;12.834160;2585424
117;13:05:55.381;0.0;12.834597;2585472
118;13:05:55.549;3.2;12.835034;2585968
119;13:05:55.719;12.3;12.847940;2588184
120;13:05:55.889;6.1;12.848139;2587216
121;13:05:56.059;1.5;12.845696;2587488
122;13:05:56.228;4.5;12.872741;2593324
123;13:05:56.400;21.8;13.021208;2623064
124;13:05:56.572;19.0;13.097219;2637936
125;13:05:56.743;17.9;13.113024;2641560
126;13:05:56.913;11.9;13.222116;2664064
127;13:05:57.084;9.2;13.224161;2663948
128;13:05:57.255;5.7;13.225074;2664132
129;13:05:57.423;4.5;13.224717;2663712
130;13:05:57.599;9.4;13.227795;2664728
131;13:05:57.771;3.1;13.226941;2664548
132;13:05:57.941;3.1;13.227001;2664520
133;13:05:58.110;1.5;13.227835;2664688
134;13:05:58.283;6.0;13.229641;2664612
135;13:05:58.455;11.9;13.227874;2664696
136;13:05:58.630;4.5;13.230753;2665056
137;13:05:58.805;10.5;13.228232;2665044
138;13:05:58.981;12.0;13.227298;2664620
139;13:05:59.159;10.5;13.227457;2664612
140;13:05:59.332;2.9;13.228390;2665028
141;13:05:59.510;0.0;13.233315;2665792
142;13:05:59.688;1.5;13.232461;2665620
143;13:05:59.861;3.0;13.235380;2665808
144;13:06:00.037;2.9;13.232699;2665448
145;13:06:00.213;0.0;13.228152;2664776
146;13:06:00.384;3.0;13.231806;2665488
147;13:06:00.554;7.4;13.226564;2664660
148;13:06:00.725;9.0;13.229264;2664976
149;13:06:00.894;1.6;13.227636;2664648
150;13:06:01.064;3.0;13.227636;2664648
151;13:06:01.235;17.5;13.228807;2664664
152;13:06:01.406;8.1;13.228927;2664908
153;13:06:01.577;6.9;13.229085;2664940
154;13:06:01.746;0.0;13.229602;2664824
155;13:06:01.917;0.0;13.232501;2665628
156;13:06:02.087;4.5;13.227418;2664856
157;13:06:02.257;16.4;13.228073;2664752
158;13:06:02.427;7.5;13.256428;2672464
159;13:06:02.598;1.5;13.400606;2699492
160;13:06:02.768;10.3;13.399514;2699272
161;13:06:02.938;7.4;13.399315;2699280
162;13:06:03.107;1.6;13.399970;2699144
163;13:06:03.275;0.0;13.397627;2698892
164;13:06:03.444;1.5;13.397468;2698640
165;13:06:03.615;0.0;13.397945;2698956
166;13:06:03.784;1.5;13.430311;2705476
167;13:06:03.954;3.0;13.432595;2705716
168;13:06:04.123;9.1;13.430847;2705836
169;13:06:04.293;6.2;13.434521;2706324
170;13:06:04.462;0.0;13.433826;2705964
171;13:06:04.631;0.0;13.433647;2706148
172;13:06:04.800;13.7;13.433667;2705932
173;13:06:04.971;10.4;13.431443;2705704
174;13:06:05.142;7.0;13.431165;2705428
175;13:06:05.312;2.9;13.432932;2706200
176;13:06:05.482;9.2;13.432813;2705980
177;13:06:05.655;2.7;13.435235;2706248
178;13:06:05.826;1.5;13.435474;2706296
179;13:06:05.997;0.0;13.436030;2706628
180;13:06:06.173;3.0;13.434322;2706144
181;13:06:06.345;0.0;13.434263;2706272
182;13:06:06.514;6.2;13.433607;2706384
183;13:06:06.684;0.0;13.433151;2705828
184;13:06:06.853;3.0;13.432158;2705848
185;13:06:07.022;3.0;13.432436;2705904
186;13:06:07.192;0.0;13.431741;2705764
187;13:06:07.362;0.0;13.434084;2706016
188;13:06:07.532;0.0;13.434243;2706048
189;13:06:07.701;1.5;13.432416;2705900
190;13:06:07.870;1.6;13.431582;2705512
191;13:06:08.039;0.0;13.431582;2705512
192;13:06:08.208;1.4;13.429239;2705260
193;13:06:08.377;0.0;13.430569;2705308
194;13:06:08.545;1.5;13.429080;2705228
195;13:06:08.715;1.6;13.431860;2705568
196;13:06:08.883;1.5;13.429437;2705300
197;13:06:09.053;1.6;13.430013;2705416
198;13:06:09.223;0.0;13.428961;2705204
199;13:06:09.392;0.0;13.429735;2705360
200;13:06:09.562;3.0;13.429954;2705404
201;13:06:09.731;1.5;13.432575;2705712
202;13:06:09.901;1.5;13.431701;2705536
203;13:06:10.069;3.1;13.430649;2705544
204;13:06:10.244;3.0;13.431423;2705992
205;13:06:10.420;6.2;13.429993;2705412
206;13:06:10.590;2.8;13.433885;2706196
207;13:06:10.762;3.0;13.437539;2706932
208;13:06:10.938;3.1;13.440219;2707252
209;13:06:11.110;1.5;13.440875;2707604
210;13:06:11.288;7.1;13.430649;2705544
211;13:06:11.458;2.9;13.429517;2705536
212;13:06:11.630;4.3;13.431085;2705632
213;13:06:11.803;2.8;13.429993;2705192
214;13:06:11.976;4.2;13.433349;2705868
215;13:06:12.146;3.0;13.433250;2705848
216;13:06:12.316;1.4;13.431066;2705852
217;13:06:12.488;2.8;13.430986;2705172
218;13:06:12.658;2.9;13.434779;2706376
219;13:06:12.831;7.8;13.434402;2706080
220;13:06:13.002;5.1;13.434858;2706392
221;13:06:13.173;2.8;13.434342;2706068
222;13:06:13.345;7.8;13.434322;2706364
223;13:06:13.518;1.4;13.432813;2705980
224;13:06:13.692;2.7;13.432992;2706284
225;13:06:13.864;1.4;13.434977;2706552
226;13:06:14.035;2.8;13.435494;2706300
227;13:06:14.207;1.4;13.432515;2705700
228;13:06:14.379;3.0;13.435275;2706448
229;13:06:14.552;2.7;13.433270;2706420
230;13:06:14.722;1.5;13.433270;2706072
231;13:06:14.894;0.0;13.432297;2705656
232;13:06:15.065;2.9;13.430649;2705544
233;13:06:15.238;0.0;13.429735;2705360
234;13:06:15.409;4.7;13.430470;2705800
235;13:06:15.580;7.6;13.434143;2706028
236;13:06:15.750;2.8;13.433667;2706152
237;13:06:15.921;0.0;13.434799;2706380
238;13:06:16.092;5.6;13.435077;2706436
239;13:06:16.266;9.1;13.432515;2705920
240;13:06:16.437;5.2;13.429060;2705484
241;13:06:16.610;4.4;13.431721;2705760
242;13:06:16.782;5.8;13.434660;2706352
243;13:06:16.956;1.6;13.435454;2706292
244;13:06:17.130;3.1;13.431979;2705572
245;13:06:17.303;4.3;13.428802;2705316
246;13:06:17.474;9.0;13.433051;2705588
247;13:06:17.645;15.1;13.429596;2705332
248;13:06:17.818;8.8;13.430530;2705520
249;13:06:17.989;20.8;13.431780;2705772
250;13:06:18.160;12.3;13.432654;2706176
251;13:06:18.331;14.5;13.431780;2706208
252;13:06:18.503;7.4;13.431284;2705672
253;13:06:18.673;3.2;13.434362;2706292
254;13:06:18.845;10.1;13.432336;2706112
255;13:06:19.016;3.1;13.435136;2706620
256;13:06:19.187;3.3;13.433806;2705960
257;13:06:19.357;3.0;13.428445;2705320
258;13:06:19.529;1.7;13.431284;2705672
259;13:06:19.700;1.8;13.429854;2705668
260;13:06:19.874;1.9;13.429874;2705388
261;13:06:20.044;0.0;13.431582;2705732
262;13:06:20.216;1.9;13.431264;2705448
263;13:06:20.387;1.8;13.430688;2705600
264;13:06:20.563;1.5;13.434521;2706324
265;13:06:20.740;1.9;13.432456;2705688
266;13:06:20.911;0.0;13.431145;2705204
267;13:06:21.082;1.9;13.425724;2704584
268;13:06:21.254;1.9;13.428921;2705804
269;13:06:21.426;1.9;13.430073;2705912
270;13:06:21.597;0.0;13.429914;2705616
271;13:06:21.769;0.0;13.431304;2705708
272;13:06:21.940;1.9;13.429100;2705232
273;13:06:22.111;4.6;13.429477;2705560
274;13:06:22.285;1.6;13.432217;2705860
275;13:06:22.462;6.0;13.431165;2705648
276;13:06:22.636;4.5;13.430132;2705740
277;13:06:22.813;4.9;13.434322;2706064
278;13:06:22.986;5.0;13.432892;2705996
279;13:06:23.160;4.8;13.432555;2705968
280;13:06:23.337;7.5;13.433846;2705968
281;13:06:23.513;3.3;13.432039;2706252
282;13:06:23.687;1.9;13.432277;2705872
283;13:06:23.859;1.6;13.441868;2707584
284;13:06:24.036;6.5;13.435136;2706228
285;13:06:24.211;4.9;13.426201;2704648
286;13:06:24.384;0.0;13.429735;2705360
287;13:06:24.553;1.5;13.440994;2707408
288;13:06:24.723;3.1;13.509519;2721700
289;13:06:24.893;4.7;13.512497;2722332
290;13:06:25.063;3.0;13.521353;2723816
291;13:06:25.233;3.1;13.521552;2724164
292;13:06:25.403;4.5;13.624408;2744576
293;13:06:25.574;1.6;13.757367;2771360
294;13:06:25.742;1.4;13.903710;2800840
295;13:06:25.911;0.0;14.086568;2839692
296;13:06:26.081;3.0;14.158448;2852432
297;13:06:26.251;1.6;14.249927;2870828
298;13:06:26.420;4.5;14.280705;2876784
299;13:06:26.591;2.9;14.280308;2876704
300;13:06:26.760;5.9;14.386679;2897912
301;13:06:26.929;1.4;14.531353;2927056
302;13:06:27.099;0.0;14.702576;2961488
303;13:06:27.268;7.7;14.720824;2965696
304;13:06:27.441;3.1;14.815956;2984860
305;13:06:27.612;1.5;14.819848;2985064
306;13:06:27.781;4.5;14.818875;2985440
307;13:06:27.951;1.5;14.815877;2984592
308;13:06:28.121;1.5;14.817088;2985096
309;13:06:28.291;4.4;14.819788;2985380
310;13:06:28.461;3.0;14.824614;2986400
311;13:06:28.632;3.1;14.966310;3014896
312;13:06:28.801;1.4;15.071410;3036068
313;13:06:28.972;1.4;15.100837;3042028
314;13:06:29.142;0.0;15.100698;3042212
315;13:06:29.312;4.5;15.104312;3042612
316;13:06:29.482;3.0;15.102763;3042384
317;13:06:29.654;4.4;15.105364;3043208
318;13:06:29.824;3.0;15.267850;3075640
319;13:06:29.995;1.5;15.266142;3075296
320;13:06:30.165;1.6;15.267751;3075400
321;13:06:30.336;4.5;15.267731;3075616
322;13:06:30.505;2.9;15.268982;3076112
323;13:06:30.675;1.5;15.267493;3075812
324;13:06:30.845;3.0;15.270451;3076408
325;13:06:31.017;1.5;15.267235;3075768
326;13:06:31.187;1.5;15.269399;3076204
327;13:06:31.360;4.5;15.266857;3075684
328;13:06:31.530;4.4;15.276805;3077476
329;13:06:31.701;4.5;15.277858;3077948
330;13:06:31.871;3.1;15.289236;3079872
331;13:06:32.042;4.5;15.292810;3080668
332;13:06:32.212;3.2;15.288799;3079860
333;13:06:32.383;4.5;15.297992;3081712
334;13:06:32.554;3.1;15.310681;3084268
335;13:06:32.725;4.3;15.317193;3085832
336;13:06:32.894;4.5;15.319596;3086064
337;13:06:33.067;1.6;15.357840;3093768
338;13:06:33.237;3.1;15.379523;3098372
339;13:06:33.407;5.9;15.379444;3098120
340;13:06:33.576;4.3;15.380357;3098084
341;13:06:33.746;3.0;15.379404;3098112
342;13:06:33.917;1.6;15.385718;3099056
343;13:06:34.087;0.0;15.380615;3098860
344;13:06:34.257;1.4;15.383474;3098712
345;13:06:34.427;3.0;15.379066;3098288
346;13:06:34.597;1.6;15.381747;3098836
347;13:06:34.767;4.4;15.380992;3098684
348;13:06:34.938;3.0;15.384408;3098900
349;13:06:35.109;4.5;15.381370;3098556
350;13:06:35.279;1.5;15.382978;3098612
351;13:06:35.450;3.0;15.384169;3098852
352;13:06:35.620;2.9;15.380853;3098404
353;13:06:35.791;3.1;15.380496;3098112
354;13:06:35.961;4.7;15.382680;3099032
355;13:06:36.132;4.5;15.385440;3099328
356;13:06:36.303;2.9;15.385798;3099400
357;13:06:36.474;0.0;15.385480;3099336
358;13:06:36.643;4.4;15.383911;3099020
359;13:06:36.814;3.1;15.381787;3098592
360;13:06:36.983;4.5;15.381608;3098556
361;13:06:37.155;4.5;15.380139;3098292
362;13:06:37.326;3.0;15.380933;3098664
363;13:06:37.496;2.9;15.381866;3098608
364;13:06:37.666;1.5;15.383038;3098844
365;13:06:37.835;2.9;15.383415;3098592
366;13:06:38.006;3.2;15.384050;3098956
367;13:06:38.176;3.1;15.381648;3098588
368;13:06:38.346;3.0;15.383375;3099156
369;13:06:38.515;0.0;15.384785;3099196
370;13:06:38.684;4.5;15.383951;3099028
371;13:06:38.854;4.7;15.381528;3097992
372;13:06:39.025;3.0;15.383772;3098992
373;13:06:39.195;6.0;15.381628;3098560
374;13:06:39.365;1.5;15.379682;3098168
375;13:06:39.535;0.0;15.379463;3097904
376;13:06:39.704;0.0;15.378610;3097952
377;13:06:39.873;0.0;15.378014;3097612
378;13:06:40.042;1.5;15.378212;3097652
379;13:06:40.210;0.0;15.379583;3098408
380;13:06:40.379;1.5;15.379861;3098204
381;13:06:40.550;0.0;15.376584;3097544
382;13:06:40.721;0.0;15.375989;3097684
383;13:06:40.890;0.0;15.380794;3098172
384;13:06:41.058;0.0;15.380794;3098392
385;13:06:41.228;1.6;15.380833;3098400
386;13:06:41.397;1.6;15.380953;3098204
387;13:06:41.566;0.0;15.380913;3098416
388;13:06:41.736;0.0;15.378570;3098188
389;13:06:41.905;1.6;15.379662;3098432
390;13:06:42.246;0.0;15.382323;3098960
391;13:06:42.416;1.4;15.382561;3098992
392;13:06:42.591;4.5;15.385142;3099504
393;13:06:42.767;1.5;15.384666;3098952
394;13:06:42.942;3.4;15.384983;3099236
395;13:06:43.113;1.7;15.386651;3099840
396;13:06:43.287;0.0;15.394634;3101180
397;13:06:43.465;1.5;15.385778;3099436
398;13:06:43.634;0.0;15.384527;3098924
399;13:06:43.803;4.5;15.384964;3099264
400;13:06:43.974;4.2;15.384983;3099504
401;13:06:44.143;0.0;15.384428;3099124
402;13:06:44.314;1.4;15.383633;3099208
403;13:06:44.484;1.5;15.383971;3099536
404;13:06:44.654;3.0;15.384924;3099224
405;13:06:44.824;0.0;15.383018;3098840
406;13:06:44.994;0.0;15.385440;3099108
407;13:06:45.164;1.6;15.386850;3099612
408;13:06:45.334;1.6;15.388041;3100104
409;13:06:45.504;0.0;15.404244;3102896
410;13:06:45.674;1.5;15.401524;3102828
411;13:06:45.842;1.5;15.406687;3103608
412;13:06:46.011;0.0;15.405396;3103348
413;13:06:46.180;0.0;15.404105;3103088
414;13:06:46.350;0.0;15.405237;3103316
415;13:06:46.519;1.5;15.405078;3103064
416;13:06:46.688;1.5;15.403986;3103064
417;13:06:46.857;4.7;15.404483;3102976
418;13:06:47.029;1.5;15.403073;3102660
419;13:06:47.199;0.0;15.404165;3103344
420;13:06:47.368;1.5;15.405416;3103352
421;13:06:47.537;1.5;15.405456;3103140
422;13:06:47.706;0.0;15.405892;3103228
423;13:06:47.877;0.0;15.405535;3103156
424;13:06:48.046;0.0;15.405535;3103376
425;13:06:48.215;1.5;15.405416;3103132
426;13:06:48.384;0.0;15.405376;3103124
427;13:06:48.553;1.5;15.404284;3103124
428;13:06:48.722;1.5;15.404363;3103140
429;13:06:48.890;0.0;15.404125;3102872
430;13:06:49.060;1.5;15.402100;3102684
431;13:06:49.229;1.6;15.401663;3102376
432;13:06:49.398;1.6;15.404125;3103092
433;13:06:49.567;0.0;15.405535;3103376
434;13:06:49.736;0.0;15.404562;3103180
435;13:06:49.905;0.0;15.402874;3103148
436;13:06:50.074;1.6;15.404165;3103100
437;13:06:50.243;1.6;15.405892;3103228
438;13:06:50.412;0.0;15.402993;3102864
439;13:06:50.581;1.5;15.404463;3102940
440;13:06:50.756;1.5;15.407441;3103760
441;13:06:50.931;2.9;15.406806;3103632
442;13:06:51.104;1.5;15.406687;3103388
443;13:06:51.282;1.5;15.407739;3103820
444;13:06:51.455;3.0;15.408057;3103884
445;13:06:51.628;1.5;15.403986;3103064
446;13:06:51.802;2.9;15.403986;3103064
447;13:06:51.980;1.6;15.402973;3102860
448;13:06:52.151;0.0;15.404344;3103136
449;13:06:52.324;0.0;15.405793;3103428
450;13:06:52.500;1.5;15.405753;3103420
451;13:06:52.672;0.0;15.405714;3103412
452;13:06:52.844;1.5;15.406071;3103264
453;13:06:53.020;1.5;15.401762;3102616
454;13:06:53.191;3.0;15.405873;3103444
455;13:06:53.366;0.0;15.406548;3103360
456;13:06:53.543;1.5;15.406508;3103572
457;13:06:53.717;1.5;15.405992;3103468
458;13:06:53.892;2.9;15.404264;3103120
459;13:06:54.063;1.5;15.402735;3102592
460;13:06:54.235;3.1;15.403093;3102884
461;13:06:54.405;4.7;15.401484;3102340
462;13:06:54.576;1.5;15.402656;3103048
463;13:06:54.751;0.0;15.404344;3103380
464;13:06:54.920;1.5;15.403331;3102932
465;13:06:55.093;1.6;15.403291;3102924
466;13:06:55.265;3.1;15.402656;3103032
467;13:06:55.434;0.0;15.403986;3102844
468;13:06:55.603;1.5;15.403053;3102876
469;13:06:55.778;1.5;15.402120;3102996
470;13:06:55.950;3.1;15.403212;3102688
471;13:06:56.123;1.5;15.403668;3102780
472;13:06:56.293;2.9;15.403212;3102688
473;13:06:56.467;1.5;15.403410;3102728
474;13:06:56.640;1.6;15.400233;3102552
475;13:06:56.809;1.5;15.402001;3102932
476;13:06:56.979;2.9;15.400551;3102664
477;13:06:57.153;0.0;15.403212;3102924
478;13:06:57.325;1.6;15.403053;3103388
479;13:06:57.494;0.0;15.406806;3103632
480;13:06:57.668;0.0;15.406885;3103428
481;13:06:57.844;2.9;15.405674;3103184
482;13:06:58.020;3.0;15.405753;3103420
483;13:06:58.197;0.0;15.405833;3103280
484;13:06:58.369;0.0;15.406051;3103480
485;13:06:58.545;1.5;15.406786;3103408
486;13:06:58.718;1.5;15.405317;3103332
487;13:06:58.892;1.6;15.404761;3103504
488;13:06:59.066;0.0;15.401941;3102652
489;13:06:59.238;0.0;15.403172;3102916
490;13:06:59.416;0.0;15.400194;3102300
491;13:06:59.586;0.0;15.400035;3102536
492;13:06:59.756;1.6;15.401961;3102656
493;13:06:59.928;1.5;15.402259;3102716
494;13:07:00.102;0.0;15.403430;3102952
495;13:07:00.277;0.0;15.406984;3103448
496;13:07:00.453;1.5;15.407342;3103520
497;13:07:00.628;1.5;15.405853;3103220
498;13:07:00.804;1.5;15.406091;3103488
499;13:07:00.980;0.0;15.402378;3102740
500;13:07:01.156;0.0;15.404264;3102900
501;13:07:01.325;3.1;15.404741;3102996
502;13:07:01.499;1.5;15.404006;3103320
503;13:07:01.676;0.0;15.404244;3102896
504;13:07:01.849;1.5;15.404999;3103080
505;13:07:02.024;3.1;15.406230;3103516
506;13:07:02.197;1.5;15.404264;3103120
507;13:07:02.370;1.6;15.405654;3103400
508;13:07:02.540;1.6;15.406448;3103560
509;13:07:02.713;0.0;15.406290;3103308
510;13:07:02.897;1.6;15.404880;3103244
511;13:07:03.068;1.6;15.404999;3103268
512;13:07:03.244;1.5;15.406210;3103512
513;13:07:03.420;1.6;15.407123;3103696
514;13:07:03.590;0.0;15.405793;3103436
515;13:07:03.760;0.0;15.404145;3103096
516;13:07:03.933;0.0;15.405892;3103448
517;13:07:04.104;0.0;15.407441;3103540
518;13:07:04.275;1.6;15.408057;3103884
519;13:07:04.446;1.5;15.407779;3103828
520;13:07:04.620;0.0;15.405912;3103712
521;13:07:04.789;1.6;15.404502;3103168
522;13:07:04.962;0.0;15.405753;3103696
523;13:07:05.135;1.5;15.406845;3103412
524;13:07:05.305;1.6;15.404502;3103452
525;13:07:05.479;1.6;15.403232;3102912
526;13:07:05.650;0.0;15.404284;3103124
527;13:07:05.829;1.5;15.404880;3103244
528;13:07:06.001;0.0;15.401742;3102392
529;13:07:06.177;1.6;15.403927;3102832
530;13:07:06.350;1.6;15.403311;3102708
531;13:07:06.519;1.5;15.406409;3103332
532;13:07:06.694;1.6;15.406567;3103584
533;13:07:06.866;1.5;15.406766;3103624
