ID; Time; Network interface; TBPS; RBPS
1;13:47:03.460;enp0s25;0;64
2;13:47:04.469;enp0s25;64;64
3;13:47:05.476;enp0s25;8011;107607
4;13:47:06.486;enp0s25;58371;1715930
5;13:47:07.494;enp0s25;0;150
6;13:47:08.501;enp0s25;90157;3765755
7;13:47:09.509;enp0s25;136874;7094178
8;13:47:10.516;enp0s25;150780;7073880
9;13:47:11.523;enp0s25;151060;7118722
10;13:47:12.531;enp0s25;146740;7069588
11;13:47:13.539;enp0s25;152110;7149844
12;13:47:14.548;enp0s25;103460;4961984
13;13:47:15.555;enp0s25;64;628
14;13:47:16.564;enp0s25;0;0
15;13:47:17.575;enp0s25;0;64
16;13:47:18.582;enp0s25;0;0
17;13:47:19.588;enp0s25;0;64
18;13:47:20.595;enp0s25;0;0
19;13:47:21.601;enp0s25;0;64
20;13:47:22.608;enp0s25;0;0
21;13:47:23.614;enp0s25;0;564
22;13:47:24.623;enp0s25;0;0
23;13:47:25.629;enp0s25;64;128
24;13:47:26.643;enp0s25;0;0
25;13:47:27.661;enp0s25;0;64
26;13:47:28.670;enp0s25;0;0
27;13:47:29.677;enp0s25;0;64
28;13:47:30.684;enp0s25;0;0
29;13:47:31.691;enp0s25;0;64
30;13:47:32.698;enp0s25;0;0
31;13:47:33.705;enp0s25;844;4228
32;13:47:34.712;enp0s25;0;0
33;13:47:35.719;enp0s25;0;64
34;13:47:36.732;enp0s25;64;64
35;13:47:37.739;enp0s25;19314;399767
36;13:47:38.748;enp0s25;122851;5562864
37;13:47:39.762;enp0s25;136864;5533734
38;13:47:40.770;enp0s25;150010;7048074
39;13:47:41.779;enp0s25;151550;7146808
40;13:47:42.787;enp0s25;135056;7125492
41;13:47:43.797;enp0s25;118361;5345655
42;13:47:44.806;enp0s25;142800;6733848
43;13:47:45.814;enp0s25;148820;7010188
44;13:47:46.822;enp0s25;134252;7125492
45;13:47:47.830;enp0s25;136403;6093969
46;13:47:48.838;enp0s25;129176;6907250
47;13:47:49.847;enp0s25;135565;6309709
48;13:47:50.856;enp0s25;59720;2472209
49;13:47:51.869;enp0s25;31891;777587
50;13:47:52.882;enp0s25;49000;1575421
51;13:47:53.896;enp0s25;58043;2175963
52;13:47:54.904;enp0s25;101412;3693643
53;13:47:55.911;enp0s25;0;64
54;13:47:56.920;enp0s25;0;568
55;13:47:57.928;enp0s25;0;2528
56;13:47:58.935;enp0s25;64;1348
57;13:47:59.941;enp0s25;0;1530
58;13:48:00.949;enp0s25;0;0
59;13:48:01.955;enp0s25;0;1348
60;13:48:02.964;enp0s25;0;0
61;13:48:03.971;enp0s25;0;1278
62;13:48:04.977;enp0s25;0;2316
63;13:48:05.984;enp0s25;0;2792
64;13:48:06.996;enp0s25;0;760
65;13:48:08.003;enp0s25;0;1214
66;13:48:09.009;enp0s25;0;424
67;13:48:10.218;enp0s25;64;1214
68;13:48:11.228;enp0s25;0;64
69;13:48:12.235;enp0s25;0;0
70;13:48:13.241;enp0s25;6431;140395
71;13:48:14.251;enp0s25;117128;4048803
72;13:48:15.259;enp0s25;0;502
73;13:48:16.265;enp0s25;0;0
74;13:48:17.272;enp0s25;0;64
75;13:48:18.279;enp0s25;0;0
76;13:48:19.285;enp0s25;0;64
77;13:48:20.292;enp0s25;0;0
78;13:48:21.299;enp0s25;7103;210557
79;13:48:22.306;enp0s25;29462;1170760
80;13:48:23.315;enp0s25;24466;856185
81;13:48:24.324;enp0s25;31038;1265505
82;13:48:25.334;enp0s25;20892;654259
83;13:48:26.346;enp0s25;28768;1080965
84;13:48:27.356;enp0s25;27092;1040145
85;13:48:28.364;enp0s25;25670;970347
86;13:48:29.372;enp0s25;28480;1147477
87;13:48:30.389;enp0s25;23494;816122
88;13:48:31.396;enp0s25;26952;1116344
89;13:48:32.405;enp0s25;50052;2386505
90;13:48:33.417;enp0s25;15786;440735
91;13:48:34.429;enp0s25;50664;2305416
92;13:48:35.440;enp0s25;32268;1321657
93;13:48:36.449;enp0s25;28578;1109490
94;13:48:37.459;enp0s25;25776;981209
95;13:48:38.475;enp0s25;772;17254
96;13:48:39.488;enp0s25;7918;141392
97;13:48:40.498;enp0s25;13140;321375
98;13:48:41.508;enp0s25;19800;709248
99;13:48:42.514;enp0s25;8392;297059
100;13:48:43.528;enp0s25;13306;468205
101;13:48:44.540;enp0s25;15568;501862
102;13:48:45.552;enp0s25;7116;149258
103;13:48:46.563;enp0s25;13132;467478
104;13:48:47.573;enp0s25;6064;96501
105;13:48:48.581;enp0s25;16198;515298
106;13:48:49.592;enp0s25;33494;1359776
107;13:48:50.602;enp0s25;14964;448427
108;13:48:51.613;enp0s25;15340;451301
109;13:48:52.624;enp0s25;20492;730587
110;13:48:53.634;enp0s25;11414;422225
111;13:48:54.648;enp0s25;1484;14638
112;13:48:55.665;enp0s25;18834;659909
113;13:48:56.678;enp0s25;3384;81226
114;13:48:57.694;enp0s25;2880;78148
115;13:48:58.704;enp0s25;1854;45458
116;13:48:59.721;enp0s25;3668;140624
117;13:49:00.738;enp0s25;14518;459305
118;13:49:01.747;enp0s25;4548;110655
119;13:49:02.757;enp0s25;1934;12432
120;13:49:03.769;enp0s25;1922;9410
121;13:49:04.784;enp0s25;1676;14810
122;13:49:05.802;enp0s25;1392;19219
123;13:49:06.816;enp0s25;1228;34231
124;13:49:07.827;enp0s25;640;32006
125;13:49:08.842;enp0s25;1024;47058
126;13:49:09.858;enp0s25;1420;24194
127;13:49:10.876;enp0s25;3368;57787
128;13:49:11.890;enp0s25;2902;92949
129;13:49:12.899;enp0s25;8056;248423
130;13:49:13.914;enp0s25;41552;1891465
131;13:49:14.921;enp0s25;18136;514623
132;13:49:15.928;enp0s25;16738;448554
133;13:49:16.934;enp0s25;25732;946567
134;13:49:17.941;enp0s25;16496;412303
135;13:49:18.949;enp0s25;15662;408992
136;13:49:19.958;enp0s25;18304;536767
137;13:49:20.970;enp0s25;13580;336036
138;13:49:21.981;enp0s25;9458;175049
139;13:49:22.989;enp0s25;15722;353306
140;13:49:23.997;enp0s25;19614;695335
141;13:49:25.006;enp0s25;14708;455020
142;13:49:26.017;enp0s25;10490;180746
143;13:49:27.031;enp0s25;12574;186062
144;13:49:28.043;enp0s25;32328;1293199
145;13:49:29.052;enp0s25;19590;712975
146;13:49:30.061;enp0s25;54226;2558450
147;13:49:31.071;enp0s25;38324;1940015
148;13:49:32.079;enp0s25;45734;2178431
149;13:49:33.088;enp0s25;14614;417290
150;13:49:34.096;enp0s25;16132;403592
151;13:49:35.109;enp0s25;15270;357148
152;13:49:36.116;enp0s25;16720;448443
153;13:49:37.127;enp0s25;26354;942798
154;13:49:38.135;enp0s25;10520;198644
155;13:49:39.150;enp0s25;6112;98691
156;13:49:40.160;enp0s25;13562;247180
157;13:49:41.168;enp0s25;20940;690235
158;13:49:42.181;enp0s25;12622;317920
159;13:49:43.189;enp0s25;3936;104713
160;13:49:44.198;enp0s25;38936;1816124
161;13:49:45.212;enp0s25;25118;1724297
162;13:49:46.228;enp0s25;48846;2474224
163;13:49:47.237;enp0s25;27576;1156349
164;13:49:48.247;enp0s25;10300;272138
165;13:49:49.257;enp0s25;12758;283778
166;13:49:50.266;enp0s25;44876;1991229
167;13:49:51.278;enp0s25;11558;259449
168;13:49:52.286;enp0s25;18744;518324
169;13:49:53.293;enp0s25;12958;223513
170;13:49:54.301;enp0s25;19782;715009
171;13:49:55.315;enp0s25;6679;109879
172;13:49:56.330;enp0s25;25428;1008887
173;13:49:57.344;enp0s25;83904;4228772
174;13:49:58.353;enp0s25;46304;2304897
175;13:49:59.367;enp0s25;10264;188050
176;13:50:00.378;enp0s25;14530;337728
177;13:50:01.388;enp0s25;47166;2412907
178;13:50:02.395;enp0s25;23684;844671
179;13:50:03.404;enp0s25;256;11400
180;13:50:04.411;enp0s25;10105;192
181;13:50:05.418;enp0s25;730;7747
182;13:50:06.425;enp0s25;0;0
183;13:50:07.431;enp0s25;0;64
184;13:50:08.438;enp0s25;0;0
185;13:50:09.445;enp0s25;0;64
186;13:50:10.452;enp0s25;0;0
187;13:50:11.459;enp0s25;64;128
188;13:50:12.465;enp0s25;0;0
189;13:50:13.472;enp0s25;0;64
190;13:50:14.478;enp0s25;0;0
191;13:50:15.485;enp0s25;0;64
192;13:50:16.492;enp0s25;0;0
193;13:50:17.499;enp0s25;0;64
194;13:50:18.510;enp0s25;0;0
195;13:50:19.517;enp0s25;0;64
196;13:50:20.523;enp0s25;0;0
197;13:50:21.530;enp0s25;0;64
198;13:50:22.536;enp0s25;64;64
199;13:50:23.543;enp0s25;11967;8802
200;13:50:24.550;enp0s25;179540;3543010
201;13:50:25.556;enp0s25;166843;6831169
202;13:50:26.563;enp0s25;78610;5077264
203;13:50:27.570;enp0s25;107886;2664429
