ID; Time; Network interface; TBPS; RBPS
1;14:23:38.497;enp0s25;0;0
2;14:23:39.506;enp0s25;0;64
3;14:23:40.513;enp0s25;0;0
4;14:23:41.526;enp0s25;0;64
5;14:23:42.537;enp0s25;0;0
6;14:23:43.551;enp0s25;0;64
7;14:23:44.567;enp0s25;0;0
8;14:23:45.579;enp0s25;0;64
9;14:23:46.597;enp0s25;64;64
10;14:23:47.613;enp0s25;4301;9380
11;14:23:48.624;enp0s25;28490;978953
12;14:23:49.632;enp0s25;22914;828505
13;14:23:50.645;enp0s25;264;370
14;14:23:51.660;enp0s25;2783;11900
15;14:23:52.669;enp0s25;0;0
16;14:23:53.677;enp0s25;98263;4531515
17;14:23:54.685;enp0s25;107810;7160406
18;14:23:55.693;enp0s25;152040;7160470
19;14:23:56.700;enp0s25;148134;7162058
20;14:23:57.711;enp0s25;146860;6908482
21;14:23:58.719;enp0s25;151760;7164960
22;14:23:59.728;enp0s25;85190;4115004
23;14:24:00.738;enp0s25;0;0
24;14:24:01.752;enp0s25;0;64
25;14:24:02.761;enp0s25;0;0
26;14:24:03.768;enp0s25;0;64
27;14:24:04.775;enp0s25;0;0
28;14:24:05.786;enp0s25;0;64
29;14:24:06.793;enp0s25;0;0
30;14:24:07.800;enp0s25;64;128
31;14:24:08.806;enp0s25;0;0
32;14:24:09.812;enp0s25;0;64
33;14:24:10.825;enp0s25;0;0
34;14:24:11.837;enp0s25;0;64
35;14:24:12.850;enp0s25;0;2084
36;14:24:13.859;enp0s25;0;2668
37;14:24:14.865;enp0s25;0;760
38;14:24:15.872;enp0s25;0;1214
39;14:24:16.879;enp0s25;0;504
40;14:24:17.891;enp0s25;0;64
41;14:24:18.900;enp0s25;64;1214
42;14:24:19.908;enp0s25;0;64
43;14:24:20.914;enp0s25;0;0
44;14:24:21.921;enp0s25;0;64
45;14:24:22.927;enp0s25;494;637
46;14:24:23.941;enp0s25;350;5289
47;14:24:24.951;enp0s25;0;3460
48;14:24:25.958;enp0s25;0;1184
49;14:24:26.965;enp0s25;0;1150
50;14:24:27.974;enp0s25;0;568
51;14:24:28.982;enp0s25;0;0
52;14:24:29.988;enp0s25;4700;23990
53;14:24:31.000;enp0s25;59314;1788905
54;14:24:32.009;enp0s25;17183;380103
55;14:24:33.021;enp0s25;126071;5533952
56;14:24:34.031;enp0s25;133653;5723484
57;14:24:35.039;enp0s25;151930;6844662
58;14:24:36.048;enp0s25;150920;7084570
59;14:24:37.056;enp0s25;147814;7162428
60;14:24:38.064;enp0s25;134429;6257174
61;14:24:39.072;enp0s25;151760;7148262
62;14:24:40.080;enp0s25;152040;7140736
63;14:24:41.088;enp0s25;149102;7145290
64;14:24:42.096;enp0s25;134519;6122747
65;14:24:43.104;enp0s25;151410;7129832
66;14:24:44.113;enp0s25;89435;4078337
67;14:24:45.122;enp0s25;74594;3176513
68;14:24:46.136;enp0s25;29663;722567
69;14:24:47.144;enp0s25;47091;1498462
70;14:24:48.155;enp0s25;29869;756494
71;14:24:49.163;enp0s25;130918;5137758
72;14:24:50.170;enp0s25;2438;102493
73;14:24:51.177;enp0s25;0;0
74;14:24:52.184;enp0s25;64;128
75;14:24:53.194;enp0s25;0;0
76;14:24:54.204;enp0s25;0;64
77;14:24:55.212;enp0s25;0;0
78;14:24:56.220;enp0s25;0;568
79;14:24:57.227;enp0s25;0;64
80;14:24:58.235;enp0s25;0;0
81;14:24:59.242;enp0s25;0;64
82;14:25:00.250;enp0s25;0;0
83;14:25:01.257;enp0s25;0;64
84;14:25:02.266;enp0s25;0;0
85;14:25:03.273;enp0s25;64;128
86;14:25:04.288;enp0s25;0;0
87;14:25:05.302;enp0s25;0;64
88;14:25:06.317;enp0s25;0;0
89;14:25:07.324;enp0s25;0;458
90;14:25:08.331;enp0s25;0;0
91;14:25:09.338;enp0s25;0;64
92;14:25:10.345;enp0s25;0;0
93;14:25:11.353;enp0s25;0;64
94;14:25:12.366;enp0s25;0;0
95;14:25:13.376;enp0s25;0;2380
96;14:25:14.384;enp0s25;64;2668
97;14:25:15.391;enp0s25;0;824
98;14:25:16.400;enp0s25;0;1150
99;14:25:17.407;enp0s25;0;568
100;14:25:18.414;enp0s25;368;527
101;14:25:19.421;enp0s25;124323;4201895
102;14:25:20.431;enp0s25;70;70
103;14:25:21.438;enp0s25;0;64
104;14:25:22.445;enp0s25;0;0
105;14:25:23.452;enp0s25;0;458
106;14:25:24.459;enp0s25;0;0
107;14:25:25.466;enp0s25;64;128
108;14:25:26.472;enp0s25;0;0
109;14:25:27.479;enp0s25;13649;514238
110;14:25:28.487;enp0s25;8382;268138
111;14:25:29.500;enp0s25;24848;956808
112;14:25:30.510;enp0s25;27398;1018179
