ID; Time; CPU %; MEM %; MEM KiB
1;15:39:38.077;1.5;25.244006;5085292
2;15:39:38.247;4.6;25.245754;5085904
3;15:39:38.423;4.5;25.248534;5086204
4;15:39:38.593;3.1;25.247521;5086000
5;15:39:38.763;0.0;25.245635;5085620
6;15:39:38.933;1.4;25.244582;5085408
7;15:39:39.104;1.4;25.246866;5085868
8;15:39:39.274;1.6;25.248117;5086120
9;15:39:39.443;1.5;25.247521;5085780
10;15:39:39.613;0.0;25.248176;5085912
11;15:39:39.783;4.5;25.246806;5085856
12;15:39:39.953;2.8;25.245714;5085636
13;15:39:40.122;0.0;25.246210;5085736
14;15:39:40.294;0.0;25.247144;5085704
15;15:39:40.467;1.5;25.246131;5085980
16;15:39:40.642;2.9;25.247382;5085972
17;15:39:40.821;2.9;25.248395;5086176
18;15:39:40.997;1.5;25.248554;5085988
19;15:39:41.173;1.6;25.247144;5085924
20;15:39:41.345;3.1;25.246687;5085832
21;15:39:41.518;1.6;25.245118;5085516
22;15:39:41.689;1.6;25.245416;5085844
23;15:39:41.858;1.6;25.251929;5086668
24;15:39:42.030;1.6;25.249427;5086384
25;15:39:42.200;1.4;25.246330;5085988
26;15:39:42.370;0.0;25.244920;5085476
27;15:39:42.538;1.5;25.254769;5087460
28;15:39:42.707;0.0;25.285109;5093572
29;15:39:42.875;1.6;25.705074;5177852
30;15:39:43.045;4.2;25.703684;5177892
31;15:39:43.215;1.5;25.707397;5178420
32;15:39:43.384;1.5;25.714645;5179880
33;15:39:43.555;3.0;25.711031;5179372
34;15:39:43.734;4.6;25.712580;5179684
35;15:39:43.905;7.1;25.709601;5179304
36;15:39:44.077;2.9;25.710257;5179216
37;15:39:44.248;3.0;25.714843;5180140
38;15:39:44.423;5.6;25.713513;5179872
39;15:39:44.597;4.5;25.709442;5178832
40;15:39:44.768;2.9;25.707973;5178576
41;15:39:44.943;1.5;25.705848;5178596
42;15:39:45.115;1.5;25.705392;5178240
43;15:39:45.287;6.8;25.704895;5178136
44;15:39:45.459;2.8;25.708350;5179100
45;15:39:45.632;5.5;25.708807;5179100
46;15:39:45.804;1.4;25.710733;5179092
47;15:39:45.977;0.0;25.708191;5179072
48;15:39:46.149;1.5;25.708966;5178956
49;15:39:46.321;4.2;25.709641;5179092
50;15:39:46.493;0.0;25.709482;5179060
51;15:39:46.665;1.4;25.711448;5179456
52;15:39:46.838;2.8;25.708311;5178836
53;15:39:47.009;1.4;25.706841;5178528
54;15:39:47.181;2.7;25.705729;5178304
55;15:39:47.353;5.7;25.712739;5179716
