ID; Time; Network interface; TBPS; RBPS
1;21:06:09.820;enp0s25;19255;381986
2;21:06:10.846;enp0s25;53474;1334706
3;21:06:11.857;enp0s25;13230;566214
4;21:06:12.869;enp0s25;13440;570832
5;21:06:13.884;enp0s25;15143;622450
6;21:06:14.891;enp0s25;16241;630378
7;21:06:15.901;enp0s25;13654;569320
8;21:06:16.913;enp0s25;13778;580138
9;21:06:17.922;enp0s25;14560;619344
10;21:06:18.935;enp0s25;14490;619408
11;21:06:19.950;enp0s25;14490;619344
12;21:06:20.959;enp0s25;16095;545695
13;21:06:21.976;enp0s25;12180;523710
14;21:06:22.994;enp0s25;14783;622998
15;21:06:24.010;enp0s25;14700;628559
16;21:06:25.021;enp0s25;14630;622551
17;21:06:26.033;enp0s25;13860;584430
18;21:06:27.044;enp0s25;13230;561724
19;21:06:28.056;enp0s25;14204;613336
20;21:06:29.064;enp0s25;14630;622514
21;21:06:30.079;enp0s25;14490;619344
22;21:06:31.092;enp0s25;13160;560206
23;21:06:32.105;enp0s25;10570;455470
24;21:06:33.119;enp0s25;14560;622444
25;21:06:34.131;enp0s25;14630;625416
26;21:06:35.145;enp0s25;14280;602710
27;21:06:36.159;enp0s25;13160;554070
28;21:06:37.175;enp0s25;13790;589048
29;21:06:38.182;enp0s25;14560;619344
30;21:06:39.196;enp0s25;14554;619472
31;21:06:40.212;enp0s25;14755;619414
32;21:06:41.221;enp0s25;13370;563242
33;21:06:42.234;enp0s25;13580;576840
34;21:06:43.243;enp0s25;101482;3904360
35;21:06:44.259;enp0s25;52117;2078162
36;21:06:45.267;enp0s25;2446;511
37;21:06:46.274;enp0s25;153;554
38;21:06:47.281;enp0s25;0;64
39;21:06:48.287;enp0s25;0;0
40;21:06:49.294;enp0s25;0;64
41;21:06:50.300;enp0s25;2000;7579
42;21:06:51.307;enp0s25;5614;9443
43;21:06:52.314;enp0s25;3627;52103
44;21:06:53.320;enp0s25;0;64
45;21:06:54.330;enp0s25;0;0
46;21:06:55.337;enp0s25;0;171
47;21:06:56.344;enp0s25;340;507
48;21:06:57.359;enp0s25;154090;4728961
49;21:06:58.367;enp0s25;167418;7136284
50;21:06:59.375;enp0s25;172004;7136482
51;21:07:00.385;enp0s25;169648;7137398
52;21:07:01.394;enp0s25;173454;7191068
53;21:07:02.410;enp0s25;164224;7137398
54;21:07:03.417;enp0s25;167784;7139754
55;21:07:04.426;enp0s25;158326;7139626
56;21:07:05.435;enp0s25;166262;7137462
57;21:07:06.442;enp0s25;169050;7141854
58;21:07:07.453;enp0s25;126210;5247004
59;21:07:08.461;enp0s25;170800;7137398
60;21:07:09.470;enp0s25;88270;3676205
61;21:07:10.477;enp0s25;0;0
62;21:07:11.483;enp0s25;0;64
63;21:07:12.646;enp0s25;0;0
64;21:07:13.654;enp0s25;0;64
65;21:07:14.661;enp0s25;0;0
66;21:07:15.667;enp0s25;0;64
67;21:07:16.674;enp0s25;0;0
68;21:07:17.683;enp0s25;6606;11857
69;21:07:18.691;enp0s25;515;0
70;21:07:19.698;enp0s25;2202;2340
71;21:07:20.710;enp0s25;4199;9403
72;21:07:21.720;enp0s25;2418;11047
73;21:07:22.726;enp0s25;9411;26386
74;21:07:23.738;enp0s25;70;134
75;21:07:24.744;enp0s25;91314;3425601
76;21:07:25.758;enp0s25;170244;7164998
77;21:07:26.766;enp0s25;161770;7163543
78;21:07:27.774;enp0s25;157258;7165105
79;21:07:28.784;enp0s25;148908;7167930
80;21:07:29.794;enp0s25;161210;7147022
81;21:07:30.803;enp0s25;162400;7165132
82;21:07:31.812;enp0s25;162120;7167930
83;21:07:32.820;enp0s25;73920;3262748
84;21:07:33.828;enp0s25;134;134
85;21:07:34.834;enp0s25;0;64
86;21:07:35.842;enp0s25;0;64
