ID; Time; CPU %; MEM %; MEM KiB
1;21:31:11.898;20.0;23.767816;4788172
2;21:31:12.073;0.0;23.769206;4787980
3;21:31:12.244;2.9;23.771668;4788948
4;21:31:12.417;2.9;23.774488;4789264
5;21:31:12.588;0.0;23.774170;4789200
6;21:31:12.760;8.8;23.773614;4789088
7;21:31:12.934;3.0;23.773117;4789208
8;21:31:13.107;1.6;23.774388;4789472
9;21:31:13.278;1.5;23.778916;4790156
10;21:31:13.452;1.4;23.777109;4789792
11;21:31:13.629;1.5;23.776235;4789868
12;21:31:13.806;3.0;23.779789;4790332
13;21:31:13.984;2.9;23.782569;4791176
14;21:31:14.160;4.3;23.786521;4791468
15;21:31:14.339;1.4;23.779372;4790248
16;21:31:14.510;1.5;23.786481;4791680
17;21:31:14.685;2.8;23.789360;4792260
18;21:31:14.863;6.5;23.775321;4789432
19;21:31:15.035;1.6;23.777724;4789956
20;21:31:15.209;1.5;23.785984;4791580
21;21:31:15.385;14.3;23.791405;4792980
22;21:31:15.561;9.7;23.791346;4792652
23;21:31:15.739;17.8;23.800102;4794268
24;21:31:15.917;4.7;23.784694;4791320
25;21:31:16.090;3.2;23.786600;4791720
26;21:31:16.262;3.1;23.787414;4791868
27;21:31:16.439;2.9;23.789479;4792284
28;21:31:16.616;0.0;23.791544;4792700
29;21:31:16.795;1.5;23.788486;4792100
30;21:31:16.970;1.6;23.797005;4793356
31;21:31:17.144;6.1;23.780047;4790384
32;21:31:17.315;0.0;23.779869;4790348
33;21:31:17.487;1.5;23.782212;4790820
34;21:31:17.657;2.9;23.781318;4790640
35;21:31:17.828;1.6;23.794423;4793280
36;21:31:17.998;1.5;23.840391;4802100
37;21:31:18.169;0.0;23.871268;4808520
38;21:31:18.340;1.6;23.900953;4814740
39;21:31:18.510;0.0;23.934193;4821436
40;21:31:18.681;3.1;23.966261;4827896
41;21:31:18.852;4.7;24.005935;4835888
42;21:31:19.022;1.6;24.034488;4842136
43;21:31:19.192;0.0;24.086870;4852192
44;21:31:19.361;1.5;24.126821;4860240
45;21:31:19.531;0.0;24.159346;4866572
46;21:31:19.701;1.5;24.198284;4874636
47;21:31:19.871;1.5;24.199396;4874860
48;21:31:20.040;1.5;24.196895;4874892
49;21:31:20.210;0.0;24.198423;4874704
50;21:31:20.379;1.6;24.197510;4874480
51;21:31:20.550;1.3;24.198364;4874652
52;21:31:20.720;0.0;24.192903;4873872
53;21:31:20.890;1.6;24.198304;4874640
54;21:31:21.061;0.0;24.211072;4877212
55;21:31:21.231;0.0;24.271714;4889428
56;21:31:21.400;2.9;24.324691;4899880
57;21:31:21.570;1.5;24.567218;4949028
58;21:31:21.753;1.6;24.780814;4992236
59;21:31:21.929;0.0;24.783674;4992560
60;21:31:22.099;1.5;24.782542;4992332
61;21:31:22.269;0.0;24.823506;5000364
62;21:31:22.439;0.0;24.862643;5008760
63;21:31:22.609;1.5;24.862603;5008720
64;21:31:22.779;1.5;24.864489;5008620
65;21:31:22.950;1.5;24.865125;5009204
66;21:31:23.120;1.5;24.867686;5009484
67;21:31:23.290;0.0;24.868858;5009720
68;21:31:23.460;0.0;24.868818;5009712
69;21:31:23.631;1.5;24.867726;5009492
70;21:31:23.801;1.5;24.867309;5009408
71;21:31:23.970;0.0;24.867627;5009472
72;21:31:24.140;1.5;24.867547;5009236
73;21:31:24.309;0.0;24.864807;5008904
74;21:31:24.480;5.9;24.861987;5008336
75;21:31:24.651;1.5;24.864192;5009040
76;21:31:24.821;0.0;24.865443;5009300
77;21:31:24.992;4.5;24.865562;5009056
78;21:31:25.163;1.6;24.865601;5009064
79;21:31:25.334;1.4;24.865601;5009112
80;21:31:25.504;1.5;24.865443;5008812
81;21:31:25.675;1.3;24.864192;5009048
82;21:31:25.844;1.5;24.865582;5009060
83;21:31:26.015;1.6;24.865740;5009336
84;21:31:26.185;0.0;24.867269;5009400
85;21:31:26.355;0.0;24.865979;5009400
86;21:31:26.524;1.4;24.867230;5009392
87;21:31:26.696;1.5;24.868421;5010104
88;21:31:26.867;1.5;24.866674;5009352
89;21:31:27.038;0.0;24.865423;5009296
90;21:31:27.208;1.4;24.867647;5009476
91;21:31:27.382;1.5;24.867190;5009628
92;21:31:27.552;0.0;24.868858;5009720
93;21:31:27.722;1.6;24.867607;5009468
94;21:31:27.892;0.0;24.870228;5009996
95;21:31:28.062;0.0;25.001281;5038412
96;21:31:28.234;6.2;25.287532;5094304
97;21:31:28.406;1.5;25.289061;5094368
98;21:31:28.576;3.0;25.289319;5094420
99;21:31:28.747;0.0;25.289637;5094484
100;21:31:28.918;0.0;25.289875;5094532
101;21:31:29.087;1.6;25.288445;5094244
102;21:31:29.257;0.0;25.286579;5093868
103;21:31:29.428;1.6;25.286023;5093756
104;21:31:29.598;0.0;25.288128;5094180
105;21:31:29.770;0.0;25.290629;5094464
106;21:31:29.941;1.4;25.288445;5094244
107;21:31:30.111;0.0;25.289617;5094480
108;21:31:30.281;1.5;25.289339;5094204
109;21:31:30.451;0.0;25.289021;5094360
110;21:31:30.621;0.0;25.287929;5094408
111;21:31:30.790;0.0;25.289021;5094140
112;21:31:30.960;3.1;25.290232;5094604
113;21:31:31.132;3.0;25.289895;5094316
114;21:31:31.302;0.0;25.287552;5094064
115;21:31:31.472;4.3;25.286420;5093836
116;21:31:31.647;1.4;25.285487;5093680
117;21:31:31.824;3.4;25.287532;5094060
118;21:31:31.996;3.5;25.291722;5094904
119;21:31:32.174;3.3;25.287194;5093992
120;21:31:32.345;1.9;25.289100;5094376
121;21:31:32.516;1.6;25.292536;5095068
122;21:31:32.688;1.8;25.289875;5094532
123;21:31:32.860;0.0;25.289100;5094376
124;21:31:33.032;1.7;25.287711;5094096
125;21:31:33.203;3.6;25.291305;5094820
126;21:31:33.377;1.9;25.291602;5094880
127;21:31:33.549;0.0;25.291920;5094404
128;21:31:33.722;3.2;25.291285;5094816
129;21:31:33.893;1.8;25.293886;5095340
130;21:31:34.068;3.4;25.292774;5094896
131;21:31:34.241;1.7;25.292556;5095072
132;21:31:34.416;3.6;25.290629;5094684
133;21:31:34.587;0.0;25.288584;5094272
134;21:31:34.761;1.8;25.289458;5094508
135;21:31:34.934;3.6;25.288545;5094044
136;21:31:35.107;0.0;25.286440;5093840
137;21:31:35.278;1.8;25.289617;5094700
138;21:31:35.450;0.0;25.289895;5094304
139;21:31:35.623;0.0;25.287850;5093904
140;21:31:35.797;0.0;25.288624;5094280
141;21:31:35.971;1.8;25.290232;5094384
142;21:31:36.146;3.5;25.289875;5094532
143;21:31:36.318;3.4;25.290868;5094512
144;21:31:36.491;3.6;25.285626;5094096
145;21:31:36.664;1.6;25.288306;5094524
146;21:31:36.836;3.3;25.289498;5094456
147;21:31:37.006;1.6;25.287949;5094144
148;21:31:37.178;1.8;25.291146;5094788
149;21:31:37.352;3.5;25.289716;5094500
150;21:31:37.524;3.4;25.289041;5094364
151;21:31:37.697;1.7;25.284613;5093472
152;21:31:37.869;0.0;25.286023;5093756
153;21:31:38.043;1.8;25.285387;5093876
154;21:31:38.216;1.8;25.287274;5094120
155;21:31:38.388;1.8;25.285864;5093724
156;21:31:38.562;1.7;25.285506;5093652
157;21:31:38.734;3.2;25.286142;5094036
158;21:31:38.906;1.6;25.283322;5093552
159;21:31:39.078;0.0;25.285824;5093716
160;21:31:39.250;0.0;25.285804;5093712
161;21:31:39.421;1.6;25.286896;5093932
162;21:31:39.594;1.6;25.283898;5093592
163;21:31:39.765;0.0;25.283600;5093528
164;21:31:39.938;0.0;25.288545;5094264
165;21:31:40.111;3.4;25.289120;5094380
166;21:31:40.284;0.0;25.289458;5094448
167;21:31:40.455;1.6;25.289140;5094164
168;21:31:40.626;4.3;25.289081;5094372
169;21:31:40.800;1.6;25.289915;5094540
170;21:31:40.972;3.0;25.287830;5093900
171;21:31:41.146;3.2;25.288604;5094276
172;21:31:41.319;3.1;25.289041;5094364
173;21:31:41.490;1.5;25.289061;5094448
174;21:31:41.662;1.5;25.286698;5093892
175;21:31:41.835;0.0;25.290133;5094364
176;21:31:42.007;1.5;25.288862;5094108
177;21:31:42.180;1.5;25.290113;5094580
178;21:31:42.352;1.6;25.289140;5094160
179;21:31:42.524;4.1;25.288227;5094200
180;21:31:42.697;2.9;25.288108;5094176
181;21:31:42.869;0.0;25.287194;5093992
182;21:31:43.043;1.5;25.289319;5094420
183;21:31:43.215;1.5;25.286340;5093820
184;21:31:43.386;2.9;25.286023;5093756
185;21:31:43.559;4.3;25.289537;5094464
186;21:31:43.731;1.4;25.288922;5094340
187;21:31:43.903;10.6;25.281118;5093252
188;21:31:44.077;4.4;25.287790;5094332
189;21:31:44.251;2.9;25.288862;5094328
190;21:31:44.427;3.0;25.288386;5094232
191;21:31:44.597;3.0;25.287949;5093924
192;21:31:44.769;3.0;25.288267;5094208
193;21:31:44.940;2.9;25.288406;5094236
194;21:31:45.111;1.6;25.340688;5104544
195;21:31:45.280;1.4;25.443107;5127416
196;21:31:45.449;0.0;25.547890;5148304
197;21:31:45.619;0.0;25.670007;5171108
198;21:31:45.788;5.7;25.710892;5179344
199;21:31:45.958;3.0;25.786605;5194840
200;21:31:46.128;0.0;25.864124;5210212
201;21:31:46.298;0.0;25.953618;5228264
202;21:31:46.469;5.9;26.026987;5243020
203;21:31:46.640;2.9;26.117632;5263328
204;21:31:46.811;7.8;26.156849;5269180
205;21:31:46.981;3.0;26.176050;5272720
206;21:31:47.152;7.0;26.209429;5279772
207;21:31:47.323;6.9;26.238578;5287920
208;21:31:47.495;7.2;26.277596;5295688
209;21:31:47.667;5.9;26.321399;5302580
210;21:31:47.838;0.0;26.350608;5308128
211;21:31:48.008;3.0;26.422648;5322504
212;21:31:48.178;1.5;26.527311;5343856
213;21:31:48.348;1.6;26.619664;5362660
214;21:31:48.518;0.0;26.621530;5363300
215;21:31:48.689;2.8;26.624727;5363432
216;21:31:48.859;3.1;26.625958;5363460
217;21:31:49.030;3.1;26.624231;5363332
218;21:31:49.200;4.5;26.621113;5362704
219;21:31:49.371;1.5;26.897635;5418408
220;21:31:49.542;1.4;26.896543;5418188
221;21:31:49.713;0.0;26.897476;5418376
222;21:31:49.883;1.6;26.896225;5418384
223;21:31:50.053;1.4;26.897476;5418376
224;21:31:50.223;0.0;26.898727;5418408
225;21:31:50.393;1.5;26.898707;5418404
226;21:31:50.563;0.0;26.920132;5422720
227;21:31:50.733;0.0;26.920172;5422728
228;21:31:50.903;0.0;26.919000;5422492
229;21:31:51.073;1.6;26.917868;5422484
230;21:31:51.244;0.0;26.919298;5422772
231;21:31:51.414;1.5;26.917928;5422496
232;21:31:51.585;1.5;26.917769;5422244
233;21:31:51.756;1.3;26.916439;5421976
234;21:31:51.926;1.6;26.919894;5422660
235;21:31:52.098;0.0;26.919477;5422808
236;21:31:52.267;6.1;26.921065;5423380
237;21:31:52.438;1.5;26.920688;5423092
238;21:31:52.610;3.1;26.920211;5422872
239;21:31:52.781;1.5;26.922078;5423112
240;21:31:52.952;1.5;26.919953;5423228
241;21:31:53.124;1.6;26.920748;5423064
242;21:31:53.295;1.5;26.917412;5422636
243;21:31:53.466;1.5;26.918980;5422488
244;21:31:53.638;1.5;26.922892;5423496
245;21:31:53.808;1.5;26.924004;5423500
246;21:31:53.979;0.0;26.922634;5423224
247;21:31:54.150;1.6;26.922833;5423484
248;21:31:54.320;0.0;26.920827;5423080
249;21:31:54.490;0.0;26.918722;5422948
250;21:31:54.659;0.0;26.922912;5423280
251;21:31:54.831;0.0;26.920231;5423228
252;21:31:55.008;2.9;26.925394;5424000
253;21:31:55.179;0.0;26.924302;5423780
254;21:31:55.350;0.0;26.924580;5423836
255;21:31:55.521;0.0;26.925791;5424080
256;21:31:55.692;0.0;26.927578;5424440
257;21:31:55.862;0.0;26.926327;5424188
258;21:31:56.032;0.0;26.925235;5423968
259;21:31:56.202;0.0;26.925553;5424032
260;21:31:56.372;4.5;26.925672;5423836
261;21:31:56.545;1.4;26.923944;5423708
262;21:31:56.716;0.0;26.925037;5423928
263;21:31:56.888;3.0;26.926288;5424180
264;21:31:57.058;1.5;26.923944;5423708
265;21:31:57.232;6.2;26.925553;5424032
266;21:31:57.402;4.5;26.923607;5423640
267;21:31:57.572;0.0;26.923766;5423892
268;21:31:57.743;0.0;26.923488;5423396
269;21:31:57.913;0.0;26.922435;5423184
270;21:31:58.083;1.5;26.921542;5423224
271;21:31:58.253;1.5;26.922316;5423664
272;21:31:58.423;0.0;26.923686;5423656
273;21:31:58.592;1.5;26.922515;5423420
274;21:31:58.767;3.0;26.924898;5423900
275;21:31:58.937;1.5;26.923766;5423452
276;21:31:59.108;1.5;26.924858;5423964
277;21:31:59.280;5.8;26.920609;5423548
278;21:31:59.451;2.9;26.922515;5423644
279;21:31:59.626;1.5;26.925096;5423720
280;21:31:59.801;1.4;26.931569;5425244
281;21:31:59.979;3.0;26.926486;5424220
282;21:32:00.150;3.1;26.925672;5423616
283;21:32:00.325;4.4;26.927042;5424572
284;21:32:00.499;4.5;26.927340;5424392
285;21:32:00.674;4.5;26.924898;5423900
286;21:32:00.849;1.5;26.926526;5424228
287;21:32:01.024;2.9;26.929604;5424628
288;21:32:01.200;3.0;26.926049;5424136
289;21:32:01.373;2.8;26.926228;5423948
290;21:32:01.547;1.5;26.925811;5424084
291;21:32:01.720;0.0;26.926724;5424048
292;21:32:01.894;2.8;26.927400;5424640
293;21:32:02.068;2.9;26.928353;5424596
294;21:32:02.240;3.1;26.927697;5424464
295;21:32:02.414;2.9;26.926149;5424152
296;21:32:02.587;1.5;26.926268;5424176
297;21:32:02.762;4.5;26.925970;5424116
298;21:32:02.933;2.9;26.925652;5423984
299;21:32:03.106;6.9;26.925672;5424056
300;21:32:03.280;8.2;26.925871;5424096
301;21:32:03.453;6.8;26.925176;5423956
302;21:32:03.626;6.3;26.922793;5423712
303;21:32:03.799;6.8;26.924083;5423516
304;21:32:03.972;7.2;26.921224;5423160
305;21:32:04.147;7.4;26.925612;5424428
306;21:32:04.325;7.0;26.924381;5423796
307;21:32:04.501;6.8;26.926625;5424248
308;21:32:04.675;5.9;26.924500;5423820
309;21:32:04.848;8.3;26.924461;5423812
310;21:32:05.022;6.1;26.924580;5423616
311;21:32:05.195;14.1;26.925136;5423728
312;21:32:05.368;8.5;26.922177;5423352
313;21:32:05.543;8.8;26.921224;5423580
314;21:32:05.717;5.9;26.925890;5423660
315;21:32:05.890;9.1;26.932860;5425828
316;21:32:06.063;8.8;26.932483;5425428
317;21:32:06.236;6.0;26.944436;5427892
318;21:32:06.408;7.5;26.944714;5428144
319;21:32:06.582;7.6;26.955894;5430144
320;21:32:06.754;7.2;26.964849;5432176
321;21:32:06.930;4.5;26.967450;5432472
322;21:32:07.103;5.7;26.976306;5434256
323;21:32:07.278;1.5;26.977120;5434420
324;21:32:07.450;3.1;26.986929;5436396
325;21:32:07.623;3.1;26.987863;5436584
326;21:32:07.795;3.1;26.998506;5438508
327;21:32:07.968;3.1;26.997076;5438440
328;21:32:08.140;3.0;27.008593;5440760
329;21:32:08.311;3.4;27.008315;5440964
