ID; Time; Network interface; TBPS; RBPS
1;19:37:59.542;enp0s25;5229;5376
2;19:38:00.555;enp0s25;0;64
3;19:38:01.562;enp0s25;1904;7584
4;19:38:02.569;enp0s25;5474;9093
5;19:38:03.576;enp0s25;3938;53306
6;19:38:04.583;enp0s25;0;64
7;19:38:05.590;enp0s25;0;0
8;19:38:06.597;enp0s25;0;64
9;19:38:07.604;enp0s25;0;0
10;19:38:08.611;enp0s25;87928;2762100
11;19:38:09.622;enp0s25;239414;8202382
12;19:38:10.632;enp0s25;216850;8175710
13;19:38:11.643;enp0s25;234500;8174639
14;19:38:12.651;enp0s25;235410;8199211
15;19:38:13.659;enp0s25;235410;8194584
16;19:38:14.667;enp0s25;182976;6821086
17;19:38:15.675;enp0s25;206920;7272192
18;19:38:16.684;enp0s25;222846;8156772
19;19:38:17.692;enp0s25;216860;7588568
20;19:38:18.701;enp0s25;234080;8187964
21;19:38:19.715;enp0s25;125294;4360092
22;19:38:20.722;enp0s25;0;0
23;19:38:21.729;enp0s25;0;64
24;19:38:22.736;enp0s25;0;0
25;19:38:23.743;enp0s25;0;64
26;19:38:24.751;enp0s25;0;0
27;19:38:25.758;enp0s25;0;64
28;19:38:26.765;enp0s25;0;0
29;19:38:27.814;enp0s25;4329;2479
30;19:38:28.837;enp0s25;1554;3127
31;19:38:29.844;enp0s25;4662;12442
32;19:38:30.852;enp0s25;5728;9812
33;19:38:31.859;enp0s25;968;1504
34;19:38:32.866;enp0s25;3306;11371
35;19:38:33.873;enp0s25;8809;26310
36;19:38:34.881;enp0s25;0;0
37;19:38:35.891;enp0s25;113094;4179231
38;19:38:36.899;enp0s25;187990;8241996
39;19:38:37.910;enp0s25;173670;8227080
40;19:38:38.918;enp0s25;173600;8228514
41;19:38:39.927;enp0s25;173110;8225582
42;19:38:40.935;enp0s25;174300;8236004
43;19:38:41.944;enp0s25;164804;7671386
44;19:38:42.952;enp0s25;81550;3861141
45;19:38:43.960;enp0s25;0;171
46;19:38:44.967;enp0s25;0;0
47;19:38:45.977;enp0s25;0;64
48;19:38:46.986;enp0s25;0;0
49;19:38:47.994;enp0s25;0;64
50;19:38:49.001;enp0s25;0;0
51;19:38:50.009;enp0s25;1777;7124
52;19:38:51.025;enp0s25;70;584
53;19:38:52.033;enp0s25;350;368
