ID; Time; CPU %; MEM %; MEM KiB
1;19:39:29.430;23.1;15.307943;3083716
2;19:39:29.603;1.6;15.309830;3084096
3;19:39:29.772;3.1;15.313662;3084868
4;19:39:29.943;0.0;15.313404;3084596
5;19:39:30.114;0.0;15.314734;3085084
6;19:39:30.283;1.5;15.308976;3083704
7;19:39:30.453;0.0;15.308896;3083908
8;19:39:30.622;3.1;15.310068;3084144
9;19:39:30.791;0.0;15.309909;3084356
10;19:39:30.960;1.5;15.322419;3086632
11;19:39:31.129;1.4;15.324504;3087468
12;19:39:31.299;1.5;15.325973;3087420
13;19:39:31.468;1.6;15.325536;3087260
14;19:39:31.639;1.6;15.324246;3087244
15;19:39:31.812;2.9;15.327919;3087740
16;19:39:31.989;1.5;15.328237;3087584
17;19:39:32.165;0.0;15.324682;3087088
18;19:39:32.341;3.1;15.325199;3087192
19;19:39:32.510;1.5;15.326867;3087528
20;19:39:32.679;3.0;15.323868;3087168
21;19:39:32.848;1.5;15.325735;3087528
22;19:39:33.018;1.5;15.326827;3087300
23;19:39:33.187;1.5;15.324186;3086988
24;19:39:33.363;3.1;15.326747;3087528
25;19:39:33.532;3.0;15.326390;3087432
26;19:39:33.703;1.5;15.324385;3087028
27;19:39:33.874;0.0;15.322776;3086948
28;19:39:34.043;3.1;15.325437;3087240
29;19:39:34.212;1.5;15.324186;3087232
30;19:39:34.382;0.0;15.326688;3087492
31;19:39:34.551;0.0;15.336815;3089532
32;19:39:34.719;1.5;15.369637;3095924
33;19:39:34.889;7.7;15.779356;3178680
34;19:39:35.059;1.5;15.779912;3178792
35;19:39:35.228;0.0;15.779912;3178792
36;19:39:35.397;1.5;15.781322;3179076
37;19:39:35.567;0.0;15.780230;3178856
38;19:39:35.737;1.5;15.781322;3179076
39;19:39:35.907;1.6;15.782414;3179076
40;19:39:36.076;1.6;15.782414;3179296
41;19:39:36.246;1.5;15.783884;3179592
42;19:39:36.415;1.6;15.779972;3179096
43;19:39:36.584;0.0;15.778880;3178820
44;19:39:36.752;0.0;15.778244;3178456
45;19:39:36.921;3.0;15.777688;3178344
46;19:39:37.090;0.0;15.781719;3179156
47;19:39:37.259;0.0;15.783248;3179244
48;19:39:37.427;1.5;15.782891;3179392
49;19:39:37.596;0.0;15.783069;3179208
50;19:39:37.764;0.0;15.783069;3179208
51;19:39:37.933;1.5;15.778701;3178328
52;19:39:38.102;3.1;15.778820;3178572
53;19:39:38.272;7.5;15.778721;3178952
54;19:39:38.443;0.0;15.779178;3178644
55;19:39:38.613;1.5;15.779217;3178652
56;19:39:38.783;0.0;15.780270;3179116
57;19:39:38.953;1.4;15.781560;3178904
58;19:39:39.131;3.1;15.780786;3178968
59;19:39:39.305;1.9;15.780687;3178948
60;19:39:39.477;1.7;15.785333;3179884
61;19:39:39.655;3.3;15.778800;3178412
62;19:39:39.826;3.8;15.776616;3178128
63;19:39:39.996;3.9;15.779416;3178916
64;19:39:40.167;1.9;15.779793;3178768
65;19:39:40.339;0.0;15.777867;3178380
66;19:39:40.510;1.9;15.777390;3178516
67;19:39:40.680;1.8;15.778026;3178768
68;19:39:40.852;0.0;15.779773;3179004
69;19:39:41.023;1.9;15.780051;3178140
70;19:39:41.194;1.8;15.780945;3179000
71;19:39:41.366;3.8;15.776457;3178256
72;19:39:41.540;1.8;15.781084;3179400
73;19:39:41.711;0.0;15.784380;3179692
74;19:39:41.883;1.8;15.781441;3179336
75;19:39:42.055;1.8;15.785750;3179968
76;19:39:42.228;0.0;15.782454;3179084
77;19:39:42.400;0.0;15.785174;3179528
78;19:39:42.571;0.0;15.784400;3179740
79;19:39:42.742;1.9;15.785929;3180004
80;19:39:42.913;3.6;15.785234;3180116
81;19:39:43.085;1.8;15.787914;3180404
82;19:39:43.258;1.7;15.786961;3180212
83;19:39:43.429;1.9;15.787914;3180404
84;19:39:43.601;1.8;15.788530;3180528
85;19:39:43.771;1.8;15.788431;3180068
86;19:39:43.943;1.9;15.789999;3180604
87;19:39:44.114;1.8;15.789523;3180728
88;19:39:44.285;0.0;15.788828;3180588
89;19:39:44.456;1.8;15.786763;3179952
90;19:39:44.627;0.0;15.781977;3179672
91;19:39:44.799;0.0;15.786008;3180020
92;19:39:44.969;1.7;15.782593;3179688
93;19:39:45.141;1.7;15.785055;3180048
94;19:39:45.313;3.4;15.785274;3179872
95;19:39:45.484;1.7;15.792879;3181404
96;19:39:45.656;1.7;15.796552;3182144
97;19:39:45.826;1.8;15.797644;3182364
98;19:39:45.997;1.7;15.801476;3183136
99;19:39:46.169;1.7;15.801893;3183220
100;19:39:46.341;1.7;15.802986;3182780
101;19:39:46.515;1.7;15.800603;3183196
102;19:39:46.687;1.6;15.801258;3183324
103;19:39:46.859;1.7;15.801576;3183156
104;19:39:47.031;1.6;15.802886;3183420
105;19:39:47.204;4.3;15.798141;3182884
106;19:39:47.378;1.6;15.801198;3183080
107;19:39:47.551;3.1;15.805845;3183908
108;19:39:47.724;0.0;15.799669;3182552
109;19:39:47.896;0.0;15.794070;3181468
110;19:39:48.068;1.6;15.794388;3181708
111;19:39:48.241;2.9;15.794388;3181764
112;19:39:48.414;1.6;15.797585;3181912
113;19:39:48.588;0.0;15.795619;3181956
114;19:39:48.759;1.6;15.801695;3183480
115;19:39:48.932;3.1;15.801893;3182780
116;19:39:49.102;1.5;15.799689;3182776
117;19:39:49.275;1.6;15.799848;3183068
118;19:39:49.445;1.5;15.800007;3182620
119;19:39:49.617;0.0;15.796731;3182180
120;19:39:49.791;1.5;15.797088;3182252
121;19:39:49.963;4.5;15.798597;3181808
122;19:39:50.137;3.1;15.798518;3182792
123;19:39:50.307;1.5;15.800563;3183196
124;19:39:50.477;5.7;15.803065;3183236
125;19:39:50.647;1.5;15.801496;3183140
126;19:39:50.816;0.0;15.863508;3195632
127;19:39:50.984;1.6;15.964141;3215684
128;19:39:51.154;1.5;16.069003;3236808
129;19:39:51.323;2.9;16.160521;3255708
130;19:39:51.491;6.0;16.221481;3267496
131;19:39:51.661;1.5;16.301900;3284204
132;19:39:51.831;3.1;16.364090;3296252
133;19:39:52.000;0.0;16.457058;3315240
134;19:39:52.170;1.5;16.550582;3334292
135;19:39:52.339;3.2;16.622979;3350916
136;19:39:52.508;0.0;16.696448;3363424
137;19:39:52.677;1.5;16.723751;3368752
138;19:39:52.848;1.5;16.758778;3376232
139;19:39:53.017;0.0;16.798451;3383424
140;19:39:53.187;1.5;16.822279;3388796
141;19:39:53.357;1.5;16.876308;3399916
142;19:39:53.527;0.0;16.896204;3403940
143;19:39:53.698;1.6;16.940028;3412744
144;19:39:53.867;0.0;17.032718;3431164
145;19:39:54.038;0.0;17.135038;3453620
146;19:39:54.207;3.2;17.153306;3455456
147;19:39:54.377;0.0;17.155888;3455976
148;19:39:54.547;1.5;17.158588;3456520
149;19:39:54.716;0.0;17.158151;3456432
