ID; Time; CPU %; MEM %; MEM KiB
1;11:10:04.026;21.5;20.067921;4042592
2;11:10:04.198;0.0;20.067822;4042572
3;11:10:04.368;1.6;20.072826;4043580
4;11:10:04.539;0.0;20.074911;4044244
5;11:10:04.708;0.0;20.077532;4044528
6;11:10:04.876;4.6;20.076519;4044324
7;11:10:05.051;4.6;20.079418;4044908
8;11:10:05.223;3.1;20.079676;4044960
9;11:10:05.393;3.2;20.079617;4045280
10;11:10:05.567;1.6;20.075050;4044028
11;11:10:05.736;3.0;20.077790;4044612
12;11:10:05.906;2.9;20.077750;4044572
13;11:10:06.079;3.3;20.075387;4044332
14;11:10:06.250;0.0;20.076598;4043628
15;11:10:06.447;3.3;20.076896;4044400
16;11:10:06.627;0.0;20.080252;4045076
17;11:10:06.797;0.0;20.089763;4047300
18;11:10:06.969;3.1;20.081503;4044864
19;11:10:07.154;0.0;20.078703;4044764
20;11:10:07.328;1.9;20.080391;4044884
21;11:10:07.502;3.3;20.079239;4045096
22;11:10:07.675;1.8;20.079061;4044836
23;11:10:07.848;0.0;20.076857;4044392
24;11:10:08.019;3.5;20.075824;4044184
25;11:10:08.194;0.0;20.074950;4044008
26;11:10:08.367;0.0;20.074692;4043956
27;11:10:08.538;0.0;20.074275;4044096
28;11:10:08.710;4.9;20.066670;4042816
29;11:10:08.881;0.0;20.068120;4042856
30;11:10:09.051;0.0;20.071197;4043252
31;11:10:09.220;0.0;20.072290;4043472
32;11:10:09.389;0.0;20.072210;4043456
33;11:10:09.559;3.3;20.081324;4044996
34;11:10:09.728;4.6;20.099632;4049208
35;11:10:09.898;3.0;20.142423;4057600
36;11:10:10.066;1.5;20.174471;4064056
37;11:10:10.234;0.0;20.206500;4070508
38;11:10:10.403;0.0;20.245935;4078304
39;11:10:10.572;3.1;20.276553;4084872
40;11:10:10.741;0.0;20.318907;4092856
41;11:10:10.909;1.6;20.357905;4101008
42;11:10:11.078;0.0;20.403694;4110248
43;11:10:11.247;1.6;20.445274;4118608
44;11:10:11.415;0.0;20.485444;4126404
45;11:10:11.583;1.5;20.494438;4128332
46;11:10:11.752;1.5;20.492771;4128176
47;11:10:11.922;0.0;20.492771;4128176
48;11:10:12.090;0.0;20.493505;4128324
49;11:10:12.258;0.0;20.493168;4128108
50;11:10:12.426;0.0;20.492512;4128356
51;11:10:12.594;0.0;20.492651;4128436
52;11:10:12.762;0.0;20.492175;4128056
53;11:10:12.930;0.0;20.543782;4138304
54;11:10:13.099;1.6;20.602974;4150376
55;11:10:13.268;0.0;20.636333;4156800
56;11:10:13.436;4.7;21.046806;4240056
57;11:10:13.607;0.0;21.062394;4243368
58;11:10:13.776;0.0;21.076293;4245428
59;11:10:13.945;1.6;21.116165;4253608
60;11:10:14.113;0.0;21.125398;4255616
61;11:10:14.283;1.5;21.155143;4261460
62;11:10:14.452;0.0;21.155143;4261608
63;11:10:14.620;0.0;21.155143;4261608
64;11:10:14.788;1.6;21.156434;4261720
65;11:10:14.956;0.0;21.155302;4261600
66;11:10:15.127;0.0;21.154409;4261460
67;11:10:15.296;1.6;21.153892;4261356
68;11:10:15.464;3.2;21.159671;4262372
69;11:10:15.632;0.0;21.158876;4262456
70;11:10:15.800;0.0;21.158142;4262456
71;11:10:15.969;0.0;21.161140;4262816
72;11:10:16.138;7.8;21.160743;4262576
73;11:10:16.311;0.0;21.159075;4262400
74;11:10:16.486;3.1;21.160346;4262908
75;11:10:16.656;1.5;21.159015;4262240
76;11:10:16.826;1.5;21.158499;4262284
77;11:10:16.995;1.5;21.158479;4262280
78;11:10:17.170;1.5;21.158618;4262308
79;11:10:17.347;0.0;21.161160;4262820
80;11:10:17.520;1.5;21.165072;4263312
81;11:10:17.727;0.0;21.163781;4263052
82;11:10:17.907;1.5;21.162669;4262976
83;11:10:18.083;1.4;21.164754;4263544
84;11:10:18.259;1.5;21.162788;4263148
85;11:10:18.434;3.0;21.162788;4263148
86;11:10:18.611;1.5;21.162788;4263432
87;11:10:18.786;1.5;21.164635;4263520
88;11:10:18.962;1.6;21.166541;4263756
89;11:10:19.133;1.5;21.165588;4263636
90;11:10:19.312;0.0;21.164257;4263444
91;11:10:19.485;0.0;21.164396;4263472
92;11:10:19.662;2.9;21.162728;4263136
93;11:10:19.838;2.9;21.162212;4263032
94;11:10:20.014;1.5;21.164714;4263820
95;11:10:20.190;1.5;21.165191;4263916
96;11:10:20.366;1.5;21.166025;4263800
97;11:10:20.540;0.0;21.166362;4264032
98;11:10:20.717;1.5;21.166064;4263808
99;11:10:20.893;3.0;21.164734;4263540
100;11:10:21.067;1.5;21.165369;4263668
101;11:10:21.242;1.5;21.163999;4263392
102;11:10:21.419;0.0;21.163999;4263504
103;11:10:21.595;1.5;21.165250;4263644
104;11:10:21.770;1.6;21.164436;4263480
105;11:10:21.945;0.0;21.164694;4263384
106;11:10:22.119;1.5;21.165409;4263676
107;11:10:22.294;0.0;21.164377;4263320
108;11:10:22.469;1.5;21.161617;4263048
109;11:10:22.645;2.9;21.160088;4262864
110;11:10:22.823;0.0;21.161219;4262612
111;11:10:22.997;5.9;21.160544;4263156
112;11:10:23.174;0.0;21.168904;4264916
113;11:10:23.351;1.6;21.172657;4264916
114;11:10:23.520;0.0;21.173570;4265328
115;11:10:23.696;1.5;21.173133;4265232
116;11:10:23.871;1.5;21.175635;4265736
117;11:10:24.049;3.0;21.174086;4265424
118;11:10:24.224;2.9;21.174305;4265468
119;11:10:24.402;2.9;21.174821;4265572
120;11:10:24.578;3.0;21.174305;4265468
121;11:10:24.754;1.4;21.173650;4265336
122;11:10:24.930;2.9;21.174940;4265596
123;11:10:25.106;3.0;21.175774;4265764
124;11:10:25.274;1.5;21.176588;4265928
125;11:10:25.443;0.0;21.175119;4265632
126;11:10:25.611;0.0;21.177422;4266096
127;11:10:25.779;0.0;21.176688;4266216
128;11:10:25.947;1.5;21.176549;4265624
129;11:10:26.115;3.0;21.174901;4265972
130;11:10:26.285;0.0;21.177283;4265944
131;11:10:26.454;3.1;21.177998;4266212
132;11:10:26.622;2.8;21.176568;4265924
133;11:10:26.798;4.5;21.177700;4266004
134;11:10:26.968;3.1;21.176072;4265676
135;11:10:27.137;0.0;21.177442;4266100
136;11:10:27.306;1.5;21.179924;4266452
137;11:10:27.481;1.5;21.177859;4266184
138;11:10:27.657;9.1;21.184491;4267520
139;11:10:27.826;0.0;21.184273;4267256
140;11:10:27.999;1.5;21.182863;4266972
141;11:10:28.176;3.0;21.180639;4267272
142;11:10:28.353;1.5;21.182267;4267072
143;11:10:28.527;1.5;21.182962;4267212
144;11:10:28.703;0.0;21.180202;4266656
145;11:10:28.879;1.5;21.181711;4266960
146;11:10:29.054;1.6;21.180321;4266680
147;11:10:29.226;4.3;21.182247;4266848
148;11:10:29.405;1.5;21.180738;4266764
149;11:10:29.580;1.4;21.180818;4266780
150;11:10:29.758;0.0;21.180699;4266756
151;11:10:29.933;1.5;21.180540;4266724
152;11:10:30.107;0.0;21.181791;4267056
153;11:10:30.281;1.5;21.180222;4266660
154;11:10:30.458;0.0;21.178971;4266188
155;11:10:30.634;1.5;21.179567;4266528
156;11:10:30.811;1.6;21.179607;4266536
157;11:10:30.987;1.5;21.180083;4266900
158;11:10:31.164;1.5;21.179269;4266468
159;11:10:31.338;1.6;21.181473;4267292
160;11:10:31.511;1.5;21.178614;4266336
161;11:10:31.689;1.5;21.177105;4266032
162;11:10:31.864;1.5;21.177105;4266032
163;11:10:32.042;1.5;21.177184;4266048
164;11:10:32.218;0.0;21.177680;4266148
165;11:10:32.394;1.5;21.178614;4266596
166;11:10:32.570;1.5;21.178097;4265980
167;11:10:32.746;3.0;21.176846;4265980
168;11:10:32.921;3.0;21.175556;4265720
