ID; Time; Network interface; TBPS; RBPS
1;11:12:37.850;enp0s25;7241;95774
2;11:12:38.860;enp0s25;60963;1299817
3;11:12:39.869;enp0s25;136909;6091862
4;11:12:40.882;enp0s25;121906;5125005
5;11:12:41.890;enp0s25;146457;7133472
6;11:12:42.897;enp0s25;141566;6504859
7;11:12:43.909;enp0s25;140;2252
8;11:12:44.916;enp0s25;408;740
9;11:12:45.927;enp0s25;64;128
10;11:12:46.934;enp0s25;64;1214
11;11:12:47.947;enp0s25;0;64
12;11:12:48.954;enp0s25;0;0
13;11:12:49.960;enp0s25;2838;2400
14;11:12:50.967;enp0s25;958;1419
15;11:12:51.983;enp0s25;1123;837
16;11:12:52.993;enp0s25;8252;26822
17;11:12:53.999;enp0s25;1201;3268
18;11:12:55.013;enp0s25;313;0
19;11:12:56.023;enp0s25;0;64
20;11:12:57.037;enp0s25;1234;874
21;11:12:58.046;enp0s25;1672;7003
22;11:12:59.059;enp0s25;164276;6438830
23;11:13:00.068;enp0s25;163310;7162002
24;11:13:01.075;enp0s25;162820;7145460
25;11:13:02.083;enp0s25;162890;7157508
26;11:13:03.090;enp0s25;164220;7211372
27;11:13:04.105;enp0s25;163660;7162002
28;11:13:05.112;enp0s25;162890;7160440
29;11:13:06.120;enp0s25;148480;6887868
30;11:13:07.131;enp0s25;8998;550455
31;11:13:08.146;enp0s25;0;64
32;11:13:09.157;enp0s25;64;458
33;11:13:10.164;enp0s25;0;64
34;11:13:11.175;enp0s25;0;0
35;11:13:12.182;enp0s25;0;934
36;11:13:13.191;enp0s25;0;0
37;11:13:14.202;enp0s25;0;64
38;11:13:15.210;enp0s25;0;0
39;11:13:16.217;enp0s25;1848;8280
40;11:13:17.231;enp0s25;9293;152688
41;11:13:18.242;enp0s25;60737;1341532
42;11:13:19.254;enp0s25;140704;6105460
43;11:13:20.266;enp0s25;129026;5723624
44;11:13:21.274;enp0s25;126402;6355866
45;11:13:22.293;enp0s25;100011;5402766
46;11:13:23.304;enp0s25;35157;903787
47;11:13:24.315;enp0s25;78;64
48;11:13:25.328;enp0s25;0;0
49;11:13:26.345;enp0s25;0;64
50;11:13:27.359;enp0s25;0;64
51;11:13:28.368;enp0s25;70;70
52;11:13:29.385;enp0s25;0;64
53;11:13:30.400;enp0s25;64;64
54;11:13:31.413;enp0s25;0;64
55;11:13:32.422;enp0s25;78;0
56;11:13:33.437;enp0s25;273;204
57;11:13:34.454;enp0s25;0;0
58;11:13:35.467;enp0s25;0;64
59;11:13:36.477;enp0s25;0;0
60;11:13:37.493;enp0s25;0;64
61;11:13:38.506;enp0s25;0;0
62;11:13:39.524;enp0s25;0;64
63;11:13:40.537;enp0s25;0;0
64;11:13:41.555;enp0s25;64;128
65;11:13:42.570;enp0s25;0;0
66;11:13:43.587;enp0s25;0;64
67;11:13:44.600;enp0s25;0;0
68;11:13:45.611;enp0s25;0;64
69;11:13:46.626;enp0s25;0;0
70;11:13:47.641;enp0s25;0;64
71;11:13:48.654;enp0s25;78;0
72;11:13:49.663;enp0s25;192;198
73;11:13:50.679;enp0s25;0;0
74;11:13:51.697;enp0s25;0;64
75;11:13:52.712;enp0s25;64;64
76;11:13:53.723;enp0s25;0;64
77;11:13:54.739;enp0s25;412;210
78;11:13:55.749;enp0s25;0;64
79;11:13:56.756;enp0s25;100;166
80;11:13:57.763;enp0s25;0;64
81;11:13:58.770;enp0s25;0;0
82;11:13:59.777;enp0s25;1936;7602
83;11:14:00.784;enp0s25;4751;9561
84;11:14:01.790;enp0s25;12711;279886
85;11:14:02.799;enp0s25;1714;19861
86;11:14:03.814;enp0s25;6204;156817
87;11:14:04.823;enp0s25;0;1150
88;11:14:05.830;enp0s25;0;924
89;11:14:06.837;enp0s25;0;0
90;11:14:07.844;enp0s25;1251;5642
91;11:14:08.853;enp0s25;177709;6022752
92;11:14:09.863;enp0s25;166866;7137462
93;11:14:10.871;enp0s25;176120;7138512
94;11:14:11.879;enp0s25;174860;7053912
95;11:14:12.886;enp0s25;170004;7134056
96;11:14:13.894;enp0s25;176750;7135234
97;11:14:14.902;enp0s25;176884;7138576
98;11:14:15.910;enp0s25;175000;7136500
99;11:14:16.918;enp0s25;176540;7120768
100;11:14:17.926;enp0s25;176260;7125214
101;11:14:18.933;enp0s25;175770;7118496
102;11:14:19.941;enp0s25;176190;7136814
103;11:14:20.948;enp0s25;18480;734139
104;11:14:21.956;enp0s25;0;1214
105;11:14:22.964;enp0s25;0;0
106;11:14:23.971;enp0s25;0;64
107;11:14:24.977;enp0s25;0;394
108;11:14:25.984;enp0s25;64;128
109;11:14:26.991;enp0s25;0;0
110;11:14:27.998;enp0s25;0;64
111;11:14:29.005;enp0s25;0;1606
Build Completed
