ID; Time; Network interface; TBPS; RBPS
1;13:36:57.303;enp0s25;64;128
2;13:36:58.311;enp0s25;1615;1446
3;13:36:59.324;enp0s25;2874;3158
4;13:37:00.333;enp0s25;0;0
5;13:37:01.343;enp0s25;5486;129523
6;13:37:02.359;enp0s25;33804;1016303
7;13:37:03.367;enp0s25;137999;5880976
8;13:37:04.380;enp0s25;127816;5990748
9;13:37:05.387;enp0s25;137192;6475852
10;13:37:06.401;enp0s25;124940;7098232
11;13:37:07.415;enp0s25;120100;6219246
12;13:37:08.428;enp0s25;134299;6194606
13;13:37:09.436;enp0s25;147102;7133082
14;13:37:10.443;enp0s25;123932;7134664
15;13:37:11.452;enp0s25;155040;6984318
16;13:37:12.461;enp0s25;95249;4150795
17;13:37:13.468;enp0s25;127050;6015834
18;13:37:14.476;enp0s25;132047;6279013
19;13:37:15.485;enp0s25;95832;4221134
20;13:37:16.496;enp0s25;26342;599532
21;13:37:17.507;enp0s25;48434;1608850
22;13:37:18.519;enp0s25;22752;513941
23;13:37:19.532;enp0s25;115008;4365922
24;13:37:20.548;enp0s25;25828;1168850
25;13:37:21.563;enp0s25;0;0
26;13:37:22.574;enp0s25;0;64
27;13:37:23.583;enp0s25;0;0
28;13:37:24.590;enp0s25;0;614
29;13:37:25.605;enp0s25;0;0
30;13:37:26.621;enp0s25;0;64
31;13:37:27.631;enp0s25;0;0
32;13:37:28.647;enp0s25;0;64
33;13:37:29.665;enp0s25;0;0
34;13:37:30.673;enp0s25;64;128
35;13:37:31.680;enp0s25;0;0
36;13:37:32.688;enp0s25;0;64
37;13:37:33.696;enp0s25;0;0
38;13:37:34.707;enp0s25;0;64
39;13:37:35.715;enp0s25;0;0
40;13:37:36.723;enp0s25;0;64
41;13:37:37.730;enp0s25;0;0
42;13:37:38.738;enp0s25;0;64
43;13:37:39.745;enp0s25;0;0
44;13:37:40.755;enp0s25;64;128
45;13:37:41.763;enp0s25;0;0
46;13:37:42.777;enp0s25;0;64
47;13:37:43.787;enp0s25;0;0
