ID; Time; CPU %; MEM %; MEM KiB
1;14:53:40.250;24.2;25.048519;5045912
2;14:53:40.424;1.5;25.048122;5045832
3;14:53:40.596;4.3;25.050465;5046360
4;14:53:40.774;4.4;25.052193;5046652
5;14:53:40.943;4.5;25.052332;5046680
6;14:53:41.114;4.5;25.052947;5046584
7;14:53:41.284;3.0;25.053900;5046776
8;14:53:41.454;2.9;25.054893;5046976
9;14:53:41.623;1.6;25.052530;5047028
10;14:53:41.793;3.1;25.067879;5049372
11;14:53:41.962;3.1;25.068396;5050484
12;14:53:42.132;3.1;25.076616;5051696
13;14:53:42.302;4.4;25.077430;5051292
14;14:53:42.472;1.5;25.074452;5051136
15;14:53:42.642;9.0;25.078205;5052032
16;14:53:42.819;4.7;25.079515;5052260
17;14:53:42.994;4.3;25.077490;5051748
18;14:53:43.173;15.2;25.081878;5052632
19;14:53:43.346;12.8;25.076636;5052040
20;14:53:43.520;4.2;25.082911;5053108
21;14:53:43.695;2.9;25.081322;5052764
22;14:53:43.871;7.4;25.077450;5051740
23;14:53:44.042;10.4;25.078105;5051872
24;14:53:44.213;7.5;25.077411;5051732
25;14:53:44.388;6.1;25.078979;5051892
26;14:53:44.560;5.9;25.076398;5051528
27;14:53:44.733;1.6;25.077708;5052192
28;14:53:44.904;3.2;25.079476;5052148
29;14:53:45.078;1.7;25.078602;5051972
30;14:53:45.250;3.2;25.080071;5052268
31;14:53:45.421;3.5;25.078264;5051904
32;14:53:45.592;3.7;25.075127;5051052
33;14:53:45.764;3.8;25.079932;5051768
34;14:53:45.940;1.9;25.079495;5052152
35;14:53:46.113;3.4;25.077311;5051712
36;14:53:46.288;5.2;25.078681;5051768
37;14:53:46.460;3.0;25.083010;5052688
38;14:53:46.639;5.1;25.079158;5051864
39;14:53:46.810;3.8;25.078642;5051760
40;14:53:46.982;3.8;25.082255;5052708
41;14:53:47.154;3.6;25.079734;5052200
42;14:53:47.326;1.8;25.079793;5052212
43;14:53:47.499;3.8;25.078602;5051972
44;14:53:47.671;1.9;25.076299;5051508
45;14:53:47.843;1.8;25.089583;5054184
46;14:53:48.014;3.8;25.096393;5055556
47;14:53:48.186;3.7;25.097426;5055284
48;14:53:48.364;4.8;25.108744;5058132
49;14:53:48.536;1.9;25.105944;5057748
50;14:53:48.708;3.7;25.119347;5060180
51;14:53:48.881;1.9;25.122227;5060760
52;14:53:49.054;1.8;25.124689;5061756
53;14:53:49.225;5.3;25.131122;5062552
54;14:53:49.396;1.9;25.138906;5064228
55;14:53:49.570;1.8;25.140614;5064464
56;14:53:49.743;1.8;25.150224;5066600
57;14:53:49.913;3.4;25.158445;5068292
58;14:53:50.086;3.4;25.158862;5067920
59;14:53:50.259;5.2;25.169366;5070256
60;14:53:50.429;3.4;25.168095;5070000
61;14:53:50.601;3.3;25.180942;5072588
62;14:53:50.773;3.3;25.183960;5072976
63;14:53:50.945;3.4;25.189878;5074388
64;14:53:51.117;1.7;25.189004;5074212
65;14:53:51.292;1.7;25.198297;5076084
66;14:53:51.466;4.9;25.208860;5077992
67;14:53:51.638;3.3;25.208384;5078116
68;14:53:51.810;6.3;25.215751;5080020
69;14:53:51.983;4.8;25.218054;5080556
70;14:53:52.156;3.3;25.231556;5082784
71;14:53:52.327;1.7;25.233204;5083116
72;14:53:52.499;3.1;25.239995;5084736
73;14:53:52.671;4.7;25.241524;5084792
74;14:53:52.843;3.1;25.252445;5087284
75;14:53:53.015;1.6;25.253518;5086988
76;14:53:53.188;4.5;25.253498;5087204
77;14:53:53.365;3.0;25.263406;5089200
78;14:53:53.536;0.0;25.260567;5088628
79;14:53:53.709;3.0;25.278517;5092296
80;14:53:53.881;3.0;25.269363;5090024
81;14:53:54.056;10.1;25.280721;5092688
82;14:53:54.232;7.4;25.285864;5093960
83;14:53:54.407;4.5;25.294899;5095544
84;14:53:54.581;5.9;25.293628;5095324
85;14:53:54.752;7.1;25.309175;5098420
86;14:53:54.926;4.2;25.303258;5097228
87;14:53:55.097;5.9;25.314775;5099816
88;14:53:55.275;9.5;25.315450;5099684
89;14:53:55.447;10.3;25.313028;5099196
90;14:53:55.623;6.1;25.312670;5099180
91;14:53:55.797;6.1;25.312213;5100932
92;14:53:55.971;7.9;25.322598;5101172
93;14:53:56.142;7.2;25.323254;5101500
94;14:53:56.319;7.9;25.326451;5101680
95;14:53:56.492;6.3;25.323532;5101312
96;14:53:56.665;4.3;25.333241;5103268
97;14:53:56.837;4.3;25.336736;5103972
98;14:53:57.013;7.7;25.340052;5104884
99;14:53:57.187;9.2;25.342256;5105084
100;14:53:57.361;1.5;25.401369;5116992
101;14:53:57.531;1.5;25.423529;5121456
102;14:53:57.702;4.8;25.476963;5136812
103;14:53:57.872;4.2;25.566337;5150224
104;14:53:58.047;4.6;25.570526;5151068
105;14:53:58.220;7.6;25.565443;5150044
106;14:53:58.391;6.1;25.568283;5150868
107;14:53:58.562;6.2;25.582619;5153176
108;14:53:58.732;3.0;25.714327;5180036
