ID; Time; Network interface; TBPS; RBPS
1;07:46:47.596;enp0s25;5531;5774
2;07:46:48.604;enp0s25;0;64
3;07:46:49.611;enp0s25;8636;211495
4;07:46:50.627;enp0s25;88322;3625739
5;07:46:51.641;enp0s25;141415;6122234
6;07:46:52.652;enp0s25;151900;7152880
7;07:46:53.659;enp0s25;151830;7147130
8;07:46:54.669;enp0s25;148584;7140736
9;07:46:55.677;enp0s25;135059;6267342
10;07:46:56.685;enp0s25;150150;7067872
11;07:46:57.694;enp0s25;152320;7161924
12;07:46:58.702;enp0s25;143298;7154398
13;07:46:59.710;enp0s25;133609;5993723
14;07:47:00.717;enp0s25;150844;7101332
15;07:47:01.725;enp0s25;137385;6357885
16;07:47:02.738;enp0s25;55247;2383039
17;07:47:03.754;enp0s25;25769;580184
18;07:47:04.769;enp0s25;52217;1662318
19;07:47:05.782;enp0s25;28259;680600
20;07:47:06.793;enp0s25;129176;5104794
21;07:47:07.807;enp0s25;4538;205653
22;07:47:08.815;enp0s25;0;64
23;07:47:09.821;enp0s25;0;0
24;07:47:10.830;enp0s25;0;64
25;07:47:11.839;enp0s25;64;64
26;07:47:12.846;enp0s25;0;64
27;07:47:13.853;enp0s25;0;0
28;07:47:14.860;enp0s25;0;64
29;07:47:15.869;enp0s25;0;0
30;07:47:16.877;enp0s25;0;64
31;07:47:17.885;enp0s25;0;0
32;07:47:18.892;enp0s25;0;64
33;07:47:19.900;enp0s25;0;0
34;07:47:20.908;enp0s25;190;64
35;07:47:21.916;enp0s25;0;0
36;07:47:22.924;enp0s25;64;128
37;07:47:23.931;enp0s25;0;0
38;07:47:24.938;enp0s25;0;64
39;07:47:25.945;enp0s25;0;0
40;07:47:26.952;enp0s25;0;64
41;07:47:27.966;enp0s25;2794;4923
42;07:47:28.980;enp0s25;32804;957055
43;07:47:29.987;enp0s25;0;0
44;07:47:30.994;enp0s25;0;64
45;07:47:32.001;enp0s25;164;692
46;07:47:33.007;enp0s25;787;2843
47;07:47:34.014;enp0s25;64;64
48;07:47:35.021;enp0s25;0;64
49;07:47:36.028;enp0s25;0;0
50;07:47:37.034;enp0s25;0;64
51;07:47:38.041;enp0s25;0;0
52;07:47:39.049;enp0s25;0;64
53;07:47:40.056;enp0s25;0;0
54;07:47:41.063;enp0s25;0;64
55;07:47:42.070;enp0s25;0;0
56;07:47:43.077;enp0s25;0;64
57;07:47:44.084;enp0s25;0;0
58;07:47:45.091;enp0s25;11462;704
59;07:47:46.097;enp0s25;192;2595
60;07:47:47.104;enp0s25;0;64
61;07:47:48.111;enp0s25;0;0
62;07:47:49.118;enp0s25;0;274
63;07:47:50.124;enp0s25;0;210
64;07:47:51.131;enp0s25;0;64
65;07:47:52.138;enp0s25;9800;17313
66;07:47:53.145;enp0s25;136945;2418027
67;07:47:54.152;enp0s25;111578;2132998
68;07:47:55.159;enp0s25;127583;2614188
69;07:47:56.167;enp0s25;105785;3090859
70;07:47:57.181;enp0s25;54022;457187
71;07:47:58.195;enp0s25;36267;667927
72;07:47:59.204;enp0s25;60679;1674313
73;07:48:00.211;enp0s25;39645;430410
74;07:48:01.218;enp0s25;57773;1191156
75;07:48:02.225;enp0s25;43960;467066
76;07:48:03.231;enp0s25;33559;223895
77;07:48:04.238;enp0s25;44445;672457
78;07:48:05.245;enp0s25;53126;1056941
79;07:48:06.252;enp0s25;54711;650437
80;07:48:07.260;enp0s25;73981;1738502
81;07:48:08.267;enp0s25;51048;850254
82;07:48:09.274;enp0s25;36385;1247591
83;07:48:10.281;enp0s25;53733;757337
84;07:48:11.289;enp0s25;51497;845918
85;07:48:12.296;enp0s25;43332;725465
86;07:48:13.302;enp0s25;46931;1431285
87;07:48:14.311;enp0s25;43619;1031342
88;07:48:15.319;enp0s25;39798;178514
89;07:48:16.326;enp0s25;42466;764848
90;07:48:17.333;enp0s25;58126;1585302
91;07:48:18.340;enp0s25;67216;1355583
92;07:48:19.347;enp0s25;35684;574645
93;07:48:20.354;enp0s25;80571;3147740
94;07:48:21.361;enp0s25;101057;5135292
95;07:48:22.368;enp0s25;73471;4020929
96;07:48:23.375;enp0s25;104094;5087429
97;07:48:24.381;enp0s25;69116;3849850
98;07:48:25.388;enp0s25;14109;484913
99;07:48:26.395;enp0s25;75646;2646985
100;07:48:27.402;enp0s25;51933;1104098
101;07:48:28.411;enp0s25;49083;1992513
102;07:48:29.419;enp0s25;50613;790050
103;07:48:30.434;enp0s25;63406;3116121
104;07:48:31.441;enp0s25;40568;414913
105;07:48:32.453;enp0s25;46545;2151886
106;07:48:33.459;enp0s25;24426;1432464
107;07:48:34.466;enp0s25;0;64
108;07:48:35.473;enp0s25;0;0
109;07:48:36.480;enp0s25;0;64
110;07:48:37.487;enp0s25;1540;26406
111;07:48:38.494;enp0s25;0;64
112;07:48:39.501;enp0s25;12144;751714
113;07:48:40.508;enp0s25;3726;90414
114;07:48:41.515;enp0s25;17060;547555
115;07:48:42.522;enp0s25;22154;901038
116;07:48:43.529;enp0s25;30194;1134600
117;07:48:44.535;enp0s25;47272;1998134
118;07:48:45.543;enp0s25;27070;1846302
119;07:48:46.550;enp0s25;7254;200310
120;07:48:47.558;enp0s25;38866;2041512
121;07:48:48.568;enp0s25;28696;1397457
122;07:48:49.582;enp0s25;14176;801285
123;07:48:50.591;enp0s25;1984;1298
124;07:48:51.598;enp0s25;96587;1856742
125;07:48:52.610;enp0s25;32422;580062
126;07:48:53.618;enp0s25;17866;82544
127;07:48:54.625;enp0s25;74262;1293350
128;07:48:55.632;enp0s25;1920;960
129;07:48:56.639;enp0s25;58565;1242368
130;07:48:57.647;enp0s25;138304;3276296
131;07:48:58.654;enp0s25;37854;676241
132;07:48:59.663;enp0s25;26472;607936
133;07:49:00.671;enp0s25;47034;816418
134;07:49:01.681;enp0s25;44155;1014961
135;07:49:02.690;enp0s25;4668;3593
136;07:49:03.697;enp0s25;21260;249997
137;07:49:04.703;enp0s25;101065;1569890
138;07:49:05.710;enp0s25;99269;2252550
139;07:49:06.719;enp0s25;0;64
140;07:49:07.726;enp0s25;0;0
141;07:49:08.733;enp0s25;960;64
142;07:49:09.740;enp0s25;960;960
143;07:49:10.747;enp0s25;0;64
144;07:49:11.754;enp0s25;0;0
145;07:49:12.760;enp0s25;64;128
146;07:49:13.767;enp0s25;0;0
147;07:49:14.774;enp0s25;0;64
148;07:49:15.781;enp0s25;0;0
149;07:49:16.788;enp0s25;0;64
150;07:49:17.795;enp0s25;0;0
151;07:49:18.802;enp0s25;0;64
152;07:49:19.808;enp0s25;0;0
153;07:49:20.815;enp0s25;0;64
154;07:49:21.822;enp0s25;0;0
155;07:49:22.829;enp0s25;0;64
156;07:49:23.839;enp0s25;64;64
157;07:49:24.846;enp0s25;0;64
158;07:49:25.853;enp0s25;1514;3288
159;07:49:26.860;enp0s25;0;64
