ID; Time; CPU %; MEM %; MEM KiB
1;13:54:25.241;20.0;14.638661;2949176
2;13:54:25.416;1.5;14.641143;2949392
3;13:54:25.591;3.1;14.641838;2949532
4;13:54:25.759;3.2;14.642116;2949864
5;13:54:25.928;1.5;14.644220;2950012
6;13:54:26.098;7.5;14.644856;2950140
7;13:54:26.271;1.5;14.644578;2950084
8;13:54:26.446;3.1;14.645312;2950452
9;13:54:26.620;3.1;14.646702;2950772
10;13:54:26.792;6.5;14.649760;2951128
11;13:54:26.962;4.6;14.651250;2951208
12;13:54:27.137;1.7;14.650753;2951096
13;13:54:27.309;1.8;14.647060;2950860
14;13:54:27.480;0.0;14.647536;2950680
15;13:54:27.650;1.5;14.654288;2952040
16;13:54:27.826;1.5;14.664414;2954080
17;13:54:28.003;3.0;14.648827;2950940
18;13:54:28.174;0.0;14.648648;2950904
19;13:54:28.346;1.5;14.654010;2951984
20;13:54:28.522;1.5;14.660225;2953016
21;13:54:28.697;1.5;14.663283;2953852
22;13:54:28.867;7.2;14.648172;2950588
23;13:54:29.042;0.0;14.647973;2951004
24;13:54:29.216;2.9;14.653732;2951928
25;13:54:29.394;3.0;14.649800;2951388
26;13:54:29.565;2.9;14.647934;2950760
27;13:54:29.737;3.1;14.646524;2950476
28;13:54:29.907;0.0;14.649522;2951080
29;13:54:30.077;1.7;14.649244;2951472
30;13:54:30.247;3.3;14.652302;2951640
31;13:54:30.418;0.0;14.650435;2951264
32;13:54:30.588;1.7;14.646226;2950788
33;13:54:30.757;4.9;14.678334;2957344
34;13:54:30.927;4.5;14.709171;2963348
35;13:54:31.096;1.6;14.752379;2971580
36;13:54:31.264;1.5;14.791595;2979700
37;13:54:31.432;0.0;14.823028;2985812
38;13:54:31.601;0.0;14.864627;2994412
39;13:54:31.769;1.6;14.907637;3002856
40;13:54:31.938;1.6;14.947985;3011204
41;13:54:32.106;1.6;14.987043;3019072
42;13:54:32.274;1.6;15.030370;3027580
43;13:54:32.442;1.6;15.060254;3033820
44;13:54:32.610;1.5;15.091666;3040416
45;13:54:32.778;0.0;15.088470;3039764
46;13:54:32.946;0.0;15.090316;3039656
47;13:54:33.115;0.0;15.094387;3040696
48;13:54:33.283;1.5;15.092818;3040380
49;13:54:33.451;0.0;15.091647;3040144
50;13:54:33.619;1.5;15.091170;3039828
51;13:54:33.788;0.0;15.091170;3039828
52;13:54:33.957;0.0;15.120101;3045656
53;13:54:34.126;0.0;15.181060;3058156
54;13:54:34.294;1.3;15.223593;3066724
55;13:54:34.463;1.6;15.645047;3151628
56;13:54:34.632;3.1;15.672767;3157208
57;13:54:34.801;1.6;15.672608;3156956
58;13:54:34.970;0.0;15.672767;3157208
59;13:54:35.139;1.5;15.714207;3165596
60;13:54:35.309;0.0;15.757057;3174188
61;13:54:35.478;0.0;15.757057;3174188
62;13:54:35.646;1.5;15.758507;3174260
63;13:54:35.815;1.5;15.757097;3174464
64;13:54:35.984;1.6;15.757057;3174228
65;13:54:36.153;1.5;15.755806;3173936
66;13:54:36.322;1.5;15.758626;3174772
67;13:54:36.491;1.5;15.759242;3174628
68;13:54:36.659;0.0;15.759083;3174376
69;13:54:36.827;0.0;15.757832;3174124
70;13:54:36.995;0.0;15.756581;3174092
71;13:54:37.163;1.6;15.756084;3173700
72;13:54:37.335;3.1;15.755389;3173852
73;13:54:37.505;0.0;15.751597;3173088
74;13:54:37.675;0.0;15.753900;3173552
75;13:54:37.845;1.5;15.756283;3173812
76;13:54:38.019;3.2;15.760334;3175092
77;13:54:38.193;4.5;15.762081;3175200
78;13:54:38.373;1.5;15.760632;3174908
79;13:54:38.549;1.5;15.760512;3175160
80;13:54:38.724;3.0;15.756065;3173988
81;13:54:38.902;6.2;15.759976;3175028
82;13:54:39.076;3.0;15.762478;3175280
83;13:54:39.247;4.5;15.759381;3174656
84;13:54:39.420;2.9;15.761227;3175028
85;13:54:39.593;1.4;15.769368;3176668
86;13:54:39.770;1.4;15.774730;3177748
87;13:54:39.947;3.2;15.761148;3175012
88;13:54:40.119;1.9;15.763968;3175580
89;13:54:40.292;1.5;15.766867;3175752
90;13:54:40.467;3.4;15.759142;3174608
91;13:54:40.638;0.0;15.758706;3174780
