ID; Time; Network interface; TBPS; RBPS
1;22:08:15.772;enp0s25;64;64
2;22:08:16.780;enp0s25;0;64
3;22:08:17.791;enp0s25;4419;9386
4;22:08:18.805;enp0s25;59134;1807711
5;22:08:19.818;enp0s25;70;304
6;22:08:20.826;enp0s25;3997;38367
7;22:08:21.839;enp0s25;15001;540408
8;22:08:22.853;enp0s25;14000;596638
9;22:08:23.862;enp0s25;11270;467544
10;22:08:24.877;enp0s25;10080;432694
11;22:08:25.888;enp0s25;10010;431112
12;22:08:26.898;enp0s25;11824;501068
13;22:08:27.909;enp0s25;11130;473616
14;22:08:28.917;enp0s25;10850;464572
15;22:08:29.933;enp0s25;12600;531300
16;22:08:30.946;enp0s25;13230;554134
17;22:08:31.961;enp0s25;12110;514602
18;22:08:32.972;enp0s25;10990;467608
19;22:08:33.988;enp0s25;14700;625416
20;22:08:35.003;enp0s25;14490;619408
21;22:08:36.021;enp0s25;9240;390126
22;22:08:37.036;enp0s25;11830;501004
23;22:08:38.050;enp0s25;11754;499486
24;22:08:39.059;enp0s25;11270;476716
25;22:08:40.076;enp0s25;14378;531300
26;22:08:41.091;enp0s25;13650;575386
27;22:08:42.107;enp0s25;13300;564696
28;22:08:43.121;enp0s25;14350;613443
29;22:08:44.133;enp0s25;14490;619451
30;22:08:45.143;enp0s25;14560;622444
31;22:08:46.155;enp0s25;13440;566214
32;22:08:47.169;enp0s25;13790;586012
33;22:08:48.182;enp0s25;14630;625416
34;22:08:49.194;enp0s25;12944;551162
35;22:08:50.205;enp0s25;11690;494868
36;22:08:51.217;enp0s25;10570;455464
37;22:08:52.235;enp0s25;11060;470580
38;22:08:53.248;enp0s25;14560;622444
39;22:08:54.260;enp0s25;12810;544962
40;22:08:55.269;enp0s25;10990;467608
41;22:08:56.283;enp0s25;14560;622380
42;22:08:57.298;enp0s25;13720;581458
43;22:08:58.310;enp0s25;11550;490314
44;22:08:59.321;enp0s25;11894;501068
45;22:09:00.332;enp0s25;13370;570768
46;22:09:01.348;enp0s25;10360;444838
47;22:09:02.362;enp0s25;11130;473616
48;22:09:03.378;enp0s25;12950;551098
49;22:09:04.394;enp0s25;11060;470580
50;22:09:05.408;enp0s25;13294;563306
51;22:09:06.418;enp0s25;13930;593538
52;22:09:07.433;enp0s25;14490;619408
53;22:09:08.450;enp0s25;14770;628452
54;22:09:09.468;enp0s25;14930;631622
55;22:09:10.482;enp0s25;14624;622444
56;22:09:11.493;enp0s25;10850;460018
57;22:09:12.503;enp0s25;10500;449328
58;22:09:13.517;enp0s25;12670;541990
59;22:09:14.534;enp0s25;14560;619451
60;22:09:15.546;enp0s25;11060;467715
61;22:09:16.560;enp0s25;12284;537372
62;22:09:17.569;enp0s25;12880;548062
63;22:09:18.585;enp0s25;10990;467544
64;22:09:19.601;enp0s25;10990;470580
65;22:09:20.617;enp0s25;13020;551098
66;22:09:21.630;enp0s25;14764;625480
67;22:09:22.644;enp0s25;12180;522256
68;22:09:23.659;enp0s25;12950;547998
69;22:09:24.675;enp0s25;10850;464572
70;22:09:25.689;enp0s25;12810;541926
71;22:09:26.699;enp0s25;10920;464572
72;22:09:27.711;enp0s25;9940;414414
73;22:09:28.725;enp0s25;9800;423586
74;22:09:29.742;enp0s25;14700;625416
75;22:09:30.756;enp0s25;9870;420550
76;22:09:31.772;enp0s25;9660;409860
77;22:09:32.779;enp0s25;10214;431240
78;22:09:33.792;enp0s25;9170;387090
79;22:09:34.809;enp0s25;14560;622444
80;22:09:35.824;enp0s25;14490;619344
81;22:09:36.841;enp0s25;14560;619408
82;22:09:37.854;enp0s25;12810;544962
83;22:09:38.865;enp0s25;10710;450910
84;22:09:39.878;enp0s25;10920;464508
85;22:09:40.895;enp0s25;10920;464572
86;22:09:41.907;enp0s25;9310;393162
87;22:09:42.924;enp0s25;14210;616372
88;22:09:43.936;enp0s25;11054;464572
89;22:09:44.949;enp0s25;10990;467715
90;22:09:45.966;enp0s25;11060;473723
91;22:09:46.984;enp0s25;3990;159096
92;22:09:47.992;enp0s25;0;0
93;22:09:49.000;enp0s25;0;64
94;22:09:50.006;enp0s25;0;0
95;22:09:51.014;enp0s25;0;64
96;22:09:52.021;enp0s25;0;0
97;22:09:53.028;enp0s25;0;64
98;22:09:54.035;enp0s25;0;0
99;22:09:55.042;enp0s25;64;128
100;22:09:56.049;enp0s25;0;0
101;22:09:57.057;enp0s25;0;64
102;22:09:58.063;enp0s25;0;0
103;22:09:59.073;enp0s25;0;64
104;22:10:00.089;enp0s25;0;0
105;22:10:01.095;enp0s25;0;64
106;22:10:02.102;enp0s25;0;0
107;22:10:03.109;enp0s25;0;64
108;22:10:04.116;enp0s25;0;0
109;22:10:05.123;enp0s25;335;558
110;22:10:06.138;enp0s25;726;4063
111;22:10:07.146;enp0s25;0;64
112;22:10:08.153;enp0s25;0;0
113;22:10:09.160;enp0s25;0;64
114;22:10:10.175;enp0s25;0;0
115;22:10:11.191;enp0s25;0;64
116;22:10:12.199;enp0s25;34113;817474
117;22:10:13.210;enp0s25;36890;1621358
118;22:10:14.217;enp0s25;22960;1029204
119;22:10:15.224;enp0s25;18620;827374
120;22:10:16.235;enp0s25;21140;941267
121;22:10:17.247;enp0s25;25432;1116035
122;22:10:18.258;enp0s25;36610;1625778
123;22:10:19.273;enp0s25;26250;1185622
124;22:10:20.289;enp0s25;17360;769626
125;22:10:21.299;enp0s25;20370;924526
126;22:10:22.311;enp0s25;19040;851598
127;22:10:23.356;enp0s25;14280;637624
128;22:10:24.373;enp0s25;16940;765072
129;22:10:25.390;enp0s25;20580;938188
130;22:10:26.404;enp0s25;21280;942678
131;22:10:27.418;enp0s25;20364;924590
132;22:10:28.427;enp0s25;18970;856152
133;22:10:29.439;enp0s25;16800;760582
134;22:10:30.454;enp0s25;18130;821238
135;22:10:31.470;enp0s25;20160;916936
136;22:10:32.487;enp0s25;27930;1241724
137;22:10:33.498;enp0s25;32900;1434574
138;22:10:34.508;enp0s25;18270;842490
139;22:10:35.522;enp0s25;31990;1420912
140;22:10:36.531;enp0s25;37030;1621224
141;22:10:37.541;enp0s25;28490;1275184
142;22:10:38.556;enp0s25;22604;1008016
143;22:10:39.567;enp0s25;80892;3893804
144;22:10:40.580;enp0s25;150367;6799885
145;22:10:41.591;enp0s25;152250;7168060
146;22:10:42.598;enp0s25;143080;6738466
147;22:10:43.605;enp0s25;120264;5755581
148;22:10:44.620;enp0s25;40740;1572712
149;22:10:45.627;enp0s25;26139;1026528
150;22:10:46.642;enp0s25;25470;979478
151;22:10:47.653;enp0s25;27207;1148376
152;22:10:48.664;enp0s25;25130;1111347
153;22:10:49.672;enp0s25;36954;1616734
154;22:10:50.684;enp0s25;36820;1660756
155;22:10:51.692;enp0s25;35770;1612116
156;22:10:52.700;enp0s25;36750;1625842
157;22:10:53.711;enp0s25;35980;1616670
158;22:10:54.721;enp0s25;30136;1331186
159;22:10:55.735;enp0s25;14508;614994
160;22:10:56.744;enp0s25;25366;1000786
161;22:10:57.757;enp0s25;37730;1672836
162;22:10:58.767;enp0s25;27510;1211428
163;22:10:59.780;enp0s25;25410;1130910
164;22:11:00.791;enp0s25;26987;1134352
165;22:11:01.807;enp0s25;5293;128489
166;22:11:02.818;enp0s25;7505;146955
167;22:11:03.830;enp0s25;10958;273339
168;22:11:04.843;enp0s25;6720;130904
169;22:11:05.854;enp0s25;6525;205918
170;22:11:06.867;enp0s25;12386;360246
171;22:11:07.875;enp0s25;23557;914692
172;22:11:08.887;enp0s25;9588;217558
173;22:11:09.904;enp0s25;7020;190696
174;22:11:10.918;enp0s25;7092;180765
175;22:11:11.934;enp0s25;11443;293185
176;22:11:12.947;enp0s25;26374;1120957
177;22:11:13.955;enp0s25;35724;1562347
178;22:11:14.968;enp0s25;35377;1486304
179;22:11:15.978;enp0s25;14071;440777
180;22:11:16.988;enp0s25;18328;782557
181;22:11:17.997;enp0s25;0;905
182;22:11:19.004;enp0s25;0;171
183;22:11:20.011;enp0s25;0;0
184;22:11:21.019;enp0s25;0;64
185;22:11:22.025;enp0s25;0;798
186;22:11:23.032;enp0s25;64;128
187;22:11:24.041;enp0s25;0;0
188;22:11:25.049;enp0s25;0;64
189;22:11:26.057;enp0s25;0;0
190;22:11:27.066;enp0s25;0;64
191;22:11:28.074;enp0s25;0;0
192;22:11:29.081;enp0s25;0;64
193;22:11:30.089;enp0s25;0;0
194;22:11:31.096;enp0s25;0;64
195;22:11:32.104;enp0s25;0;0
196;22:11:33.111;enp0s25;0;64
