ID; Time; Network interface; TBPS; RBPS
1;08:13:14.567;enp0s25;0;64
2;08:13:15.577;enp0s25;0;0
3;08:13:16.586;enp0s25;8431;113897
4;08:13:17.599;enp0s25;55501;1655591
5;08:13:18.605;enp0s25;0;64
6;08:13:19.612;enp0s25;73999;3510136
7;08:13:20.626;enp0s25;144904;7171096
8;08:13:21.636;enp0s25;152460;7164960
9;08:13:22.644;enp0s25;152180;7165024
10;08:13:23.652;enp0s25;148910;7165030
11;08:13:24.660;enp0s25;152460;7169578
12;08:13:25.670;enp0s25;100380;4828400
13;08:13:26.678;enp0s25;0;64
14;08:13:27.688;enp0s25;0;0
15;08:13:28.695;enp0s25;0;64
16;08:13:29.703;enp0s25;0;0
17;08:13:30.710;enp0s25;64;128
18;08:13:31.716;enp0s25;0;0
19;08:13:32.723;enp0s25;0;64
20;08:13:33.729;enp0s25;0;0
21;08:13:34.736;enp0s25;0;64
22;08:13:35.743;enp0s25;0;0
23;08:13:36.753;enp0s25;0;64
24;08:13:37.762;enp0s25;0;0
25;08:13:38.777;enp0s25;0;64
26;08:13:39.785;enp0s25;0;0
27;08:13:40.796;enp0s25;0;64
28;08:13:41.804;enp0s25;64;64
29;08:13:42.811;enp0s25;0;64
30;08:13:43.821;enp0s25;844;4164
31;08:13:44.830;enp0s25;0;64
32;08:13:45.837;enp0s25;0;0
33;08:13:46.844;enp0s25;0;64
34;08:13:47.855;enp0s25;0;0
35;08:13:48.869;enp0s25;0;64
36;08:13:49.877;enp0s25;7578;165214
37;08:13:50.889;enp0s25;148903;6209000
38;08:13:51.897;enp0s25;153064;7164960
39;08:13:52.905;enp0s25;152454;7166606
40;08:13:53.913;enp0s25;152250;7163442
41;08:13:54.921;enp0s25;147340;7165024
42;08:13:55.929;enp0s25;145559;6770993
43;08:13:56.937;enp0s25;152110;7163506
44;08:13:57.943;enp0s25;152600;7161924
45;08:13:58.955;enp0s25;154057;7100129
46;08:13:59.963;enp0s25;151760;7164960
47;08:14:00.971;enp0s25;115335;5317618
48;08:14:01.978;enp0s25;117260;5163984
49;08:14:02.992;enp0s25;82901;2430448
50;08:14:04.006;enp0s25;135871;5814474
51;08:14:05.014;enp0s25;134;198
52;08:14:06.022;enp0s25;0;0
53;08:14:07.032;enp0s25;0;64
54;08:14:08.039;enp0s25;0;0
55;08:14:09.046;enp0s25;0;64
56;08:14:10.055;enp0s25;0;64
57;08:14:11.062;enp0s25;94;1240
58;08:14:12.070;enp0s25;0;2464
59;08:14:13.078;enp0s25;0;1026
60;08:14:14.085;enp0s25;0;1466
61;08:14:15.092;enp0s25;64;1348
62;08:14:16.100;enp0s25;0;64
63;08:14:17.107;enp0s25;0;64
64;08:14:18.117;enp0s25;0;1278
65;08:14:19.125;enp0s25;0;0
66;08:14:20.132;enp0s25;0;64
67;08:14:21.142;enp0s25;0;0
68;08:14:22.148;enp0s25;0;64
69;08:14:23.157;enp0s25;99771;3377770
70;08:14:24.172;enp0s25;21500;752612
71;08:14:25.180;enp0s25;64;64
72;08:14:26.190;enp0s25;0;64
73;08:14:27.198;enp0s25;0;438
74;08:14:28.205;enp0s25;0;64
75;08:14:29.212;enp0s25;0;0
76;08:14:30.219;enp0s25;0;64
77;08:14:31.227;enp0s25;19665;739075
78;08:14:32.235;enp0s25;28366;1039518
79;08:14:33.244;enp0s25;28162;1112423
80;08:14:34.256;enp0s25;6832;233885
81;08:14:35.272;enp0s25;9182;349333
82;08:14:36.395;enp0s25;64;128
83;08:14:37.409;enp0s25;3786;144529
84;08:14:38.426;enp0s25;4768;156964
85;08:14:39.443;enp0s25;3006;96617
86;08:14:40.453;enp0s25;2790;87336
87;08:14:41.465;enp0s25;5638;178474
88;08:14:42.482;enp0s25;1472;49550
89;08:14:43.499;enp0s25;1352;45854
90;08:14:44.515;enp0s25;0;1348
91;08:14:45.531;enp0s25;3640;107154
92;08:14:46.545;enp0s25;1862;68011
93;08:14:47.554;enp0s25;1934;86337
94;08:14:48.565;enp0s25;1788;63762
95;08:14:49.578;enp0s25;0;0
96;08:14:50.592;enp0s25;2544;101391
97;08:14:51.606;enp0s25;1024;47030
98;08:14:52.614;enp0s25;1224;37639
99;08:14:53.629;enp0s25;1916;71011
100;08:14:54.643;enp0s25;0;64
101;08:14:55.661;enp0s25;2426;99845
102;08:14:56.674;enp0s25;1662;70014
103;08:14:57.685;enp0s25;0;0
104;08:14:58.703;enp0s25;1744;70136
105;08:14:59.712;enp0s25;1582;71870
106;08:15:00.728;enp0s25;2044;83370
107;08:15:01.745;enp0s25;1970;74546
108;08:15:02.759;enp0s25;0;1348
109;08:15:03.769;enp0s25;1494;65638
110;08:15:04.788;enp0s25;1848;64295
111;08:15:05.806;enp0s25;1602;86049
112;08:15:06.820;enp0s25;2434;113324
113;08:15:07.834;enp0s25;2488;108896
114;08:15:08.844;enp0s25;2138;77841
115;08:15:09.861;enp0s25;1462;46514
116;08:15:10.876;enp0s25;1850;73139
117;08:15:11.891;enp0s25;1846;68137
118;08:15:12.907;enp0s25;4170;160760
119;08:15:13.919;enp0s25;1716;70265
120;08:15:14.926;enp0s25;3850;136577
121;08:15:15.945;enp0s25;1794;70178
122;08:15:16.963;enp0s25;0;64
123;08:15:17.980;enp0s25;30306;1223682
124;08:15:18.988;enp0s25;856;18103
125;08:15:19.999;enp0s25;14496;640317
126;08:15:21.009;enp0s25;2584;29202
127;08:15:22.024;enp0s25;13192;429485
128;08:15:23.034;enp0s25;16460;590068
129;08:15:24.048;enp0s25;0;0
130;08:15:25.060;enp0s25;27160;1186847
131;08:15:26.070;enp0s25;52256;2430787
132;08:15:27.081;enp0s25;5274;117676
133;08:15:28.089;enp0s25;1368;20426
134;08:15:29.101;enp0s25;1438;25732
135;08:15:30.113;enp0s25;814;16105
136;08:15:31.128;enp0s25;23986;1113091
137;08:15:32.138;enp0s25;16454;794567
138;08:15:33.149;enp0s25;16728;700994
139;08:15:34.161;enp0s25;0;64
140;08:15:35.176;enp0s25;18446;720559
141;08:15:36.193;enp0s25;0;64
142;08:15:37.208;enp0s25;13700;582379
143;08:15:38.222;enp0s25;12742;539109
144;08:15:39.236;enp0s25;12596;460804
145;08:15:40.249;enp0s25;12802;560825
146;08:15:41.259;enp0s25;6738;216098
147;08:15:42.274;enp0s25;2392;44083
148;08:15:43.287;enp0s25;4358;108568
149;08:15:44.300;enp0s25;5930;67395
150;08:15:45.314;enp0s25;3510;126055
151;08:15:46.329;enp0s25;2634;39009
152;08:15:47.339;enp0s25;4242;117419
153;08:15:48.347;enp0s25;3308;51417
154;08:15:49.358;enp0s25;4534;158582
155;08:15:50.375;enp0s25;8826;378030
156;08:15:51.385;enp0s25;9588;377299
157;08:15:52.394;enp0s25;888;17249
158;08:15:53.402;enp0s25;1914;43582
159;08:15:54.417;enp0s25;1282;39001
160;08:15:55.432;enp0s25;9774;375716
161;08:15:56.447;enp0s25;8062;281970
162;08:15:57.463;enp0s25;2130;58556
163;08:15:58.477;enp0s25;8210;221147
164;08:15:59.489;enp0s25;1730;19936
165;08:16:00.505;enp0s25;10322;350366
166;08:16:01.520;enp0s25;15868;416890
167;08:16:02.535;enp0s25;6928;263126
168;08:16:03.543;enp0s25;31178;1243523
169;08:16:04.555;enp0s25;7258;228115
170;08:16:05.565;enp0s25;13270;383894
171;08:16:06.573;enp0s25;2786;70183
172;08:16:07.584;enp0s25;4626;158879
173;08:16:08.602;enp0s25;4588;89735
174;08:16:09.619;enp0s25;8016;252557
175;08:16:10.633;enp0s25;2400;47478
176;08:16:11.646;enp0s25;27224;1133865
177;08:16:12.655;enp0s25;9650;284572
178;08:16:13.662;enp0s25;15448;547448
179;08:16:14.676;enp0s25;960;23722
180;08:16:15.693;enp0s25;6612;210111
181;08:16:16.710;enp0s25;10590;374399
182;08:16:17.724;enp0s25;16176;408593
183;08:16:18.731;enp0s25;2800;71063
184;08:16:19.740;enp0s25;4768;168575
185;08:16:20.756;enp0s25;46504;2100135
186;08:16:21.768;enp0s25;18846;547560
187;08:16:22.776;enp0s25;8794;209516
188;08:16:23.788;enp0s25;17734;798895
189;08:16:24.797;enp0s25;16740;433159
190;08:16:25.809;enp0s25;14302;315301
191;08:16:26.816;enp0s25;18460;565891
192;08:16:27.823;enp0s25;13524;338648
193;08:16:28.831;enp0s25;13564;330861
194;08:16:29.839;enp0s25;13372;257567
195;08:16:30.850;enp0s25;6076;96832
196;08:16:31.867;enp0s25;20742;746416
197;08:16:32.875;enp0s25;13352;438431
198;08:16:33.883;enp0s25;10642;224394
199;08:16:34.892;enp0s25;7556;146268
200;08:16:35.900;enp0s25;11712;147138
201;08:16:36.910;enp0s25;32408;1298358
202;08:16:37.917;enp0s25;25676;1117896
203;08:16:38.933;enp0s25;35418;1639717
204;08:16:39.942;enp0s25;42574;1877353
205;08:16:40.950;enp0s25;52986;2431853
206;08:16:41.958;enp0s25;21018;687485
207;08:16:42.965;enp0s25;4628;137527
208;08:16:43.974;enp0s25;12144;267727
209;08:16:44.981;enp0s25;16698;410564
210;08:16:45.988;enp0s25;6048;189581
211;08:16:46.996;enp0s25;16844;539071
212;08:16:48.005;enp0s25;17392;596692
213;08:16:49.014;enp0s25;14054;263753
214;08:16:50.026;enp0s25;3218;45964
215;08:16:51.038;enp0s25;13384;233925
216;08:16:52.047;enp0s25;21828;701406
217;08:16:53.054;enp0s25;4710;116745
218;08:16:54.069;enp0s25;10954;276444
219;08:16:55.085;enp0s25;30476;1437350
220;08:16:56.096;enp0s25;8076;339552
221;08:16:57.112;enp0s25;35102;1724378
222;08:16:58.129;enp0s25;50290;2491577
223;08:16:59.143;enp0s25;23354;1031619
224;08:17:00.160;enp0s25;5268;165130
225;08:17:01.169;enp0s25;4608;119653
226;08:17:02.179;enp0s25;9910;265781
227;08:17:03.196;enp0s25;21788;720745
228;08:17:04.206;enp0s25;32290;1532142
229;08:17:05.217;enp0s25;17564;477435
230;08:17:06.226;enp0s25;6744;147790
231;08:17:07.239;enp0s25;6418;107334
232;08:17:08.250;enp0s25;2656;36506
233;08:17:09.258;enp0s25;24104;851282
234;08:17:10.265;enp0s25;23470;808266
235;08:17:11.272;enp0s25;55106;2611177
236;08:17:12.280;enp0s25;86796;4269053
237;08:17:13.292;enp0s25;3426;55507
238;08:17:14.305;enp0s25;2170;19861
239;08:17:15.313;enp0s25;5614;124978
240;08:17:16.322;enp0s25;11944;254155
241;08:17:17.331;enp0s25;39018;1934204
242;08:17:18.342;enp0s25;26062;1098266
243;08:17:19.351;enp0s25;8024;195294
244;08:17:20.360;enp0s25;0;64
245;08:17:21.367;enp0s25;64;64
246;08:17:22.374;enp0s25;0;64
247;08:17:23.381;enp0s25;0;0
248;08:17:24.387;enp0s25;0;64
249;08:17:25.394;enp0s25;0;0
250;08:17:26.400;enp0s25;0;64
251;08:17:27.407;enp0s25;0;0
