ID; Time; CPU %; MEM %; MEM KiB
1;08:25:25.768;20.6;10.695438;2155256
2;08:25:25.946;0.0;10.698694;2155204
3;08:25:26.115;1.5;10.700620;2155372
4;08:25:26.283;0.0;10.700819;2155632
5;08:25:26.450;3.2;10.701057;2155460
6;08:25:26.617;1.6;10.700044;2155572
7;08:25:26.785;0.0;10.702189;2155908
8;08:25:26.953;3.0;10.704591;2156392
9;08:25:27.120;3.0;10.700839;2155856
10;08:25:27.288;1.5;10.701375;2155744
11;08:25:27.456;1.6;10.701136;2155696
12;08:25:27.622;3.1;10.700600;2155636
13;08:25:27.790;3.1;10.706041;2156464
14;08:25:27.957;1.5;10.706041;2156684
15;08:25:28.133;0.0;10.706279;2156732
16;08:25:28.307;1.5;10.705227;2156520
17;08:25:28.483;1.5;10.706835;2156844
18;08:25:28.654;3.0;10.704929;2156784
19;08:25:28.822;10.3;10.705167;2156692
20;08:25:28.991;3.0;10.706160;2156708
21;08:25:29.159;3.1;10.704830;2156220
22;08:25:29.325;0.0;10.704671;2156408
23;08:25:29.495;1.5;10.703897;2156300
24;08:25:29.664;0.0;10.703102;2156092
25;08:25:29.831;0.0;10.702328;2155936
26;08:25:29.999;0.0;10.709516;2157164
27;08:25:30.166;0.0;10.816999;2179412
28;08:25:30.335;6.0;11.011593;2218236
29;08:25:30.504;1.5;11.012844;2218536
30;08:25:30.673;1.6;11.014095;2218976
31;08:25:30.841;1.5;11.016557;2219284
32;08:25:31.017;3.1;11.018046;2220088
33;08:25:31.191;4.5;11.020568;2219824
34;08:25:31.361;7.8;11.020409;2220072
35;08:25:31.531;6.9;11.023129;2220340
36;08:25:31.706;1.4;11.025452;2221280
37;08:25:31.878;2.7;11.024499;2221060
38;08:25:32.050;12.0;11.020687;2220068
39;08:25:32.218;13.5;11.019912;2219912
40;08:25:32.386;13.7;11.022931;2220520
41;08:25:32.556;14.5;11.019237;2219776
42;08:25:32.726;17.3;11.020588;2220048
43;08:25:32.896;11.6;11.020329;2220256
44;08:25:33.068;10.7;11.021005;2220132
45;08:25:33.238;11.6;11.020687;2220068
46;08:25:33.408;10.8;11.020846;2220644
47;08:25:33.578;12.7;11.024579;2220852
48;08:25:33.746;15.1;11.023189;2220572
49;08:25:33.915;7.2;11.022692;2220472
50;08:25:34.086;11.3;11.020369;2220272
51;08:25:34.255;8.3;11.021898;2220312
52;08:25:34.424;11.3;11.019873;2219912
53;08:25:34.595;15.9;11.020925;2220116
54;08:25:34.765;9.0;11.021203;2220172
55;08:25:34.936;0.0;11.022613;2220700
56;08:25:35.110;2.9;11.025492;2220816
57;08:25:35.286;0.0;11.021700;2220272
58;08:25:35.462;3.0;11.022474;2220500
59;08:25:35.638;1.5;11.023407;2220640
60;08:25:35.810;1.5;11.022593;2220468
61;08:25:35.986;3.1;11.024082;2220752
62;08:25:36.159;1.5;11.023606;2220656
63;08:25:36.331;1.6;11.022315;2220396
64;08:25:36.505;0.0;11.023050;2220804
65;08:25:36.680;2.9;11.024201;2220556
66;08:25:36.855;1.5;11.024241;2220784
67;08:25:37.031;2.9;11.023427;2220620
68;08:25:37.206;13.9;11.022653;2220464
69;08:25:37.376;9.4;11.022335;2220180
70;08:25:37.546;4.5;11.028729;2221468
71;08:25:37.721;2.9;11.035917;2223136
72;08:25:37.892;0.0;11.039948;2223948
73;08:25:38.068;4.5;11.021382;2220216
74;08:25:38.242;11.6;11.021223;2219956
75;08:25:38.410;8.5;11.021441;2220220
76;08:25:38.581;7.4;11.020647;2219840
77;08:25:38.752;5.6;11.020449;2219800
78;08:25:38.921;9.5;11.020588;2219828
79;08:25:39.091;13.9;11.020270;2220204
80;08:25:39.260;7.2;11.022474;2220208
81;08:25:39.431;9.4;11.021263;2220184
82;08:25:39.601;13.0;11.024082;2220752
83;08:25:39.773;7.1;11.020071;2219944
84;08:25:39.949;4.5;11.023626;2220440
85;08:25:40.127;3.0;11.021163;2220164
86;08:25:40.296;3.1;11.027379;2221440
87;08:25:40.464;3.1;11.048565;2227756
88;08:25:40.632;3.0;11.110875;2238236
89;08:25:40.802;3.1;11.284977;2273308
90;08:25:40.970;0.0;11.429750;2304520
91;08:25:41.139;0.0;11.624264;2341436
92;08:25:41.306;0.0;11.696741;2356084
93;08:25:41.474;5.8;11.699838;2357140
94;08:25:41.643;3.0;11.699799;2357132
95;08:25:41.811;4.8;11.714095;2359776
96;08:25:41.979;1.6;11.821956;2381260
97;08:25:42.147;1.5;11.868678;2391136
98;08:25:42.316;3.1;11.943716;2406008
99;08:25:42.484;2.8;11.944113;2406340
100;08:25:42.653;3.1;11.942564;2405776
101;08:25:42.823;0.0;11.945066;2406280
102;08:25:42.990;1.5;11.943656;2405996
103;08:25:43.158;1.6;11.942306;2405968
104;08:25:43.326;1.5;11.944828;2406012
105;08:25:43.494;1.6;11.943815;2406028
106;08:25:43.661;0.0;11.944748;2406216
