ID; Time; Network interface; TBPS; RBPS
1;13:36:50.735;enp0s25;0;394
2;13:36:51.797;enp0s25;2604;46346
3;13:36:52.808;enp0s25;0;0
4;13:36:53.815;enp0s25;0;64
5;13:36:54.822;enp0s25;64;444
6;13:36:55.829;enp0s25;0;64
7;13:36:56.835;enp0s25;0;0
8;13:36:57.842;enp0s25;0;64
9;13:36:58.857;enp0s25;0;0
10;13:36:59.873;enp0s25;3117;12198
11;13:37:00.881;enp0s25;368;527
12;13:37:01.896;enp0s25;108886;5519293
13;13:37:02.909;enp0s25;166432;7618912
14;13:37:03.918;enp0s25;174440;8031802
15;13:37:04.926;enp0s25;161844;8022700
16;13:37:05.936;enp0s25;170622;8162414
17;13:37:06.944;enp0s25;132692;6844588
18;13:37:07.951;enp0s25;0;64
19;13:37:08.958;enp0s25;0;0
20;13:37:09.965;enp0s25;0;64
21;13:37:10.972;enp0s25;0;0
22;13:37:11.979;enp0s25;0;64
23;13:37:12.985;enp0s25;0;0
24;13:37:13.992;enp0s25;0;64
25;13:37:14.999;enp0s25;179;109
26;13:37:16.005;enp0s25;0;64
27;13:37:17.012;enp0s25;64;64
28;13:37:18.021;enp0s25;0;64
29;13:37:19.028;enp0s25;0;0
30;13:37:20.040;enp0s25;0;2284
31;13:37:21.047;enp0s25;0;4672
32;13:37:22.054;enp0s25;0;1434
33;13:37:23.061;enp0s25;0;1982
34;13:37:24.068;enp0s25;587;5128
35;13:37:25.082;enp0s25;350;5041
36;13:37:26.090;enp0s25;0;2928
37;13:37:27.097;enp0s25;0;268
38;13:37:28.104;enp0s25;64;128
39;13:37:29.116;enp0s25;0;1386
40;13:37:30.131;enp0s25;0;568
41;13:37:31.141;enp0s25;0;268
42;13:37:32.148;enp0s25;1811;24622
43;13:37:33.155;enp0s25;630;19185
44;13:37:34.167;enp0s25;0;64
45;13:37:35.175;enp0s25;0;0
46;13:37:36.182;enp0s25;0;64
47;13:37:37.189;enp0s25;0;1658
48;13:37:38.198;enp0s25;0;2226
49;13:37:39.205;enp0s25;64;1434
50;13:37:40.211;enp0s25;0;1462
51;13:37:41.218;enp0s25;0;466
52;13:37:42.231;enp0s25;4371;9380
53;13:37:43.242;enp0s25;55604;1803451
54;13:37:44.251;enp0s25;104015;3552798
55;13:37:45.260;enp0s25;17292;591254
56;13:37:46.268;enp0s25;0;64
57;13:37:47.274;enp0s25;0;0
58;13:37:48.281;enp0s25;0;64
59;13:37:49.288;enp0s25;0;0
60;13:37:50.294;enp0s25;64;594
61;13:37:51.301;enp0s25;11110;224427
62;13:37:52.308;enp0s25;5423;7094
63;13:37:53.314;enp0s25;7887;54462
64;13:37:54.321;enp0s25;140;204
65;13:37:55.328;enp0s25;0;0
66;13:37:56.335;enp0s25;0;64
67;13:37:57.341;enp0s25;0;0
68;13:37:58.348;enp0s25;2967;26878
69;13:37:59.362;enp0s25;76396;2227342
70;13:38:00.370;enp0s25;72972;2624419
71;13:38:01.385;enp0s25;16450;442757
72;13:38:02.394;enp0s25;0;0
73;13:38:03.401;enp0s25;0;64
74;13:38:04.408;enp0s25;0;1212
75;13:38:05.414;enp0s25;0;3792
76;13:38:06.421;enp0s25;0;760
77;13:38:07.428;enp0s25;33113;1022272
78;13:38:08.437;enp0s25;6208;311949
79;13:38:09.445;enp0s25;0;64
80;13:38:10.455;enp0s25;0;1150
81;13:38:11.464;enp0s25;64;128
82;13:38:12.475;enp0s25;0;0
83;13:38:13.482;enp0s25;16510;471396
84;13:38:14.493;enp0s25;136856;5892899
85;13:38:15.509;enp0s25;0;64
86;13:38:16.516;enp0s25;0;0
87;13:38:17.522;enp0s25;0;744
88;13:38:18.529;enp0s25;0;0
89;13:38:19.537;enp0s25;11472;302024
90;13:38:20.544;enp0s25;70;70
91;13:38:21.551;enp0s25;0;64
92;13:38:22.557;enp0s25;64;458
93;13:38:23.564;enp0s25;0;64
94;13:38:24.571;enp0s25;21831;500084
95;13:38:25.579;enp0s25;187569;7923225
96;13:38:26.587;enp0s25;179060;8233632
97;13:38:27.596;enp0s25;179620;8224588
98;13:38:28.603;enp0s25;175464;8233632
99;13:38:29.611;enp0s25;171529;7797630
100;13:38:30.618;enp0s25;179480;8223006
101;13:38:31.626;enp0s25;172620;7919470
102;13:38:32.634;enp0s25;167087;8059441
103;13:38:33.642;enp0s25;178774;8227688
104;13:38:34.653;enp0s25;157615;7157801
105;13:38:35.671;enp0s25;76795;2382381
106;13:38:36.680;enp0s25;102497;3727411
107;13:38:37.688;enp0s25;62081;2567071
108;13:38:38.695;enp0s25;0;0
109;13:38:39.701;enp0s25;0;64
110;13:38:40.709;enp0s25;0;0
111;13:38:41.715;enp0s25;0;64
112;13:38:42.724;enp0s25;0;0
113;13:38:43.734;enp0s25;0;64
114;13:38:44.745;enp0s25;64;64
115;13:38:45.752;enp0s25;0;64
116;13:38:46.760;enp0s25;0;0
117;13:38:47.766;enp0s25;0;64
118;13:38:48.778;enp0s25;0;0
119;13:38:49.785;enp0s25;0;64
120;13:38:50.796;enp0s25;0;0
121;13:38:51.805;enp0s25;0;64
122;13:38:52.815;enp0s25;0;2556
123;13:38:53.829;enp0s25;0;2448
124;13:38:54.844;enp0s25;0;760
125;13:38:55.853;enp0s25;64;1278
126;13:38:56.861;enp0s25;0;412
127;13:38:57.869;enp0s25;0;1214
128;13:38:58.876;enp0s25;0;0
129;13:38:59.883;enp0s25;0;64
130;13:39:00.889;enp0s25;0;0
131;13:39:01.896;enp0s25;0;64
132;13:39:02.905;enp0s25;35839;490359
133;13:39:03.913;enp0s25;65242;1816241
134;13:39:04.920;enp0s25;81008;2256013
135;13:39:05.928;enp0s25;34718;704660
136;13:39:06.937;enp0s25;57232;1284116
137;13:39:07.949;enp0s25;38829;830289
138;13:39:08.958;enp0s25;0;0
139;13:39:09.964;enp0s25;97100;1495762
140;13:39:10.971;enp0s25;124049;2615323
141;13:39:11.979;enp0s25;6784;258778
142;13:39:12.985;enp0s25;0;0
143;13:39:13.992;enp0s25;0;64
144;13:39:14.999;enp0s25;1920;960
145;13:39:16.012;enp0s25;0;64
146;13:39:17.021;enp0s25;0;0
147;13:39:18.030;enp0s25;64;128
148;13:39:19.040;enp0s25;4851;22348
149;13:39:20.051;enp0s25;1822;4109
150;13:39:21.059;enp0s25;1610;23826
151;13:39:22.067;enp0s25;5401;44906
152;13:39:23.074;enp0s25;13498;287032
153;13:39:24.081;enp0s25;6099;130352
154;13:39:25.088;enp0s25;148;78
155;13:39:26.095;enp0s25;32244;763393
156;13:39:27.102;enp0s25;101755;2356523
157;13:39:28.115;enp0s25;98518;2836656
158;13:39:29.131;enp0s25;11124;207593
159;13:39:30.142;enp0s25;6562;133774
160;13:39:31.148;enp0s25;0;0
161;13:39:32.155;enp0s25;420;539
162;13:39:33.162;enp0s25;148;78
163;13:39:34.169;enp0s25;51600;1338218
164;13:39:35.180;enp0s25;4130;127345
165;13:39:36.187;enp0s25;420;539
166;13:39:37.194;enp0s25;2267;9030
167;13:39:38.200;enp0s25;8177;79142
168;13:39:39.207;enp0s25;50692;1330956
169;13:39:40.214;enp0s25;484;1363
170;13:39:41.221;enp0s25;3155;39828
171;13:39:42.228;enp0s25;8338;75898
172;13:39:43.234;enp0s25;46483;1323777
173;13:39:44.241;enp0s25;29673;642967
174;13:39:45.248;enp0s25;148;78
175;13:39:46.255;enp0s25;35681;831990
176;13:39:47.263;enp0s25;14000;464482
177;13:39:48.270;enp0s25;0;64
178;13:39:49.276;enp0s25;420;475
179;13:39:50.283;enp0s25;12515;117173
180;13:39:51.292;enp0s25;52515;1304690
181;13:39:52.298;enp0s25;2605;14210
182;13:39:53.305;enp0s25;3082;22919
183;13:39:54.312;enp0s25;13186;179984
184;13:39:55.319;enp0s25;106274;2904871
185;13:39:56.333;enp0s25;33530;1206194
186;13:39:57.340;enp0s25;420;475
187;13:39:58.353;enp0s25;21266;424242
188;13:39:59.365;enp0s25;52921;1493702
189;13:40:00.373;enp0s25;140;0
190;13:40:01.380;enp0s25;280;539
191;13:40:02.387;enp0s25;6288;29789
192;13:40:03.393;enp0s25;51739;1339886
193;13:40:04.400;enp0s25;14311;156126
194;13:40:05.407;enp0s25;10798;250043
195;13:40:06.413;enp0s25;2360;5245
196;13:40:07.420;enp0s25;56030;1372967
197;13:40:08.427;enp0s25;420;475
198;13:40:09.434;enp0s25;6351;44874
199;13:40:10.441;enp0s25;7335;77744
200;13:40:11.448;enp0s25;55317;1338925
201;13:40:12.454;enp0s25;17069;223329
202;13:40:13.461;enp0s25;65368;1804941
203;13:40:14.468;enp0s25;7958;172738
204;13:40:15.474;enp0s25;51311;1321137
205;13:40:16.481;enp0s25;420;475
206;13:40:17.488;enp0s25;27740;569251
207;13:40:18.494;enp0s25;1940;5182
208;13:40:19.501;enp0s25;50969;1321163
209;13:40:20.508;enp0s25;420;475
