ID; Time; CPU %; MEM %; MEM KiB
1;12:28:28.633;21.9;26.506283;5339572
2;12:28:28.809;0.0;26.510235;5340368
3;12:28:28.978;1.6;26.510235;5340620
4;12:28:29.147;1.6;26.512737;5340872
5;12:28:29.316;3.0;26.512876;5340900
6;12:28:29.484;1.6;26.511009;5340524
7;12:28:29.654;0.0;26.511307;5340584
8;12:28:29.823;6.2;26.514643;5341256
9;12:28:29.992;3.1;26.523161;5343224
10;12:28:30.164;1.6;26.523797;5343100
11;12:28:30.333;2.9;26.525048;5343604
12;12:28:30.507;0.0;26.524750;5343292
13;12:28:30.681;1.5;26.527073;5343864
14;12:28:30.855;1.5;26.527549;5343636
15;12:28:31.024;1.5;26.529178;5344184
16;12:28:31.192;1.6;26.529178;5344184
17;12:28:31.359;1.6;26.529178;5344184
18;12:28:31.527;1.6;26.535035;5345364
19;12:28:31.695;1.5;26.714081;5385748
20;12:28:31.865;6.2;26.796168;5397968
21;12:28:32.034;0.0;26.797578;5398252
22;12:28:32.202;3.1;26.797578;5398252
23;12:28:32.373;3.1;26.799206;5398580
24;12:28:32.546;3.0;26.802919;5399328
25;12:28:32.722;3.3;26.803217;5399388
26;12:28:32.892;17.1;26.803674;5399480
27;12:28:33.062;2.9;26.811418;5401040
28;12:28:33.236;5.8;26.806136;5400144
29;12:28:33.413;4.2;26.801907;5398828
30;12:28:33.585;10.1;26.802363;5399216
31;12:28:33.753;11.3;26.802204;5399184
32;12:28:33.924;12.2;26.805481;5399844
33;12:28:34.093;8.5;26.806434;5400296
34;12:28:34.264;12.7;26.807566;5400264
35;12:28:34.434;10.3;26.806593;5399908
36;12:28:34.607;3.2;26.807903;5400172
37;12:28:34.778;13.9;26.806017;5400104
38;12:28:34.949;10.8;26.806831;5400116
39;12:28:35.120;13.9;26.807903;5400484
40;12:28:35.291;8.6;26.809790;5400712
41;12:28:35.462;8.6;26.809472;5400648
42;12:28:35.632;10.1;26.805937;5399936
43;12:28:35.803;12.7;26.804210;5399520
44;12:28:35.975;13.5;26.801490;5398820
